"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.893619032029038
3	0.166999995708466	0.817638281404152
4	0.25	0.740881362650834
5	0.333000004291534	0.661313464415948
6	0.416999995708466	0.605334300539157
7	0.5	0.540171629208303
8	0.75	0.458751809717157
9	1	0.354584803840278
10	1.25	0.299615923637733
11	1.5	0.272369773824656
12	1.75	0.175240005460866
13	2	0.126275494046762
14	2.25	0.116861658489063
15	2.5	0.0890766104261625
16	2.75	0.0890766104261625
17	3	0.0890766104261625
18	3.25	0.0710703214547835
19	3.5	0.0710703214547835
20	3.75	0.0168552035327417
21	4	0.0168552035327417
22	4.25	0.0168552035327417
23	4.5	0.0168552035327417
24	4.75	0.0168552035327417
25	5	0.0168552035327417
