"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.831985681394564
3	0.166999995708466	0.675973624742558
4	0.25	0.579983982382336
5	0.333000004291534	0.522998683624815
6	0.416999995708466	0.467974674817771
7	0.5	0.422996274258002
8	0.75	0.306013271315644
9	1	0.225000556794176
10	1.25	0.169004905423321
11	1.5	0.128000607273229
12	1.75	0.0989815247534193
13	2	0.0800050269008892
14	2.25	0.0700025160051811
15	2.5	0.0619975207272348
16	2.75	0.0550014545601467
17	3	0.0490024660313675
18	3.25	0.0410017270555168
19	3.5	0.0410017270555168
20	3.75	0.0400023380497955
21	4	0.0360029605587317
22	4.25	0.0360029605587317
23	4.5	0.0360029605587317
24	4.75	0.0360029605587317
25	5	0.0360029605587317
