"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.897002578110789
3	0.166999995708466	0.802001887695834
4	0.25	0.711990043522853
5	0.333000004291534	0.639000223502002
6	0.416999995708466	0.584004969593677
7	0.5	0.564999227976212
8	0.75	0.459984408301124
9	1	0.368020092889171
10	1.25	0.312010780490416
11	1.5	0.254000013882942
12	1.75	0.206002611280961
13	2	0.179986111873863
14	2.25	0.158000604395083
15	2.5	0.153007518999934
16	2.75	0.139996423655341
17	3	0.139996423655341
18	3.25	0.139996423655341
19	3.5	0.139996423655341
20	3.75	0.139996423655341
21	4	0.134997741247976
22	4.25	0.122003113340292
23	4.5	0.107009869441054
24	4.75	0.107009869441054
25	5	0.107009869441054
