"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.901200354485371
3	0.166999995708466	0.799913526178827
4	0.25	0.714782047384185
5	0.333000004291534	0.644272309170433
6	0.416999995708466	0.578999611554368
7	0.5	0.533425411911269
8	0.75	0.390911695901011
9	1	0.31110714880476
10	1.25	0.259087849610591
11	1.5	0.220383121768018
12	1.75	0.187453213097284
13	2	0.166666273098679
14	2.25	0.139962565755909
15	2.5	0.130066219791468
16	2.75	0.126481834609599
17	3	0.117660699262237
18	3.25	0.108098723147699
19	3.5	0.105519400341075
20	3.75	0.100393574612935
21	4	0.0894860523517749
22	4.25	0.0861785320784488
23	4.5	0.0821061772985643
24	4.75	0.0716784710537264
25	5	0.0716784710537264
