groupings,subgroupings
Bones and Joints,Bones and Joints
Breast Cancer,Breast
Cervix Uteri,Cervix Uteri
Colon and Rectum,Anus Anal Canal and Anorectum
Colon and Rectum,Appendix
Colon and Rectum,Ascending Colon
Colon and Rectum,Descending Colon
Colon and Rectum,Cecum
Colon and Rectum,Hepatic Flexure
Colon and Rectum,Large Intestine NOS
Colon and Rectum,Rectosigmoid Junction
Colon and Rectum,Rectum
Colon and Rectum,Sigmoid Colon
Colon and Rectum,Splenic Flexure
Colon and Rectum,Transverse Colon
Corpus and Uterus,Corpus Uteri
Corpus and Uterus,Uterus NOS
Corpus and Uterus,Ovary
Corpus and Uterus,Vagina
Corpus and Uterus,Vulva
Corpus and Uterus,Other Female Genital Organs
Esophagus Cancer,Esophagus
Eye and Orbit,Eye and Orbit
Gallbladder,Gallbladder
Hodgkin Lymphoma,Hodgkin - Extranodal
Hodgkin Lymphoma,Hodgkin - Nodal
Kidney and Renal Pelvis,Kidney and Renal Pelvis
Ureter and Other Urinary Organs,Other Urinary Organs
Ureter and Other Urinary Organs,Ureter
Larynx,Larynx
Liver and Intrahepatic Bile Duct,Liver
Liver and Intrahepatic Bile Duct,Intrahepatic Bile Duct
Lung and Bronchus,Lung and Bronchus
Melanoma of the Skin,Melanoma of the Skin
Mesothelioma,Mesothelioma
Non-Hodgkin Lymphoma,NHL - Extranodal
Non-Hodgkin Lymphoma,NHL - Nodal
Oral Cavity and Pharynx,Lip
Oral Cavity and Pharynx,Tongue
Oral Cavity and Pharynx,Salivary Gland
Oral Cavity and Pharynx,Floor of Mouth
Oral Cavity and Pharynx,Gum and Other Mouth
Oral Cavity and Pharynx,Nasopharynx
Oral Cavity and Pharynx,Tonsil
Oral Cavity and Pharynx,Oropharynx
Oral Cavity and Pharynx,Hypopharynx
Oral Cavity and Pharynx,Other Oral Cavity and Pharynx
Pancreas,Pancreas
Prostate,Prostate
Small Intestine,Small Intestine
Soft Tissue including Heart,Soft Tissue including Heart
Stomach,Stomach
Testis,Testis
Thyroid,Thyroid
Urinary Bladder,Urinary Bladder
