characteristic,grouping,All stages,I,II,III,IV
Status,Alive,949084 (53%),375554 (72%),403550 (69%),116470 (41%),53510 (14%)
Status,Dead,827457 (47%),148935 (28%),179834 (31%),167114 (59%),331574 (86%)
Sex,Female,811950 (46%),346513 (66%),167712 (29%),137376 (48%),160349 (42%)
Sex,Male,964591 (54%),177976 (34%),415672 (71%),146208 (52%),224735 (58%)
Age,50 to 54,236706 (13%),80797 (15%),68621 (12%),40163 (14%),47125 (12%)
Age,55 to 59,309422 (17%),94006 (18%),99310 (17%),50821 (18%),65285 (17%)
Age,60 to 64,354549 (20%),101800 (19%),120775 (21%),56391 (20%),75583 (20%)
Age,65 to 69,358329 (20%),100984 (19%),126784 (22%),55538 (20%),75023 (19%)
Age,70 to 74,289289 (16%),81501 (16%),97489 (17%),44815 (16%),65484 (17%)
Age,75 to 79,228246 (13%),65401 (12%),70405 (12%),35856 (13%),56584 (15%)
Race,Hispanic (All Races),177114 (10%),48379 (9%),59193 (10%),29885 (11%),39657 (10%)
Race,Non-Hispanic American Indian/Alaska Native,10361 (1%),2985 (1%),2903 (0%),1838 (1%),2635 (1%)
Race,Non-Hispanic Asian or Pacific Islander,121315 (7%),36187 (7%),35858 (6%),21832 (8%),27438 (7%)
Race,Non-Hispanic Black,192749 (11%),40361 (8%),74997 (13%),30930 (11%),46461 (12%)
Race,Non-Hispanic Unknown Race,11493 (1%),4751 (1%),5467 (1%),681 (0%),594 (0%)
Race,Non-Hispanic White,1263509 (71%),391826 (75%),404966 (69%),198418 (70%),268299 (70%)
SEER_Draw,Anus,7134 (0%),1602 (0%),2506 (0%),2314 (1%),712 (0%)
SEER_Draw,Bladder,36263 (2%),18060 (3%),8401 (1%),3385 (1%),6417 (2%)
SEER_Draw,Breast,299779 (17%),151419 (29%),99445 (17%),31957 (11%),16958 (4%)
SEER_Draw,Cervix,11656 (1%),4225 (1%),1982 (0%),2925 (1%),2524 (1%)
SEER_Draw,Colon/Rectum,170904 (10%),43346 (8%),42638 (7%),46728 (16%),38192 (10%)
SEER_Draw,Esophagus,19455 (1%),3067 (1%),3923 (1%),4544 (2%),7921 (2%)
SEER_Draw,Gallbladder,12608 (1%),2925 (1%),3684 (1%),1221 (0%),4778 (1%)
SEER_Draw,Head and Neck,65954 (4%),14842 (3%),8360 (1%),10794 (4%),31958 (8%)
SEER_Draw,Kidney,66819 (4%),39533 (8%),5941 (1%),9702 (3%),11643 (3%)
SEER_Draw,Liver/Bile-duct,41511 (2%),15021 (3%),8049 (1%),9939 (4%),8502 (2%)
SEER_Draw,Lung,252822 (14%),49087 (9%),11437 (2%),63460 (22%),128838 (33%)
SEER_Draw,Lymphoma,81053 (5%),23106 (4%),12945 (2%),14936 (5%),30066 (8%)
SEER_Draw,Melanoma,82218 (5%),61834 (12%),10719 (2%),6145 (2%),3520 (1%)
SEER_Draw,Ovary,29258 (2%),6023 (1%),2645 (0%),11746 (4%),8844 (2%)
SEER_Draw,Pancreas,51765 (3%),3504 (1%),13891 (2%),4935 (2%),29435 (8%)
SEER_Draw,Prostate,392225 (22%),1222 (0%),330421 (57%),33087 (12%),27495 (7%)
SEER_Draw,Sarcoma,9720 (1%),3535 (1%),1716 (0%),2276 (1%),2193 (1%)
SEER_Draw,Stomach,26539 (1%),7077 (1%),3653 (1%),3250 (1%),12559 (3%)
SEER_Draw,Thyroid,41619 (2%),22447 (4%),5171 (1%),8572 (3%),5429 (1%)
SEER_Draw,Urothelial Tract,5837 (0%),1667 (0%),723 (0%),1548 (1%),1899 (0%)
SEER_Draw,Uterus,71402 (4%),50947 (10%),5134 (1%),10120 (4%),5201 (1%)
follow_up_duration,0–12,332350 (19%),29316 (6%),31756 (5%),60745 (21%),210533 (55%)
follow_up_duration,13-24,131506 (7%),19759 (4%),24239 (4%),32870 (12%),54638 (14%)
follow_up_duration,25-36,82220 (5%),17540 (3%),19634 (3%),19930 (7%),25116 (7%)
follow_up_duration,37-48,62698 (4%),16002 (3%),17764 (3%),14262 (5%),14670 (4%)
follow_up_duration,49-60,55116 (3%),15901 (3%),17625 (3%),11429 (4%),10161 (3%)
follow_up_duration,61-72,160463 (9%),62183 (12%),58407 (10%),24654 (9%),15219 (4%)
follow_up_duration,73-84,143283 (8%),57013 (11%),53940 (9%),20520 (7%),11810 (3%)
follow_up_duration,85-96,131798 (7%),51822 (10%),52689 (9%),17892 (6%),9395 (2%)
follow_up_duration,97-108,122111 (7%),47713 (9%),50788 (9%),15918 (6%),7692 (2%)
follow_up_duration,109-120,116090 (7%),43290 (8%),51923 (9%),14497 (5%),6380 (2%)
follow_up_duration,121-132,106920 (6%),40153 (8%),48235 (8%),12996 (5%),5536 (1%)
follow_up_duration,133-144,98526 (6%),36960 (7%),45213 (8%),11896 (4%),4457 (1%)
follow_up_duration,145-156,87949 (5%),33064 (6%),41011 (7%),10055 (4%),3819 (1%)
follow_up_duration,157-168,79033 (4%),29040 (6%),38041 (7%),8715 (3%),3237 (1%)
follow_up_duration,169-180,66478 (4%),24733 (5%),32119 (6%),7205 (3%),2421 (1%)
