Sex,Cancer site,Age at diagnosis,I,II,III,IV
Female,All cancers,50,6.51 (6.47 to 6.56),9.37 (9.14 to 9.7),16 (15.78 to 16.2),27.34 (27.17 to 27.52)
Female,All cancers,60,5.54 (5.51 to 5.58),7.77 (7.66 to 7.9),13.46 (13.33 to 13.59),20.98 (20.89 to 21.07)
Female,All cancers,70,4.52 (4.48 to 4.56),6.12 (6.04 to 6.21),10.16 (10.07 to 10.25),14.43 (14.37 to 14.48)
Female,All excluding prostate,50,6.51 (6.46 to 6.56),9.36 (9.14 to 9.68),16.01 (15.8 to 16.25),27.34 (27.16 to 27.51)
Female,All excluding prostate,60,5.53 (5.51 to 5.57),7.77 (7.65 to 7.89),13.46 (13.31 to 13.6),20.98 (20.88 to 21.07)
Female,All excluding prostate,70,4.52 (4.48 to 4.56),6.12 (6.04 to 6.22),10.15 (10.06 to 10.25),14.43 (14.37 to 14.48)
Female,Anus,50,8.02 (7.22 to 8.98),9.76 (8.96 to 10.51),12.81 (11.91 to 13.56),23.46 (21.9 to 25.03)
Female,Anus,60,5.75 (5.3 to 6.72),7.73 (7.15 to 8.37),10.03 (9.42 to 10.65),19.17 (18.09 to 20.09)
Female,Anus,70,4.2 (4.2 to 5),6.28 (5.76 to 6.83),8.1 (7.51 to 8.64),12.51 (11.63 to 13.35)
Female,Bladder,50,7.54 (6.99 to 8.17),13.12 (12.07 to 14.04),17.58 (16.15 to 18.86),27.48 (26.75 to 28.17)
Female,Bladder,60,7.58 (7 to 8.17),10.86 (10.47 to 11.23),13.65 (12.86 to 14.33),20.19 (19.76 to 20.54)
Female,Bladder,70,5.01 (4.89 to 5.14),8.2 (7.99 to 8.37),9.36 (8.98 to 9.74),13.81 (13.6 to 14.04)
Female,Breast,50,6.21 (6.21 to 6.22),7.89 (7.74 to 8.16),14.2 (13.82 to 14.53),27.32 (26.98 to 27.69)
Female,Breast,60,5.3 (5.3 to 5.3),5.86 (5.74 to 6.01),10.59 (10.29 to 10.89),20.49 (20.26 to 20.7)
Female,Breast,70,4.2 (4.2 to 4.2),4.2 (4.2 to 4.26),7.16 (6.92 to 7.41),13.34 (13.14 to 13.54)
Female,Cervix,50,7.69 (7.47 to 7.94),13.17 (12.59 to 13.9),17.19 (16.71 to 17.66),26.26 (25.66 to 26.84)
Female,Cervix,60,6.89 (6.44 to 7.41),9.35 (8.69 to 10.01),13.98 (13.45 to 14.52),20.37 (19.93 to 20.76)
Female,Cervix,70,5.36 (4.8 to 5.81),7.43 (6.73 to 8.05),10.02 (9.43 to 10.56),14.32 (13.97 to 14.65)
Female,Colon/Rectum,50,6.55 (6.28 to 6.9),9.02 (8.79 to 9.24),12.55 (12.2 to 12.9),28.47 (28.25 to 28.68)
Female,Colon/Rectum,60,5.65 (5.49 to 5.91),8.23 (7.77 to 8.64),10.66 (10.31 to 11.05),21.71 (21.59 to 21.82)
Female,Colon/Rectum,70,4.49 (4.42 to 4.57),5.71 (5.49 to 5.97),7.87 (7.71 to 8.03),14.74 (14.61 to 14.85)
Female,Esophagus,50,16.11 (14.19 to 17.49),20.22 (18.93 to 21.46),24.7 (23.66 to 25.62),30.72 (30.18 to 31.06)
Female,Esophagus,60,13.12 (12.16 to 14.09),15.11 (14.15 to 15.91),18.6 (18.02 to 19.19),23.02 (22.59 to 23.28)
Female,Esophagus,70,8.45 (7.95 to 8.97),10.69 (10.28 to 11.11),12.56 (12.18 to 12.91),15.18 (14.64 to 15.41)
Female,Gallbladder,50,15.29 (13.61 to 16.73),24.79 (23.6 to 25.99),25.45 (23.8 to 27.08),31.92 (31.56 to 32.2)
Female,Gallbladder,60,13.39 (12.68 to 14.1),19.13 (18.62 to 19.57),19.31 (18.28 to 20.06),23.76 (23.52 to 23.89)
Female,Gallbladder,70,10 (9.45 to 10.47),13.06 (12.74 to 13.37),13.61 (13.01 to 14.07),16.07 (15.95 to 16.17)
Female,Head and Neck,50,7.57 (7.35 to 7.83),9.31 (8.81 to 9.88),11.48 (11 to 11.99),14.64 (14.37 to 14.88)
Female,Head and Neck,60,6.2 (6.03 to 6.39),7.38 (7.03 to 7.71),8.65 (8.43 to 8.83),11.73 (11.57 to 11.91)
Female,Head and Neck,70,4.85 (4.69 to 4.93),5.98 (5.65 to 6.31),7.17 (6.96 to 7.42),8.98 (8.86 to 9.09)
Female,Kidney,50,7.06 (6.56 to 7.64),9.07 (8.06 to 10.17),10.7 (9.85 to 11.57),27.64 (27.17 to 28.15)
Female,Kidney,60,6.13 (5.73 to 6.59),7.26 (6.63 to 7.98),8.32 (7.89 to 8.92),20.99 (20.76 to 21.2)
Female,Kidney,70,4.39 (4.31 to 4.49),4.85 (4.2 to 5.56),6.1 (5.73 to 6.48),14.5 (14.31 to 14.65)
Female,Liver/Bile-duct,50,21.63 (21.02 to 22.35),21.8 (21.06 to 22.55),29.86 (29.15 to 30.35),31.7 (31.28 to 31.99)
Female,Liver/Bile-duct,60,16.02 (15.49 to 16.42),16.8 (16.3 to 17.25),21.99 (21.58 to 22.24),23.72 (23.53 to 23.84)
Female,Liver/Bile-duct,70,12.2 (11.83 to 12.53),12.77 (12.29 to 13.22),15.07 (14.72 to 15.25),16.1 (16 to 16.18)
Female,Lung,50,11.9 (11.51 to 12.31),17.99 (17.14 to 18.82),24.73 (24.5 to 24.96),30.81 (30.7 to 30.92)
Female,Lung,60,10.76 (10.56 to 11.01),14.21 (13.82 to 14.63),18.99 (18.89 to 19.08),22.98 (22.91 to 23.04)
Female,Lung,70,8.37 (8.19 to 8.53),10.46 (10.24 to 10.67),13.68 (13.59 to 13.76),15.57 (15.53 to 15.61)
Female,Lymphoma,50,7.95 (7.74 to 8.17),8.39 (8.13 to 8.65),10.16 (9.94 to 10.4),12.25 (12.02 to 12.51)
Female,Lymphoma,60,6.79 (6.62 to 6.97),7.54 (7.37 to 7.73),8.6 (8.45 to 8.81),9.78 (9.6 to 9.97)
Female,Lymphoma,70,5.43 (5.33 to 5.54),6.2 (6.09 to 6.32),6.67 (6.48 to 6.89),7.27 (7.16 to 7.37)
Female,Melanoma,50,6.21 (6.21 to 6.22),9.35 (8.52 to 10.09),13.61 (12.88 to 14.3),25.13 (24.25 to 25.93)
Female,Melanoma,60,5.3 (5.3 to 5.3),7.87 (7.34 to 8.3),11 (10.4 to 11.54),18.92 (18.35 to 19.46)
Female,Melanoma,70,4.2 (4.2 to 4.21),5.78 (5.22 to 6.18),8.01 (7.49 to 8.36),12.77 (12.25 to 13.17)
Female,Ovary,50,8.85 (8.33 to 9.44),13.13 (11.99 to 14.3),23.79 (23.29 to 24.27),27.98 (27.46 to 28.47)
Female,Ovary,60,6.13 (5.62 to 6.74),10.4 (9.54 to 11.16),17.33 (16.97 to 17.65),20.54 (20.23 to 20.8)
Female,Ovary,70,4.82 (4.2 to 5.51),7.7 (6.84 to 8.51),11.78 (11.5 to 12.05),13.93 (13.67 to 14.14)
Female,Pancreas,50,16.43 (15.34 to 17.57),25.67 (25.14 to 26.14),30.36 (29.87 to 30.8),31.56 (31.41 to 31.68)
Female,Pancreas,60,14.78 (14.16 to 15.41),20.39 (20.2 to 20.56),23.01 (22.81 to 23.19),23.79 (23.7 to 23.86)
Female,Pancreas,70,11.36 (11.03 to 11.7),14.15 (14.02 to 14.26),15.43 (15.25 to 15.58),16.17 (16.12 to 16.21)
Female,Sarcoma,50,8.16 (7.18 to 9.24),11.71 (9.69 to 12.91),17.11 (15.75 to 18.32),27.84 (27.07 to 28.58)
Female,Sarcoma,60,5.3 (5.3 to 6.43),8.86 (7.63 to 9.95),13.14 (12.18 to 14.01),21.31 (20.72 to 21.81)
Female,Sarcoma,70,4.2 (4.2 to 5.02),6.7 (5.72 to 7.48),9.35 (8.7 to 10.04),14.51 (14.11 to 14.86)
Female,Stomach,50,12.65 (11.63 to 13.75),20.04 (18.91 to 21.09),23.63 (22.45 to 24.65),31.16 (30.89 to 31.4)
Female,Stomach,60,10.65 (10.08 to 11.08),14.79 (13.93 to 15.48),17.85 (17.13 to 18.5),22.89 (22.66 to 23.08)
Female,Stomach,70,7.7 (7.38 to 8.07),10.66 (10.23 to 11.07),12.82 (12.45 to 13.14),15.67 (15.54 to 15.79)
Female,Thyroid,50,6.21 (6.21 to 6.22),6.21 (6.21 to 6.25),6.21 (6.21 to 6.25),8.03 (7.72 to 8.31)
Female,Thyroid,60,5.3 (5.3 to 5.3),5.3 (5.3 to 5.35),5.3 (5.3 to 5.34),8.52 (8.11 to 8.93)
Female,Thyroid,70,4.2 (4.2 to 4.21),4.2 (4.2 to 4.27),4.2 (4.2 to 4.22),7.18 (6.95 to 7.43)
Female,Urothelial Tract,50,9.44 (7.81 to 11.59),12.81 (6.21 to 15.63),13.72 (9.13 to 16.58),27.07 (25.69 to 28.35)
Female,Urothelial Tract,60,8.96 (7.56 to 10.12),7.56 (5.3 to 10.11),12.16 (10.45 to 13.31),20.33 (19.44 to 21.05)
Female,Urothelial Tract,70,4.23 (4.2 to 5.79),7.84 (6.69 to 8.71),9.27 (8.67 to 9.83),13.96 (13.59 to 14.3)
Female,Uterus,50,6.21 (6.21 to 6.24),8.72 (8.18 to 9.18),11.91 (11.35 to 12.4),26.26 (25.49 to 27)
Female,Uterus,60,5.3 (5.3 to 5.3),7.33 (6.96 to 7.63),10.77 (10.48 to 11.05),20.49 (20.13 to 20.81)
Female,Uterus,70,4.2 (4.2 to 4.21),6.11 (5.7 to 6.34),8.27 (8.03 to 8.53),13.8 (13.58 to 13.98)
