CSO_type,2WW_pathway,diagnostic_imaging_1,diagnostic_imaging_2,staging_imaging_1,CSO_incorrect_imaging
Anus,Lower GI,Flexi Sigmoidoscopy,Biopsy,NA,CT
Bladder and Urothelial Tract,Urology,Cystoscopy,Biopsy,NA,CT
Bone and Soft Tissue,Sarcoma,MRI,Biopsy,NA,CT
Breast,Urgent breast,Non-obstetric Ultrasound,Biopsy,NA,CT
Cervix,Gynaecological,Biopsy,NA,NA,CT
Colon and Rectum,Lower GI,Colonoscopy,Biopsy,NA,CT
Haematopoietic or lymphatic system,Haematology,Biopsy,NA,NA,CT
Head and Neck,Head and neck,Gastroscopy,Non-obstetric Ultrasound,Biopsy,CT
Kidney,Urology,CT,Biopsy,NA,CT
Liver and Bile Duct,Upper GI,CT,Biopsy,NA,CT
Lung,Lung,CT,Biopsy,NA,CT
Melanoma,Skin,Biopsy,NA,NA,CT
Ovary,Gynaecological,Non-obstetric Ultrasound,Biopsy,NA,CT
Pancreas and Gallbladder,Upper GI,CT,Biopsy,NA,CT
Prostate,Urology,MRI,Biopsy,NA,CT
Stomach and Esophagus,Upper GI,Gastroscopy,Biopsy,NA,CT
Thyroid Gland,Head and neck,Non-obstetric Ultrasound,Biopsy,NA,CT
Uterus,Gynaecological,Non-obstetric Ultrasound,Biopsy,NA,CT
