Diagnostic modality,01/04/2024,01/03/2024,01/02/2024,01/01/2024,01/12/2023,01/11/2023,01/10/2023,01/09/2023,01/08/2023,01/07/2023,01/06/2023,01/05/2023,01/04/2023,01/03/2023,01/02/2023,01/01/2023,01/12/2022,01/11/2022,01/10/2022,01/09/2022,01/08/2022,01/07/2022,01/06/2022,01/05/2022,01/04/2022,01/03/2022,01/02/2022,01/01/2022,01/12/2021,01/11/2021,01/10/2021,01/09/2021,01/08/2021,01/07/2021,01/06/2021,01/05/2021,01/04/2021,01/03/2021,01/02/2021,01/01/2021,01/12/2020,01/11/2020,01/10/2020,01/09/2020,01/08/2020,01/07/2020,01/06/2020,01/05/2020,01/04/2020,01/03/2020,01/02/2020,01/01/2020,01/12/2019,01/11/2019,01/10/2019,01/09/2019,01/08/2019,01/07/2019,01/06/2019,01/05/2019,01/04/2019,01/03/2019,01/02/2019,01/01/2019,01/12/2018,01/11/2018,01/10/2018,01/09/2018,01/08/2018,01/07/2018,01/06/2018,01/05/2018,01/04/2018
Magnetic Resonance Imaging,378292,375196,357824,369414,339079,364805,365990,355643,363030,367245,355943,353863,339721,370621,332585,346835,308942,342059,334203,320517,327299,319645,313990,329829,310905,332307,298251,307777,289042,314916,319601,302290,299723,303606,304768,295746,283091,302986,261101,264518,264859,277908,282303,264305,250464,247686,198316,136800,91239,258383,303614,319473,293134,313165,326765,307957,304269,316888,302649,308536,298879,315521,290012,317247,285515,307407,313651,293358,304551,307681,300102,303891,289655
Computed Tomography,703124,702116,677982,711662,651999,691891,696837,674098,683426,682578,674738,671129,625500,691851,624852,666535,602750,647733,639051,622105,636860,614286,600768,623285,583694,625683,564597,586903,571660,592698,587554,575566,570696,593206,588795,579968,561753,579815,499313,512163,519342,522820,541843,524284,506393,515598,447214,381442,281827,439023,518323,559634,517237,534569,551983,519246,520865,543195,515007,530559,508927,526306,486862,537017,493188,515084,529548,485854,508953,515508,495769,508121,481895
Non-obstetric Ultrasound,711919,673281,688532,728182,617839,732131,707160,684629,678725,673013,699593,672793,613976,719097,638241,677239,559369,691354,624809,623701,614423,591773,606529,646822,564785,656510,581687,592533,552745,643609,593856,604882,549941,597721,626444,590341,589557,621740,515918,507382,528470,567488,573188,543836,468557,479413,379109,244764,163730,492370,618861,681071,596289,669921,700389,639124,618954,687911,639374,668207,639014,654781,613603,682767,570968,665687,679356,596984,617831,645615,628286,647247,606751
Barium Enema,3997,3247,3432,3820,2950,3593,3223,3052,3287,3072,3274,3318,2898,3559,3075,3381,2738,3288,2987,3026,2878,2629,3078,3074,2579,3227,2746,2986,2930,3140,2852,3013,2974,3803,3424,3105,2716,2786,2286,2212,2786,2708,2946,3045,2653,2774,2185,1483,860,2379,2747,3205,2733,3125,3275,3028,3140,3433,2827,3156,2905,1906,1799,2082,1877,2079,2096,1795,1938,1930,1898,2160,1971
DEXA Scan,47790,43995,44805,46439,38141,46657,45836,43296,46787,45419,48350,44366,40715,47764,41835,44488,36254,45397,40457,40468,41150,38161,39079,42023,35368,40571,36616,36075,34082,40807,37588,38878,35133,37774,38111,33477,33636,32187,24049,24059,28093,32586,34986,32913,25469,21346,10666,3390,1101,26317,37486,41894,35709,40106,44462,40090,38636,43429,39598,40340,38737,37889,36227,40980,32049,39786,41386,34734,39125,39585,37778,38579,36738
Audiology - Audiology Assessments,110692,103620,107516,112289,89188,108814,96214,90965,92221,94476,97466,92733,81918,97357,85039,93326,73469,94688,88158,85515,86830,82709,82699,89267,78890,91435,81169,80257,76371,89668,80225,81820,75157,80720,83564,75040,72900,73930,56676,53575,63443,72628,67909,64500,47044,37152,21864,15812,14948,70372,100204,110037,93375,111063,118209,105702,101184,117560,102817,107573,105114,104933,99615,113812,90584,115709,117238,96877,101854,104929,103508,109469,104539
Cardiology - Echocardiography,162253,147229,151979,159108,130314,156263,151680,148932,150832,149693,154347,148695,132362,159245,143350,150102,123086,153205,142203,139753,136365,132227,131659,140848,125412,144702,127758,126222,116918,136742,127342,130995,119600,131473,136512,127231,126886,132052,111529,107191,113301,126100,124711,119795,103496,108937,87555,52572,36026,101429,134576,147410,125077,141559,146692,135975,132338,146215,135275,140149,134086,138281,130601,143603,115563,137944,140340,124416,130997,134051,131925,131291,126016
Cardiology - Electrophysiology,683,653,657,648,560,600,611,595,649,594,602,568,553,653,289,351,301,386,722,584,736,767,704,898,840,828,822,610,538,1570,677,799,774,629,732,752,740,933,748,492,593,791,456,628,487,674,702,212,158,716,888,950,867,2073,2175,2128,2078,2490,2120,2468,2341,2637,2537,3521,2143,2711,2698,2565,2526,3412,3072,3102,2984
Neurophysiology - Peripheral Neurophysiology,21129,19209,19809,20962,16287,21473,19787,19685,20304,20285,20778,19444,17406,21167,18766,20114,15708,19981,18455,17626,17859,17583,18438,19454,16858,20123,17582,17693,16170,19932,17841,18052,17430,18776,19716,17038,16297,16434,13616,12960,13955,16748,16343,15010,13243,11928,8009,3137,1393,13614,19227,22615,18600,21496,20926,19770,17993,20528,18905,19950,18980,19485,17778,20989,16704,19841,20343,18048,18410,19215,19275,19526,18051
Respiratory physiology - Sleep Studies,18340,15949,16551,16447,11751,15433,14827,14825,15351,14140,14389,13360,12980,13822,12310,12808,10090,12596,11655,11605,12730,11059,11001,11546,9211,11386,9855,9505,8629,10539,10114,9234,8836,9526,10401,9176,9447,8880,6667,6704,7540,8641,8594,7993,6807,6721,4529,2108,1530,7148,11125,11928,9225,11457,11823,10913,10370,11571,10029,10631,10415,10746,10249,11424,8726,11632,12189,10278,11101,11507,11058,11091,10882
