cancer_type,stage,Diagnosisphase,Treat_0_1_phase,Treat_1_2_phase,Treat_2_3_phase,Treat_3_4_phase,Treat_4_5_phase,Treat_5_phase,Eol_phase
Colorectal,0,2090.5 (3742.2),6953.0 (9072.4),3389.7 (6069.7),3049.2 (6281.6),2722.5 (5132.4),2477.3 (4619.5),917.2 (1774.1),17826.0 (15279.4)
Colorectal,1,1532.2 (3294.7),13880.5 (9067.0),3856.2 (6244.6),2975.8 (5921.9),2752.5 (5529.7),2598.7 (5419.1),967.4 (2379.9),18375.4 (16990.2)
Colorectal,2,1758.7 (3058.3),18065.1 (10083.9),4490.4 (6977.8),3353.7 (6712.8),2928.6 (6277.1),2672.0 (5635.7),914.6 (2816.6),19775.9 (16238.8)
Colorectal,3,1594.2 (2886.5),23795.4 (11129.1),6178.2 (8667.9),4356.8 (8095.5),3656.0 (7449.8),2990.4 (6656.5),2076.6 (4731.2),22240.7 (16566.1)
Colorectal,4,2002.6 (3400.5),27862.1 (17848.5),14485.4 (15922.7),9829.8 (13531.2),7497.7 (11999.4),5487.4 (9265.7),2449.5 (3829.3),21391.8 (16626.9)
Colorectal,Unknown/Missing,3079.6 (4961.2),13687.6 (12825.6),4863.1 (7838.2),3741.5 (7321.0),3290.8 (6808.9),2867.6 (5741.9),861.3 (1258.1),15472.3 (14807.6)
HeadandNeck,0,1573.1 (2580.4),8119.6 (8279.0),3997.1 (6510.0),3551.9 (7011.5),3319.1 (6890.3),3195.8 (6179.5),682.0 (1496.1),17912.7 (16389.7)
HeadandNeck,1,1330.3 (2658.1),13023.3 (9607.5),4014.6 (7289.2),3117.2 (6313.4),2863.2 (5790.1),2860.0 (6194.8),1185.3 (4421.1),20506.1 (17739.5)
HeadandNeck,2,1635.8 (3036.2),19609.4 (11804.8),4910.9 (8339.8),3350.1 (6215.3),3036.5 (5817.4),2819.2 (6108.9),1387.9 (4496.6),22762.0 (18626.6)
HeadandNeck,3,1681.4 (3142.7),26025.9 (12449.5),4803.9 (8040.1),3472.5 (6917.0),2963.2 (6114.8),2677.3 (5742.9),569.1 (1445.3),23857.1 (18733.7)
HeadandNeck,4,1734.6 (3018.6),28654.8 (13679.2),4681.0 (7525.1),3360.0 (6652.8),2885.6 (6080.1),2637.4 (5657.3),1391.2 (6014.7),24007.1 (18486.3)
HeadandNeck,Unknown/Missing,2226.6 (4170.7),16483.3 (14419.1),4400.4 (7477.5),3535.8 (6795.1),3376.8 (6638.7),3392.5 (7466.7),1253.2 (3223.5),18459.5 (16748.9)
Lung,0,3205.0 (3797.0),13605.9 (7396.2),5493.2 (7699.2),4235.5 (6852.8),3260.9 (5501.6),3500.1 (8165.3),939.8 (801.9),19272.0 (14899.5)
Lung,1,3767.6 (4728.0),14480.4 (8678.2),4411.1 (6976.1),3823.8 (6804.2),3789.7 (7451.8),3775.6 (8840.7),1321.1 (2682.2),16579.6 (13908.3)
Lung,2,3187.9 (4002.6),17869.8 (9999.3),5283.8 (8088.0),4900.5 (8508.9),4090.2 (7319.4),3999.8 (7578.4),1470.4 (3267.1),17707.5 (13355.6)
Lung,3,2810.3 (3663.8),17726.8 (10793.7),7722.1 (11233.8),6854.2 (10681.4),5608.9 (9867.3),4638.6 (8331.2),1818.8 (4234.9),17391.3 (12792.3)
Lung,4,2785.3 (3774.1),17461.1 (13233.3),14146.8 (15189.5),11278.3 (12986.6),9301.6 (12279.9),8287.3 (11752.8),3336.7 (6090.2),14894.6 (11956.9)
Lung,Unknown/Missing,3906.6 (5455.6),11520.1 (10719.1),5720.0 (8819.7),5284.5 (8992.4),4599.6 (7691.9),4592.9 (7840.5),1348.0 (2816.2),10339.4 (10797.9)
Liver,0,5152.1 (6094.4),14921.9 (9010.9),3858.9 (4512.2),3609.5 (4950.3),2160.1 (2565.9),696.6 (822.3),#N/A,#N/A
Liver,1,3578.9 (5482.6),16402.0 (12921.4),7397.9 (11357.8),5144.1 (8128.0),4869.4 (7354.1),4751.0 (8872.3),1216.7 (2177.3),19469.3 (16383.3)
Liver,2,3333.6 (4570.0),17473.0 (14211.3),8355.1 (10725.7),5959.2 (9194.2),4883.3 (7842.7),3862.8 (5940.6),1606.2 (2838.4),17705.7 (15050.5)
Liver,3,3188.4 (5032.8),16240.4 (11462.9),8451.6 (9438.2),6736.4 (9012.2),5641.1 (7730.4),5000.9 (7119.4),2669.2 (4480.1),15173.0 (12501.7)
Liver,4,3088.9 (4378.7),18211.9 (13747.4),8080.4 (9656.1),6452.5 (8828.8),5024.3 (8896.5),3802.8 (6386.8),1592.6 (2855.4),15951.3 (13247.8)
Liver,Unknown/Missing,3709.0 (5518.5),14733.0 (13054.9),8128.8 (10078.0),6114.3 (8669.6),5737.5 (7802.6),5664.5 (9056.5),1689.4 (4864.4),14927.2 (13625.5)
Lymphoma,0,,,,,,,,
Lymphoma,1,2544.0 (4330.3),16478.0 (15415.2),4318.8 (8186.2),3304.8 (6742.6),3091.8 (7043.5),3151.4 (7143.1),3031.6 (5086.4),26005.8 (25347.1)
Lymphoma,2,2525.0 (4136.1),21417.3 (15850.0),5972.8 (9315.5),4329.6 (7921.1),3010.0 (5956.9),3644.4 (8059.6),1631.7 (3635.5),28595.1 (23380.8)
Lymphoma,3,2576.6 (3874.7),21179.0 (16463.2),7842.8 (10914.7),5880.0 (9469.5),4496.2 (9298.1),3792.0 (8207.9),2891.5 (5067.8),29787.1 (25436.6)
Lymphoma,4,3069.6 (4626.3),25933.2 (21795.3),7950.6 (12232.9),5495.0 (9422.9),4445.5 (9017.4),4297.3 (9970.5),3472.2 (5336.3),31977.2 (26400.1)
Lymphoma,Unknown/Missing,3506.5 (6401.8),14817.7 (17738.4),6099.1 (10419.3),5141.3 (9441.2),4656.7 (9421.9),4179.6 (9028.7),2136.9 (3405.5),23009.0 (22147.6)
Oesophagus,0,2398.4 (4024.5),9264.2 (9247.0),4901.2 (6252.5),3329.8 (5026.1),3681.7 (6528.5),3777.3 (7380.6),429.5 (447.3),17183.8 (15966.1)
Oesophagus,1,2447.4 (4153.1),19131.3 (12492.0),4743.5 (6462.1),3682.3 (6625.4),3025.9 (4925.4),2936.0 (5307.7),1509.4 (3192.9),20592.8 (16023.6)
Oesophagus,2,1811.2 (3255.9),23521.3 (13251.6),4153.6 (6253.5),3185.8 (5509.3),2915.7 (5521.9),3045.8 (6857.2),2867.6 (6146.0),21217.5 (14454.9)
Oesophagus,3,1742.5 (3116.3),21846.2 (13386.9),4650.6 (6809.3),3597.4 (6291.8),3102.7 (6318.3),3231.4 (6676.2),961.5 (1344.8),22402.0 (14575.1)
Oesophagus,4,1917.4 (3400.5),13452.0 (10943.6),7983.6 (10975.4),6400.2 (10343.8),4706.5 (7560.6),2739.1 (4401.6),#N/A,17080.3 (12080.0)
Oesophagus,Unknown/Missing,3341.1 (5481.5),13990.6 (12376.5),5392.2 (8048.1),3547.4 (5971.5),3626.8 (6113.3),3009.4 (5347.0),836.3 (1341.1),16041.8 (13173.3)
Ovary,0,2486.8 (2484.5),11832.0 (9104.7),3387.3 (4879.8),2972.8 (5638.7),2037.1 (4086.7),2124.7 (3982.9),#N/A,19428.1 (18526.6)
Ovary,1,1774.5 (2449.8),13018.5 (7223.1),2602.3 (4989.1),2212.8 (4426.1),2203.1 (4638.8),2212.6 (4942.5),1025.4 (3303.1),19982.9 (16033.4)
Ovary,2,1863.8 (2452.5),19810.4 (8692.8),3982.5 (6378.4),4354.2 (8475.3),4110.5 (7124.9),3440.3 (6881.7),2402.5 (5012.8),22256.1 (15176.8)
Ovary,3,2022.7 (2801.7),25645.8 (12938.6),8205.8 (8796.6),7444.4 (9006.7),7270.9 (9390.1),6485.8 (9296.2),3373.2 (5137.6),25274.0 (15701.1)
Ovary,4,2197.7 (3111.5),28435.1 (15330.1),10795.3 (9567.1),8228.1 (9269.3),7656.2 (9554.3),6656.1 (8763.7),3292.9 (3801.7),25031.7 (16350.6)
Ovary,Unknown/Missing,2532.8 (3800.8),15215.6 (12187.3),4761.5 (7439.3),3995.8 (7221.7),4080.7 (7415.1),4290.0 (8210.1),2321.8 (3702.2),17085.1 (14504.5)
Pancreas,0,4564.8 (5740.4),16051.7 (9508.2),3203.6 (4717.2),3792.3 (6026.0),2908.3 (4830.3),1297.9 (1996.1),#N/A,17837.2 (12670.1)
Pancreas,1,3388.2 (4513.4),18391.9 (13668.1),5985.1 (9344.4),3820.5 (7506.4),3561.3 (7447.3),3129.0 (6820.4),1002.5 (2747.8),21023.0 (16481.0)
Pancreas,2,3227.9 (3952.5),27281.3 (13744.5),6162.3 (8926.4),4871.6 (7648.4),4414.8 (7060.8),3665.9 (6235.7),1091.5 (1832.6),23952.5 (15945.8)
Pancreas,3,2908.7 (3972.9),20117.7 (14173.7),8100.2 (9828.6),6874.4 (8806.5),4743.9 (7660.1),4670.8 (7264.9),1685.4 (2665.2),22112.4 (15467.7)
Pancreas,4,2730.8 (3873.4),16640.6 (13843.8),10436.2 (11533.6),7106.5 (8371.7),7180.3 (8749.6),6705.4 (7369.8),2654.7 (3321.5),14137.9 (12577.0)
Pancreas,Unknown/Missing,3883.0 (5691.6),16900.1 (14015.6),6445.5 (8587.7),4494.9 (7288.0),4061.5 (6017.3),3156.1 (5470.4),1375.1 (3443.3),16284.9 (14187.6)
