cancer_type,stage,costs_2014,costs_2015,costs_2016,costs_2017
Colorectal,0,22086.5 (22926.3),21555.0 (24130.4),22052.0 (24676.4),18902.4 (22349.6)
Colorectal,1,31249.8 (24741.0),30301.0 (24179.2),28191.3 (22699.2),25406.5 (19813.1)
Colorectal,2,36435.6 (25844.4),36065.2 (25679.7),34116.1 (23890.4),30563.5 (20178.2)
Colorectal,3,46027.2 (29381.1),44636.0 (27846.3),43358.9 (25670.7),38814.9 (23306.9)
Colorectal,4,42452.3 (37186.7),42885.6 (37066.6),43864.7 (38453.3),41485.4 (33367.2)
Colorectal,Unknown/Missing,29529.1 (27492.1),28553.8 (29064.1),28190.9 (28379.1),28013.7 (26226.0)
HeadandNeck,0,27658.3 (22499.7),28636.3 (27757.0),26015.7 (23793.4),20773.1 (18070.7)
HeadandNeck,1,32095.2 (26535.9),31816.1 (25790.4),30295.9 (24085.0),26747.1 (25206.9)
HeadandNeck,2,38839.0 (25363.0),40878.5 (26537.7),38321.3 (24982.8),36250.3 (24274.8)
HeadandNeck,3,45449.7 (26234.6),45991.7 (27822.1),44314.6 (25626.8),41293.3 (23510.3)
HeadandNeck,4,43980.7 (26229.3),45139.9 (26874.1),43991.9 (25772.3),41806.1 (24255.7)
HeadandNeck,Unknown/Missing,34831.2 (29782.9),32906.6 (29236.5),32479.2 (33072.1),29020.7 (24892.5)
Lung,0,39427.0 (27384.1),43477.9 (28428.0),37167.4 (21380.2),31997.8 (15200.0)
Lung,1,38375.1 (33019.3),38890.6 (27361.0),37913.9 (25278.7),35548.7 (24477.5)
Lung,2,37013.4 (24550.9),39729.8 (25941.2),40010.9 (24774.3),37854.2 (24700.0)
Lung,3,31313.1 (23422.3),33434.9 (24739.2),36155.0 (26518.1),37252.5 (24995.4)
Lung,4,22429.1 (20165.5),24548.6 (21715.5),27135.9 (24314.6),29319.0 (27896.4)
Lung,Unknown/Missing,22136.3 (23043.8),23265.0 (25064.0),23511.6 (22843.4),22207.7 (23304.8)
Liver,0,,,,
Liver,1,48611.5 (31939.4),46313.4 (30576.9),43348.8 (29977.7),38521.7 (25512.0)
Liver,2,47108.7 (33576.9),43657.1 (27068.4),40102.1 (28373.3),39764.1 (28247.7)
Liver,3,29338.5 (24519.0),34066.3 (27043.8),31378.1 (22513.5),30485.2 (25806.1)
Liver,4,23936.4 (19039.6),27692.6 (22724.0),28870.9 (23120.8),25880.5 (21515.8)
Liver,Unknown/Missing,30259.9 (27265.8),33377.7 (29263.2),33016.5 (26187.3),30052.2 (24944.3)
Lymphoma,0,,,,
Lymphoma,1,38420.1 (34460.0),37746.0 (37825.5),34006.6 (29546.5),30683.7 (27777.8)
Lymphoma,2,45848.8 (29274.3),43284.7 (32754.4),42050.9 (32054.8),37727.3 (30053.8)
Lymphoma,3,50889.9 (37416.8),48551.6 (33785.9),46789.5 (34243.3),40626.5 (30838.5)
Lymphoma,4,52625.8 (39735.6),52432.3 (37983.4),51848.1 (39851.9),47300.0 (34875.3)
Lymphoma,Unknown/Missing,41093.0 (38398.1),38889.6 (37153.8),35679.7 (37981.2),35313.5 (39563.2)
Oesophagus,0,31532.7 (24245.8),31021.9 (23002.3),29110.8 (25618.7),25444.1 (20576.2)
Oesophagus,1,38727.6 (23745.2),41059.9 (26424.9),40881.0 (23506.3),36915.4 (23395.3)
Oesophagus,2,39895.8 (22388.6),39358.8 (22926.4),41547.4 (22014.5),40813.6 (22362.9)
Oesophagus,3,36714.0 (20982.7),38071.6 (22771.7),38603.7 (22193.9),38500.8 (20505.3)
Oesophagus,4,23149.1 (17855.3),24320.1 (18343.1),26321.6 (19999.4),25583.7 (18911.3)
Oesophagus,Unknown/Missing,26623.8 (21956.6),29005.0 (24065.2),31321.0 (28911.5),31531.8 (26040.0)
Ovary,0,20944.9 (11268.8),31665.2 (27879.7),23242.9 (14056.6),29911.6 (19981.3)
Ovary,1,26651.3 (22643.2),25277.4 (18889.2),25136.4 (19885.7),22008.9 (17101.0)
Ovary,2,42357.4 (26778.4),40297.3 (22588.7),40166.0 (26253.0),32964.6 (19217.8)
Ovary,3,53256.4 (31957.4),53728.4 (31355.6),52769.7 (29930.2),48512.0 (24987.5)
Ovary,4,49264.0 (35123.9),51206.5 (34116.5),52671.5 (31920.0),46871.3 (27684.4)
Ovary,Unknown/Missing,32484.2 (29021.9),27436.5 (25481.3),30513.1 (26856.2),24818.3 (20879.7)
Pancreas,0,36800.9 (21984.3),38443.7 (22790.4),37755.2 (20432.4),30186.1 (16908.2)
Pancreas,1,39555.3 (30636.6),36661.1 (24150.2),35683.0 (25352.4),35966.9 (25358.7)
Pancreas,2,46008.3 (25354.6),46189.7 (26376.0),47274.1 (25334.0),46245.3 (25510.8)
Pancreas,3,37045.2 (27898.3),34721.9 (23576.5),36966.7 (26250.9),37219.2 (25981.3)
Pancreas,4,20489.4 (18860.1),22495.8 (20460.4),22459.7 (20036.7),22912.6 (19216.5)
Pancreas,Unknown/Missing,27322.6 (24108.0),29370.9 (25616.0),30353.0 (24383.5),30252.0 (24373.4)
