"Period","Month","Year","Geography level","Geography","Activity level","Breakdown","Breakdown value","Count","Adjusted count"
"Year",NA,"2019","National","England","Regimens","Tumour group","Bone and soft tissue",3180,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Brain and CNS",7307,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Breast",64182,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Colorectal",34061,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Endocrine",945,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Gynaecological",19715,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Haematological",81715,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Head and Neck",5200,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Lung",30530,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Melanoma",7174,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Oesophago-gastric",10946,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Other cancer",1660,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Other haematology",15167,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Prostate",19546,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Unknown",4002,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Upper GI excl OG",10832,NA
"Year",NA,"2019","National","England","Regimens","Tumour group","Urological excl prostate",13103,NA
"Month","January","2019","National","England","Regimens","Tumour group","Bone and soft tissue",820,783
"Month","January","2019","National","England","Regimens","Tumour group","Brain and CNS",1728,1649
"Month","January","2019","National","England","Regimens","Tumour group","Breast",18938,18077
"Month","January","2019","National","England","Regimens","Tumour group","Colorectal",8679,8284
"Month","January","2019","National","England","Regimens","Tumour group","Endocrine",260,248
"Month","January","2019","National","England","Regimens","Tumour group","Gynaecological",4952,4727
"Month","January","2019","National","England","Regimens","Tumour group","Haematological",21456,20481
"Month","January","2019","National","England","Regimens","Tumour group","Head and Neck",880,840
"Month","January","2019","National","England","Regimens","Tumour group","Lung",7953,7592
"Month","January","2019","National","England","Regimens","Tumour group","Melanoma",2303,2198
"Month","January","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2328,2222
"Month","January","2019","National","England","Regimens","Tumour group","Other cancer",483,461
"Month","January","2019","National","England","Regimens","Tumour group","Other haematology",4595,4386
"Month","January","2019","National","England","Regimens","Tumour group","Prostate",6826,6516
"Month","January","2019","National","England","Regimens","Tumour group","Unknown",1040,993
"Month","January","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2855,2725
"Month","January","2019","National","England","Regimens","Tumour group","Urological excl prostate",3668,3501
"Month","February","2019","National","England","Regimens","Tumour group","Bone and soft tissue",735,772
"Month","February","2019","National","England","Regimens","Tumour group","Brain and CNS",1545,1622
"Month","February","2019","National","England","Regimens","Tumour group","Breast",18160,19068
"Month","February","2019","National","England","Regimens","Tumour group","Colorectal",8344,8761
"Month","February","2019","National","England","Regimens","Tumour group","Endocrine",253,266
"Month","February","2019","National","England","Regimens","Tumour group","Gynaecological",4712,4948
"Month","February","2019","National","England","Regimens","Tumour group","Haematological",19647,20629
"Month","February","2019","National","England","Regimens","Tumour group","Head and Neck",892,937
"Month","February","2019","National","England","Regimens","Tumour group","Lung",7724,8110
"Month","February","2019","National","England","Regimens","Tumour group","Melanoma",2246,2358
"Month","February","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2285,2399
"Month","February","2019","National","England","Regimens","Tumour group","Other cancer",465,488
"Month","February","2019","National","England","Regimens","Tumour group","Other haematology",4169,4377
"Month","February","2019","National","England","Regimens","Tumour group","Prostate",6515,6841
"Month","February","2019","National","England","Regimens","Tumour group","Unknown",958,1006
"Month","February","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2782,2921
"Month","February","2019","National","England","Regimens","Tumour group","Urological excl prostate",3435,3607
"Month","March","2019","National","England","Regimens","Tumour group","Bone and soft tissue",795,795
"Month","March","2019","National","England","Regimens","Tumour group","Brain and CNS",1620,1620
"Month","March","2019","National","England","Regimens","Tumour group","Breast",18951,18951
"Month","March","2019","National","England","Regimens","Tumour group","Colorectal",8501,8501
"Month","March","2019","National","England","Regimens","Tumour group","Endocrine",272,272
"Month","March","2019","National","England","Regimens","Tumour group","Gynaecological",4890,4890
"Month","March","2019","National","England","Regimens","Tumour group","Haematological",20976,20976
"Month","March","2019","National","England","Regimens","Tumour group","Head and Neck",937,937
"Month","March","2019","National","England","Regimens","Tumour group","Lung",8021,8021
"Month","March","2019","National","England","Regimens","Tumour group","Melanoma",2419,2419
"Month","March","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2356,2356
"Month","March","2019","National","England","Regimens","Tumour group","Other cancer",466,466
"Month","March","2019","National","England","Regimens","Tumour group","Other haematology",4422,4422
"Month","March","2019","National","England","Regimens","Tumour group","Prostate",6660,6660
"Month","March","2019","National","England","Regimens","Tumour group","Unknown",1001,1001
"Month","March","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2940,2940
"Month","March","2019","National","England","Regimens","Tumour group","Urological excl prostate",3572,3572
"Month","April","2019","National","England","Regimens","Tumour group","Bone and soft tissue",753,791
"Month","April","2019","National","England","Regimens","Tumour group","Brain and CNS",1548,1625
"Month","April","2019","National","England","Regimens","Tumour group","Breast",18741,19678
"Month","April","2019","National","England","Regimens","Tumour group","Colorectal",8360,8778
"Month","April","2019","National","England","Regimens","Tumour group","Endocrine",237,249
"Month","April","2019","National","England","Regimens","Tumour group","Gynaecological",4886,5130
"Month","April","2019","National","England","Regimens","Tumour group","Haematological",20662,21695
"Month","April","2019","National","England","Regimens","Tumour group","Head and Neck",928,974
"Month","April","2019","National","England","Regimens","Tumour group","Lung",7963,8361
"Month","April","2019","National","England","Regimens","Tumour group","Melanoma",2433,2555
"Month","April","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2299,2414
"Month","April","2019","National","England","Regimens","Tumour group","Other cancer",483,507
"Month","April","2019","National","England","Regimens","Tumour group","Other haematology",4452,4675
"Month","April","2019","National","England","Regimens","Tumour group","Prostate",6638,6970
"Month","April","2019","National","England","Regimens","Tumour group","Unknown",970,1018
"Month","April","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2885,3029
"Month","April","2019","National","England","Regimens","Tumour group","Urological excl prostate",3565,3743
"Month","May","2019","National","England","Regimens","Tumour group","Bone and soft tissue",815,815
"Month","May","2019","National","England","Regimens","Tumour group","Brain and CNS",1602,1602
"Month","May","2019","National","England","Regimens","Tumour group","Breast",19491,19491
"Month","May","2019","National","England","Regimens","Tumour group","Colorectal",8304,8304
"Month","May","2019","National","England","Regimens","Tumour group","Endocrine",243,243
"Month","May","2019","National","England","Regimens","Tumour group","Gynaecological",4998,4998
"Month","May","2019","National","England","Regimens","Tumour group","Haematological",21587,21587
"Month","May","2019","National","England","Regimens","Tumour group","Head and Neck",928,928
"Month","May","2019","National","England","Regimens","Tumour group","Lung",8243,8243
"Month","May","2019","National","England","Regimens","Tumour group","Melanoma",2542,2542
"Month","May","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2342,2342
"Month","May","2019","National","England","Regimens","Tumour group","Other cancer",476,476
"Month","May","2019","National","England","Regimens","Tumour group","Other haematology",4682,4682
"Month","May","2019","National","England","Regimens","Tumour group","Prostate",6637,6637
"Month","May","2019","National","England","Regimens","Tumour group","Unknown",1002,1002
"Month","May","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2944,2944
"Month","May","2019","National","England","Regimens","Tumour group","Urological excl prostate",3589,3589
"Month","June","2019","National","England","Regimens","Tumour group","Bone and soft tissue",782,821
"Month","June","2019","National","England","Regimens","Tumour group","Brain and CNS",1488,1562
"Month","June","2019","National","England","Regimens","Tumour group","Breast",19081,20035
"Month","June","2019","National","England","Regimens","Tumour group","Colorectal",8123,8529
"Month","June","2019","National","England","Regimens","Tumour group","Endocrine",234,246
"Month","June","2019","National","England","Regimens","Tumour group","Gynaecological",4819,5060
"Month","June","2019","National","England","Regimens","Tumour group","Haematological",20830,21872
"Month","June","2019","National","England","Regimens","Tumour group","Head and Neck",873,917
"Month","June","2019","National","England","Regimens","Tumour group","Lung",8115,8521
"Month","June","2019","National","England","Regimens","Tumour group","Melanoma",2577,2706
"Month","June","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2216,2327
"Month","June","2019","National","England","Regimens","Tumour group","Other cancer",470,494
"Month","June","2019","National","England","Regimens","Tumour group","Other haematology",4482,4706
"Month","June","2019","National","England","Regimens","Tumour group","Prostate",6560,6888
"Month","June","2019","National","England","Regimens","Tumour group","Unknown",1013,1064
"Month","June","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2850,2992
