...1,...2,Lung N (%),Colorectal N (%),Head_neck N (%),Liver N (%),Lymphoma N (%),Oesophageal N (%),Ovarian N (%),Pancreatic N (%)
Total N (%),NA,106879 (100·0),88362 (100·0),28611 (100·0),13333 (100·0),35393 (100·0),21024 (100·0),17764 (100·0),22291 (100·0)
Age at diagnosis (years),Mean (SD),68·6 (7·2),67·6 (7·8),64·3 (7·9),67·6 (7·7),67·0 (8·0),67·6 (7·5),65·6 (8·3),68·2 (7·6)
Age at diagnosis (years),Median (Quartiles),70·0 (64·0 to 74·0),69·0 (62·0 to 74·0),64·0 (58·0 to 70·0),69·0 (62·0 to 74·0),68·0 (61·0 to 74·0),68·0 (62·0 to 74·0),66·0 (59·0 to 73·0),69·0 (63·0 to 74·0)
Age group (years),50-59,13844 (13·0),15715 (17·8),8918 (31·2),2371 (17·8),7378 (20·8),3555 (16·9),4806 (27·1),3431 (15·4)
NA,60-69,39000 (36·5),31761 (35·9),11471 (40·1),4890 (36·7),12552 (35·5),8027 (38·2),6406 (36·1),7938 (35·6)
NA,70-79,54035 (50·6),40886 (46·3),8222 (28·7),6072 (45·5),15463 (43·7),9442 (44·9),6552 (36·9),10922 (49·0)
Gender,Male,57241 (53·6),51859 (58·7),20487 (71·6),9289 (69·7),19949 (56·4),15383 (73·2),0 (0·0),12115 (54·3)
NA,Female,49638 (46·4),36503 (41·3),8124 (28·4),4044 (30·3),15444 (43·6),5641 (26·8),17764 (100·0),10176 (45·7)
Ethnicity,White,98758 (92·4),79927 (90·5),26011 (90·9),11545 (86·6),31505 (89·0),19652 (93·5),15922 (89·6),19907 (89·3)
NA,Mixed & Other,1249 (1·2),1204 (1·4),402 (1·4),259 (1·9),574 (1·6),185 (0·9),244 (1·4),335 (1·5)
NA,Asian,1735 (1·6),1981 (2·2),886 (3·1),705 (5·3),1210 (3·4),294 (1·4),522 (2·9),537 (2·4)
NA,Black,1038 (1·0),1262 (1·4),305 (1·1),210 (1·6),503 (1·4),174 (0·8),245 (1·4),442 (2·0)
NA,Unknown,4099 (3·8),3988 (4·5),1007 (3·5),614 (4·6),1601 (4·5),719 (3·4),831 (4·7),1070 (4·8)
English Index of Multiple Deprivation,1 - least deprived,14543 (13·6),19487 (22·1),4651 (16·3),2252 (16·9),8086 (22·8),3890 (18·5),3828 (21·5),4576 (20·5)
NA,2,18588 (17·4),20263 (22·9),5494 (19·2),2591 (19·4),8018 (22·7),4379 (20·8),4094 (23·0),4911 (22·0)
NA,3,20929 (19·6),18072 (20·5),5708 (20·0),2644 (19·8),7275 (20·6),4322 (20·6),3751 (21·1),4576 (20·5)
NA,4,23991 (22·4),16208 (18·3),5956 (20·8),2847 (21·4),6467 (18·3),4210 (20·0),3291 (18·5),4219 (18·9)
NA,5 - most deprived,28828 (27·0),14332 (16·2),6802 (23·8),2999 (22·5),5547 (15·7),4223 (20·1),2800 (15·8),4009 (18·0)
Route to diagnosis,Emergency presentation,30699 (28·7),15926 (18·0),1908 (6·7),4542 (34·1),7852 (22·2),3196 (15·2),4247 (23·9),8526 (38·2)
NA,GP routine referral,25890 (24·2),18750 (21·2),7358 (25·7),3921 (29·4),11670 (33·0),4093 (19·5),4183 (23·5),5319 (23·9)
NA,Inpatient elective,2003 (1·9),2992 (3·4),200 (0·7),253 (1·9),533 (1·5),1980 (9·4),239 (1·3),731 (3·3)
NA,Other outpatient,14264 (13·3),5755 (6·5),4110 (14·4),1951 (14·6),3874 (10·9),1395 (6·6),1823 (10·3),2325 (10·4)
NA,TWW,31726 (29·7),30132 (34·1),14420 (50·4),2032 (15·2),10057 (28·4),9874 (47·0),6809 (38·3),4792 (21·5)
NA,Unknown,2297 (2·1),1919 (2·2),615 (2·1),634 (4·8),1407 (4·0),486 (2·3),463 (2·6),598 (2·7)
NA,Screening,0 (0·0),12888 (14·6),0 (0·0),0 (0·0),0 (0·0),0 (0·0),0 (0·0),0 (0·0)
Stage at diagnosis,1,18875 (17·7),15578 (17·6),5126 (17·9),1060 (8·0),5534 (15·6),2118 (10·1),4558 (25·7),1128 (5·1)
NA,2,8176 (7·6),20515 (23·2),3192 (11·2),1230 (9·2),4107 (11·6),2789 (13·3),1054 (5·9),2989 (13·4)
NA,3,21649 (20·3),25148 (28·5),3360 (11·7),1010 (7·6),5908 (16·7),6878 (32·7),6434 (36·2),2149 (9·6)
NA,4,52465 (49·1),20473 (23·2),13848 (48·4),3801 (28·5),13966 (39·5),7068 (33·6),3594 (20·2),11935 (53·5)
NA,Unknown/Missing,5714 (5·3),6648 (7·5),3085 (10·8),6232 (46·7),5878 (16·6),2171 (10·3),2124 (12·0),4090 (18·3)
Year of diagnosis (registration date),2014,26009 (24·3),21583 (24·4),6821 (23·8),3076 (23·1),8658 (24·5),5123 (24·4),4522 (25·5),5275 (23·7)
NA,2015,26421 (24·7),22233 (25·2),7184 (25·1),3262 (24·5),8905 (25·2),5317 (25·3),4405 (24·8),5509 (24·7)
NA,2016,27135 (25·4),22147 (25·1),7276 (25·4),3523 (26·4),8910 (25·2),5279 (25·1),4441 (25·0),5628 (25·2)
NA,2017,27314 (25·6),22399 (25·3),7330 (25·6),3472 (26·0),8920 (25·2),5305 (25·2),4396 (24·7),5879 (26·4)
Charlson Comorbidity score ‘measured 78-6 months before diagnosis’,0,61225 (57·3),64080 (72·5),19295 (67·4),6250 (46·9),24664 (69·7),13993 (66·6),13975 (78·7),14576 (65·4)
NA,1,20107 (18·8),11384 (12·9),4251 (14·9),2170 (16·3),4877 (13·8),3270 (15·6),2097 (11·8),3626 (16·3)
NA,2,12403 (11·6),7046 (8·0),2563 (9·0),1402 (10·5),3273 (9·2),1908 (9·1),1051 (5·9),2068 (9·3)
