cancer_type,cost_outcome,Stage,absolute_average,absolute_conf_low,absolute_conf_high
Colorectal,0-1 years after diagnosis,I,13033.1,12832.3,13233.8
Colorectal,0-1 years after diagnosis,II,17679.2,17345.8,18012.7
Colorectal,0-1 years after diagnosis,III,23480.6,23155.6,23805.6
Colorectal,0-1 years after diagnosis,IV,24488,24154.3,24821.7
Colorectal,0-1 years after diagnosis,Missing/Unknown,13286.3,12866.7,13706
Head and neck,0-1 years after diagnosis,I,12551.4,12169.5,12933.2
Head and neck,0-1 years after diagnosis,II,19914.3,19190.4,20638.2
Head and neck,0-1 years after diagnosis,III,26129.6,25413.1,26846
Head and neck,0-1 years after diagnosis,IV,28211.1,27622.1,28800.1
Head and neck,0-1 years after diagnosis,Missing/Unknown,16413.9,15683.9,17143.9
Liver,0-1 years after diagnosis,I,15418.6,14644.5,16192.8
Liver,0-1 years after diagnosis,II,16115.3,14810.9,17419.7
Liver,0-1 years after diagnosis,III,14792.5,13442.3,16142.7
Liver,0-1 years after diagnosis,IV,15466.7,14291.7,16641.7
Liver,0-1 years after diagnosis,Missing/Unknown,13397.9,12258.4,14537.4
Lung,0-1 years after diagnosis,I,13978.2,13820.1,14136.2
Lung,0-1 years after diagnosis,II,17979.9,17653.6,18306.2
Lung,0-1 years after diagnosis,III,17697.3,17430,17964.6
Lung,0-1 years after diagnosis,IV,14633.1,14389.8,14876.4
Lung,0-1 years after diagnosis,Missing/Unknown,9529.5,9165.8,9893.1
Lymphoma,0-1 years after diagnosis,I,16819.3,16281.9,17356.7
Lymphoma,0-1 years after diagnosis,II,21824.4,20841.4,22807.5
Lymphoma,0-1 years after diagnosis,III,22367.2,21446.5,23287.9
Lymphoma,0-1 years after diagnosis,IV,27520.1,26687.9,28352.3
Lymphoma,0-1 years after diagnosis,Missing/Unknown,15559.6,14636.7,16482.5
Oesophageal,0-1 years after diagnosis,I,19918.5,19391.7,20445.3
Oesophageal,0-1 years after diagnosis,II,24899.4,24024.7,25774.1
Oesophageal,0-1 years after diagnosis,III,24536.2,23735.7,25336.6
Oesophageal,0-1 years after diagnosis,IV,16262.3,15462.6,17062
Oesophageal,0-1 years after diagnosis,Missing/Unknown,15174.2,14265.1,16083.3
Ovarian,0-1 years after diagnosis,I,12140.4,11771,12509.8
Ovarian,0-1 years after diagnosis,II,19601.6,18683.2,20519.9
Ovarian,0-1 years after diagnosis,III,26634.1,26025.1,27243
Ovarian,0-1 years after diagnosis,IV,27961.4,27293.2,28629.6
Ovarian,0-1 years after diagnosis,Missing/Unknown,15074.2,14324.9,15823.5
Pancreatic,0-1 years after diagnosis,I,20320,19556.5,21083.6
Pancreatic,0-1 years after diagnosis,II,28309.5,27131.7,29487.4
Pancreatic,0-1 years after diagnosis,III,21973,20759.4,23186.5
Pancreatic,0-1 years after diagnosis,IV,13614.5,12509.1,14719.8
Pancreatic,0-1 years after diagnosis,Missing/Unknown,16215.4,15063.6,17367.3
Colorectal,0-6 months before diagnosis,I,657.6,609.4,705.8
Colorectal,0-6 months before diagnosis,II,968.5,888.4,1048.6
Colorectal,0-6 months before diagnosis,III,863.2,785.1,941.2
Colorectal,0-6 months before diagnosis,IV,1222.2,1142.1,1302.4
Colorectal,0-6 months before diagnosis,Missing/Unknown,1884.2,1783.4,1984.9
Head and neck,0-6 months before diagnosis,I,474.1,394.1,554.2
Head and neck,0-6 months before diagnosis,II,738.5,586.7,890.2
Head and neck,0-6 months before diagnosis,III,834.9,684.7,985.1
Head and neck,0-6 months before diagnosis,IV,865.4,741.9,988.9
Head and neck,0-6 months before diagnosis,Missing/Unknown,1187.9,1034.8,1340.9
Liver,0-6 months before diagnosis,I,1956.5,1660.9,2252
Liver,0-6 months before diagnosis,II,1812,1314,2310
Liver,0-6 months before diagnosis,III,1956.7,1441.3,2472.2
Liver,0-6 months before diagnosis,IV,2106.1,1657.6,2554.7
Liver,0-6 months before diagnosis,Missing/Unknown,2239.4,1804.4,2674.4
Lung,0-6 months before diagnosis,I,2646.2,2589.6,2702.7
Lung,0-6 months before diagnosis,II,2210.8,2094.1,2327.5
Lung,0-6 months before diagnosis,III,1921.7,1826.1,2017.3
Lung,0-6 months before diagnosis,IV,1922.7,1835.7,2009.7
Lung,0-6 months before diagnosis,Missing/Unknown,2579.5,2449.4,2709.5
Lymphoma,0-6 months before diagnosis,I,1626.1,1506.7,1745.5
Lymphoma,0-6 months before diagnosis,II,1711.4,1493,1929.8
Lymphoma,0-6 months before diagnosis,III,1770.2,1565.7,1974.7
Lymphoma,0-6 months before diagnosis,IV,2194.5,2009.6,2379.3
