Cancer type,Stage at diagnosis,Tumour resection only: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Palliative: % of SoC treatments,Chemotherapy (other) only_SACT intent Curative: % of SoC treatments,Chemotherapy (other) only_SACT intent Other or unknown: % of SoC treatments,Chemotherapy (other) only_SACT intent Palliative: % of SoC treatments,Radiotherapy only-RTDS intent Curative: % of SoC treatments,Radiotherapy only-RTDS intent Other or unknown: % of SoC treatments,Radiotherapy only-RTDS intent Palliative: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Curative: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Other or unknown: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Palliative: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Curative: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Other or unknown: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Palliative: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Curative: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Other or unknown: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments,"Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments",Other care: % of SoC treatments
All cancers combined,1,43.615,0.375,0.346,0.301,0.013,0.032,0.049,7.849,1.173,0.227,1.608,1.749,0.26,0.139,0.422,0.113,15.436,1.738,0.104,0.728,0.012,0.026,0.153,0.122,0.016,0.104,0.004,0.033,0.017,0,0,0.074,0.042,0.003,0.007,0.001,0.006,2.674,0.054,0.013,0.353,0.241,0.009,0.101,0.005,0.019,0.04,0.001,0.001,0.084,0.043,0.001,0.006,0.001,0.01,19.447
All cancers combined,2,32.677,1.412,0.935,1.001,0.028,0.056,0.097,8.679,1.323,0.721,7.246,2.558,0.689,0.105,0.083,0.155,11.172,1.222,0.134,2.897,0.048,0.14,0.415,0.376,0.054,0.327,0.021,0.15,0.056,0.001,0.001,0.192,0.101,0.013,0.015,0.003,0.014,10.079,0.178,0.082,1.094,0.608,0.013,0.255,0.018,0.041,0.092,0.002,0.003,0.163,0.08,0.005,0.026,0.004,0.035,12.112
All cancers combined,3,17.158,3.096,2.074,4.652,0.053,0.102,0.447,12.84,1.562,1.978,12.553,3.358,1.84,0.244,0.114,0.303,2.874,0.404,0.159,5.203,0.127,0.425,0.73,0.678,0.209,1.426,0.095,1.183,0.127,0.003,0.004,0.327,0.235,0.038,0.031,0.014,0.064,6.996,0.182,0.114,0.667,0.536,0.033,0.305,0.025,0.088,0.074,0.007,0.008,0.237,0.132,0.007,0.032,0.004,0.064,13.768
All cancers combined,4,3.221,3.482,4.63,17.841,0.076,0.336,1.846,2.59,1.09,6.341,1.727,0.817,1.916,0.02,0.056,0.268,1.431,0.236,0.23,2.568,0.074,0.444,0.432,0.649,0.771,1.196,0.358,5.375,0.166,0.002,0.012,0.161,0.211,0.179,0.094,0.054,0.772,1.311,0.037,0.037,0.179,0.119,0.038,0.175,0.03,0.17,0.076,0.002,0.001,0.093,0.068,0.01,0.027,0.007,0.082,35.866
All cancers combined,X,16.439,1.594,2.408,4.021,0.095,0.215,0.622,5.1,1.297,1.681,1.765,1.345,0.652,0.14,0.102,0.181,2.364,0.465,0.088,1.516,0.035,0.149,0.306,0.325,0.158,0.432,0.072,0.63,0.056,0.001,0.002,0.087,0.122,0.036,0.025,0.018,0.129,1.952,0.033,0.025,0.238,0.249,0.015,0.109,0.017,0.065,0.028,0.003,0.001,0.045,0.038,0.002,0.015,0.003,0.022,52.464
Anus,1,27.897,0,0.286,0.143,0,0,0,2.432,0.572,1.001,0,0,0,0,0,0,1.86,0.286,0,23.462,0.286,0,2.575,3.004,0,1.144,0,0,1.001,0,0,1.288,3.29,0,0,0,0,17.74,0,0,1.144,1.431,0,0.143,0,0,0.143,0,0,1.431,1.144,0,0,0,0,6.295
Anus,2,7.297,0.074,0.223,0,0,0,0,3.649,1.34,1.191,0.223,0.074,0,0,0,0,1.564,0.149,0.521,41.623,0.223,0.223,4.542,3.872,0,0.67,0,0,1.415,0,0,3.202,2.234,0.149,0,0,0,16.902,0,0,1.415,0.819,0,0.298,0,0,0.223,0,0,1.415,0.67,0,0,0,0,3.797
Anus,3,1.785,0.193,0.434,0.338,0,0,0,2.75,0.965,2.75,0,0.241,0.193,0,0,0,0.868,0.145,0.434,46.117,0.193,0.241,4.631,4.293,0.048,1.061,0,0.145,0.917,0,0,3.136,2.46,0.338,0,0,0,17.028,0.193,0,0.82,0.482,0,0.434,0,0.145,0.289,0,0,1.302,0.338,0.048,0,0,0,4.245
Anus,4,3.929,0.982,2.358,13.36,0,0,0,2.554,1.375,8.644,0.393,0.196,2.75,0,0,0,0,0,1.179,16.503,0.196,0.982,1.375,2.554,0.589,3.34,0.982,4.519,0.196,0,0,2.554,1.572,0.786,0,0,0,5.894,0,0.393,0.786,0,0,0.786,0.196,1.375,0,0,0,0.196,0.196,0,0,0,0,16.306
Anus,X,19.172,0.545,0.763,0.654,0,0,0,3.922,0.871,2.941,0.436,0.545,0.218,0,0,0,2.505,0.327,0.218,19.281,0,0.109,2.723,4.031,0.109,0.654,0.327,0.327,0.763,0,0,1.416,1.525,0,0,0,0.109,11.765,0,0,0.98,0.654,0,0.436,0,0.109,0.327,0,0,0.871,0.436,0.109,0,0,0,19.826
Bladder,1,45.552,0.015,0.534,0.046,0.008,0.252,0.015,0.046,0.053,0.061,4.086,26.896,1.853,2.79,10.056,1.7,0.724,0.335,0.564,0.046,0,0,0,0,0,0.023,0,0.008,0,0,0,0,0.008,0,0,0,0,0.785,0.053,0.084,0.152,0.358,0.152,0.099,0.03,0.152,0.038,0,0.023,0.03,0.13,0.015,0.008,0.015,0.03,2.173
Bladder,2,11.449,2.571,3.279,1.751,0.014,0.459,0.195,10.574,3.057,4.155,9.296,8.962,0.584,0.014,0.097,0,0.028,0.181,0.181,17.16,0.181,0.945,2.39,2.584,0.333,1.862,0.028,1.014,0.111,0,0,0.333,0.236,0.042,0.111,0,0.042,0.139,0.111,0.264,0.083,0.208,0.014,0.028,0.014,0.042,0,0,0.014,0.014,0.014,0,0,0,0,14.84
