cancer,stage,sens,sens_95,fivey_netsurv
Anus ,All ,81.80%,(61.5-92.7%),
Anus ,I ,25.00%,(1.3-69.9%),92.19
Anus ,II ,75.00%,(30.1-98.7%),83.15
Anus ,III ,100.00%,(77.2-100.0%),68.96
Anus ,IV ,100.00%,(5.1-100.0%),17.49
Bladder ,All ,34.80%,(18.8-55.1%),
Bladder ,I ,33.30%,(9.7-70.0%),83.24
Bladder ,II ,9.10%,(0.5-37.7%),50.41
Bladder ,III ,75.00%,(30.1-98.7%),45.21
Bladder ,IV ,100.00%,(34.2-100.0%),13.09
Breast ,All ,30.50%,(26.7-34.6%),
Breast ,I ,2.60%,(1.3-5.4%),99.75
Breast ,II ,47.50%,(40.4-54.8%),93.21
Breast ,III ,85.50%,(73.8-92.4%),76.39
Breast ,IV ,90.90%,(72.2-97.5%),28.38
Cervix ,All ,80.00%,(60.9-91.1%),
Cervix ,I ,58.30%,(32.0-80.7%),94.91
Cervix ,II ,100.00%,(56.6-100.0%),69.08
Cervix ,III ,100.00%,(64.6-100.0%),38.52
Cervix ,IV ,100.00%,(5.1-100.0%),15.93
Colon/Rectum ,All ,82.00%,(76.2-86.7%),
Colon/Rectum ,I ,43.30%,(27.4-60.8%),95.49
Colon/Rectum ,II ,85.00%,(70.9-92.9%),86.34
Colon/Rectum ,III ,87.90%,(77.9-93.7%),70.15
Colon/Rectum ,IV ,95.30%,(87.1-98.4%),12.33
Oesophagus,All ,85.00%,(76.7-90.7%),
Oesophagus,I ,12.50%,(0.6-47.1%),58.93
Oesophagus,II ,64.70%,(41.3-82.7%),36.97
Oesophagus,III ,94.10%,(80.9-98.4%),19.92
Oesophagus,IV ,100.00%,(91.2-100.0%),2.91
Gallbladder ,All ,70.60%,(46.9-86.7%),
Gallbladder ,I ,0.00%,(0.0-65.8%),54.48
Gallbladder ,II ,33.30%,(1.7-79.2%),39.99
Gallbladder ,III ,75.00%,(30.1-98.7%),19.7
Gallbladder ,IV ,100.00%,(67.6-100.0%),2.68
Head and Neck ,All ,85.70%,(77.8-91.1%),
Head and Neck ,I ,63.20%,(41.0-80.9%),89.24
Head and Neck ,II ,82.40%,(59.0-93.8%),74.9
Head and Neck ,III ,84.20%,(62.4-94.5%),67.19
Head and Neck ,IV ,96.00%,(86.5-98.9%),48.52
Kidney ,All ,18.20%,(11.8-26.9%),
Kidney ,I ,4.90%,(1.7-13.5%),92.29
Kidney ,II ,22.20%,(6.3-54.7%),86.36
Kidney ,III ,14.30%,(0.7-51.3%),77.32
Kidney ,IV ,54.50%,(34.7-73.1%),14.65
Liver/Bile-duct ,All ,93.50%,(82.5-97.8%),
Liver/Bile-duct ,I ,100.00%,(61.0-100.0%),47.48
Liver/Bile-duct ,II ,70.00%,(39.7-89.2%),35.71
Liver/Bile-duct ,III ,100.00%,(70.1-100.0%),11.91
Liver/Bile-duct ,IV ,100.00%,(83.9-100.0%),2.53
Lung ,All ,74.80%,(70.3-78.7%),
Lung ,I ,21.90%,(14.8-31.1%),58.93
Lung ,II ,79.50%,(65.5-88.8%),36.79
Lung ,III ,90.70%,(84.1-94.7%),13.7
Lung ,IV ,95.20%,(90.4-97.6%),2.85
Lymphoid Leukemia* ,All ,41.20%,(28.8-54.8%),
Lymphoma ,All ,56.30%,(48.9-63.5%),
Lymphoma ,I ,27.30%,(15.1-44.2%),85.58
Lymphoma ,II ,58.30%,(44.3-71.2%),80.73
Lymphoma ,III ,71.70%,(57.5-82.7%),71.4
Lymphoma ,IV ,60.90%,(46.5-73.6%),65.38
Melanoma ,All ,46.20%,(23.2-70.9%),
Melanoma ,I ,0.00%,(0.0-65.8%),99.9
Melanoma ,II ,0.00%,(0.0-65.8%),80.87
Melanoma ,III ,0.00%,(0.0-56.1%),69.15
Melanoma ,IV ,100.00%,(61.0-100.0%),29.38
Myeloid Neoplasm,All ,20.00%,(5.7-51.0%),
Ovary ,All ,83.10%,(72.2-90.3%),
Ovary ,I ,50.00%,(23.7-76.3%),93.51
Ovary ,II ,80.00%,(37.6-99.0%),71.84
Ovary ,III ,87.10%,(71.1-94.9%),29.24
Ovary ,IV ,94.70%,(75.4-99.7%),16.52
Pancreas ,All ,83.70%,(76.6-89.0%),
Pancreas ,I ,61.90%,(40.9-79.2%),31.61
Pancreas ,II ,60.00%,(38.7-78.1%),18.63
Pancreas ,III ,85.70%,(65.4-95.0%),5.71
Pancreas ,IV ,95.90%,(88.6-98.6%),1.56
Plasma Cell Neoplasm ,All ,72.30%,(58.2-83.1%),
Plasma Cell Neoplasm ,I ,64.70%,(41.3-82.7%),
Plasma Cell Neoplasm ,II ,87.50%,(64.0-96.5%),
Plasma Cell Neoplasm ,III ,64.30%,(38.8-83.7%),
Prostate ,All ,11.20%,(8.5-14.6%),
Prostate ,I ,3.20%,(1.1-8.9%),99.9
Prostate ,II ,4.90%,(2.8-8.4%),99.9
Prostate ,III ,14.00%,(7.0-26.2%),99.43
Prostate ,IV ,83.30%,(66.4-92.7%),53.47
Sarcoma ,All ,60.00%,(42.3-75.4%),
Sarcoma ,I ,40.00%,(16.8-68.7%),81.22
Sarcoma ,II ,100.00%,(34.2-100.0%),68.79
Sarcoma ,III ,50.00%,(23.7-76.3%),50.72
Sarcoma ,IV ,85.70%,(48.7-99.3%),6.8
Stomach ,All ,66.70%,(48.8-80.8%),
Stomach ,I ,16.70%,(0.9-56.4%),70.79
Stomach ,II ,50.00%,(18.8-81.2%),38.5
Stomach ,III ,80.00%,(37.6-99.0%),26.24
Stomach ,IV ,100.00%,(75.8-100.0%),3.69
Thyroid ,All ,0.00%,(0.0-21.5%),
Thyroid ,I ,0.00%,(0.0-25.9%),99.9
Thyroid ,II ,0.00%,(0.0-94.9%),99.78
Thyroid ,III ,0.00%,(0.0-94.9%),96.88
Thyroid ,IV ,0.00%,(0.0-94.9%),53.27
Urothelial Tract ,All ,80.00%,(49.0-94.3%),
Urothelial Tract ,I ,0.00%,(0.0-65.8%),81.66
Urothelial Tract ,II ,,,68.91
Urothelial Tract ,III ,,,52.02
Urothelial Tract ,IV ,100.00%,(67.6-100.0%),11.51
Uterus ,All ,28.00%,(21.6-35.5%),
Uterus ,I ,16.70%,(11.1-24.3%),94.21
Uterus ,II ,30.00%,(10.8-60.3%),78.41
Uterus ,III ,73.90%,(53.5-87.5%),51.71
Uterus ,IV ,100.00%,(51.0-100.0%),18.81
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
 ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
 ,,,,
 ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
