Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Anus,I,50-54,1,negative,rmst,47.5,3.22 (2.67 to 4.07),3.22,2.67 to 4.07,2.67,4.07,(2.67 to 4.07)
Female,Anus,I,50-54,2,negative,rmst,47.5,3.16 (2.69 to 3.53),3.16,2.69 to 3.53,2.69,3.53,(2.69 to 3.53)
Female,Anus,I,50-54,2,positive,rmst,47.5,3.03 (2.91 to 3.36),3.03,2.91 to 3.36,2.91,3.36,(2.91 to 3.36)
Female,Anus,I,55-59,1,negative,rmst,42.5,2.67 (2.14 to 2.84),2.67,2.14 to 2.84,2.14,2.84,(2.14 to 2.84)
Female,Anus,I,55-59,2,negative,rmst,42.5,2.85 (2.73 to 3.06),2.85,2.73 to 3.06,2.73,3.06,(2.73 to 3.06)
Female,Anus,I,55-59,2,positive,rmst,42.5,2.93 (2.55 to 3.08),2.93,2.55 to 3.08,2.55,3.08,(2.55 to 3.08)
Female,Anus,I,60-64,1,negative,rmst,37.5,2.72 (2.57 to 2.96),2.72,2.57 to 2.96,2.57,2.96,(2.57 to 2.96)
Female,Anus,I,60-64,2,negative,rmst,37.5,2.79 (2.28 to 2.87),2.79,2.28 to 2.87,2.28,2.87,(2.28 to 2.87)
Female,Anus,I,60-64,2,positive,rmst,37.5,2.97 (2.39 to 3.44),2.97,2.39 to 3.44,2.39,3.44,(2.39 to 3.44)
Female,Anus,I,65-69,1,negative,rmst,32.5,2.96 (2.21 to 3.74),2.96,2.21 to 3.74,2.21,3.74,(2.21 to 3.74)
Female,Anus,I,65-69,2,negative,rmst,32.5,2.8 (2.43 to 3.11),2.8,2.43 to 3.11,2.43,3.11,(2.43 to 3.11)
Female,Anus,I,65-69,2,positive,rmst,32.5,2.88 (2.82 to 3.22),2.88,2.82 to 3.22,2.82,3.22,(2.82 to 3.22)
Female,Anus,I,70-74,1,negative,rmst,27.5,2.39 (1.68 to 2.63),2.39,1.68 to 2.63,1.68,2.63,(1.68 to 2.63)
Female,Anus,I,70-74,2,negative,rmst,27.5,1.92 (1.64 to 2.01),1.92,1.64 to 2.01,1.64,2.01,(1.64 to 2.01)
Female,Anus,I,70-74,2,positive,rmst,27.5,2.17 (1.91 to 2.48),2.17,1.91 to 2.48,1.91,2.48,(1.91 to 2.48)
Female,Anus,I,75-79,1,negative,rmst,22.5,2.58 (1.48 to 2.9),2.58,1.48 to 2.9,1.48,2.9,(1.48 to 2.9)
