Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Bladder,I,50-54,1,negative,rmst,47.5,2.97 (2.82 to 3.13),2.97,2.82 to 3.13,2.82,3.13,(2.82 to 3.13)
Female,Bladder,I,50-54,2,negative,rmst,47.5,3.05 (2.86 to 3.29),3.05,2.86 to 3.29,2.86,3.29,(2.86 to 3.29)
Female,Bladder,I,50-54,2,positive,rmst,47.5,2.96 (2.84 to 3.1),2.96,2.84 to 3.1,2.84,3.1,(2.84 to 3.1)
Female,Bladder,I,55-59,1,negative,rmst,42.5,2.95 (2.88 to 3.01),2.95,2.88 to 3.01,2.88,3.01,(2.88 to 3.01)
Female,Bladder,I,55-59,2,negative,rmst,42.5,2.96 (2.93 to 3),2.96,2.93 to 3,2.93,3,(2.93 to 3)
Female,Bladder,I,55-59,2,positive,rmst,42.5,2.91 (2.87 to 3.43),2.91,2.87 to 3.43,2.87,3.43,(2.87 to 3.43)
Female,Bladder,I,60-64,1,negative,rmst,37.5,3.08 (2.96 to 3.23),3.08,2.96 to 3.23,2.96,3.23,(2.96 to 3.23)
Female,Bladder,I,60-64,2,negative,rmst,37.5,3.13 (2.77 to 3.17),3.13,2.77 to 3.17,2.77,3.17,(2.77 to 3.17)
Female,Bladder,I,60-64,2,positive,rmst,37.5,3.08 (3.02 to 3.16),3.08,3.02 to 3.16,3.02,3.16,(3.02 to 3.16)
Female,Bladder,I,65-69,1,negative,rmst,32.5,2.83 (2.67 to 2.93),2.83,2.67 to 2.93,2.67,2.93,(2.67 to 2.93)
Female,Bladder,I,65-69,2,negative,rmst,32.5,2.86 (2.81 to 2.87),2.86,2.81 to 2.87,2.81,2.87,(2.81 to 2.87)
Female,Bladder,I,65-69,2,positive,rmst,32.5,2.89 (2.6 to 3.53),2.89,2.6 to 3.53,2.6,3.53,(2.6 to 3.53)
Female,Bladder,I,70-74,1,negative,rmst,27.5,2.66 (2.61 to 2.68),2.66,2.61 to 2.68,2.61,2.68,(2.61 to 2.68)
Female,Bladder,I,70-74,2,negative,rmst,27.5,2.66 (2.52 to 2.71),2.66,2.52 to 2.71,2.52,2.71,(2.52 to 2.71)
Female,Bladder,I,70-74,2,positive,rmst,27.5,2.56 (2.54 to 2.69),2.56,2.54 to 2.69,2.54,2.69,(2.54 to 2.69)
Female,Bladder,I,75-79,1,negative,rmst,22.5,2.57 (2.45 to 2.64),2.57,2.45 to 2.64,2.45,2.64,(2.45 to 2.64)
Female,Bladder,I,75-79,2,negative,rmst,22.5,2.58 (2.36 to 2.63),2.58,2.36 to 2.63,2.36,2.63,(2.36 to 2.63)
Female,Bladder,I,75-79,2,positive,rmst,22.5,2.61 (2.58 to 2.65),2.61,2.58 to 2.65,2.58,2.65,(2.58 to 2.65)
Female,Bladder,II,50-54,1,negative,rmst,47.5,1.98 (1.95 to 2.56),1.98,1.95 to 2.56,1.95,2.56,(1.95 to 2.56)
Female,Bladder,II,50-54,2,negative,rmst,47.5,2.2 (2.01 to 3.28),2.2,2.01 to 3.28,2.01,3.28,(2.01 to 3.28)
Female,Bladder,II,50-54,2,positive,rmst,47.5,2.29 (1.9 to 5.09),2.29,1.9 to 5.09,1.9,5.09,(1.9 to 5.09)
Female,Bladder,II,55-59,1,negative,rmst,42.5,2.23 (2.03 to 2.33),2.23,2.03 to 2.33,2.03,2.33,(2.03 to 2.33)
Female,Bladder,II,55-59,2,negative,rmst,42.5,2.18 (2.13 to 2.51),2.18,2.13 to 2.51,2.13,2.51,(2.13 to 2.51)
Female,Bladder,II,55-59,2,positive,rmst,42.5,2.22 (2.18 to 2.36),2.22,2.18 to 2.36,2.18,2.36,(2.18 to 2.36)
Female,Bladder,II,60-64,1,negative,rmst,37.5,2.16 (2.11 to 2.33),2.16,2.11 to 2.33,2.11,2.33,(2.11 to 2.33)
Female,Bladder,II,60-64,2,negative,rmst,37.5,2.1 (1.97 to 2.41),2.1,1.97 to 2.41,1.97,2.41,(1.97 to 2.41)
Female,Bladder,II,60-64,2,positive,rmst,37.5,2.33 (2.13 to 2.4),2.33,2.13 to 2.4,2.13,2.4,(2.13 to 2.4)
Female,Bladder,II,65-69,1,negative,rmst,32.5,2.26 (2.16 to 2.36),2.26,2.16 to 2.36,2.16,2.36,(2.16 to 2.36)
Female,Bladder,II,65-69,2,negative,rmst,32.5,2.21 (2.09 to 2.27),2.21,2.09 to 2.27,2.09,2.27,(2.09 to 2.27)
Female,Bladder,II,65-69,2,positive,rmst,32.5,2.2 (2.04 to 2.32),2.2,2.04 to 2.32,2.04,2.32,(2.04 to 2.32)
Female,Bladder,II,70-74,1,negative,rmst,27.5,2.04 (1.89 to 2.12),2.04,1.89 to 2.12,1.89,2.12,(1.89 to 2.12)
Female,Bladder,II,70-74,2,negative,rmst,27.5,2.03 (1.9 to 2.07),2.03,1.9 to 2.07,1.9,2.07,(1.9 to 2.07)
Female,Bladder,II,70-74,2,positive,rmst,27.5,2.02 (1.96 to 2.16),2.02,1.96 to 2.16,1.96,2.16,(1.96 to 2.16)
Female,Bladder,II,75-79,1,negative,rmst,22.5,1.76 (1.73 to 1.83),1.76,1.73 to 1.83,1.73,1.83,(1.73 to 1.83)
Female,Bladder,II,75-79,2,negative,rmst,22.5,1.72 (1.66 to 1.8),1.72,1.66 to 1.8,1.66,1.8,(1.66 to 1.8)
Female,Bladder,II,75-79,2,positive,rmst,22.5,1.74 (1.7 to 1.79),1.74,1.7 to 1.79,1.7,1.79,(1.7 to 1.79)
Female,Bladder,III,50-54,1,negative,rmst,47.5,1.95 (1.71 to 2.29),1.95,1.71 to 2.29,1.71,2.29,(1.71 to 2.29)
Female,Bladder,III,50-54,2,negative,rmst,47.5,2.16 (2.03 to 2.71),2.16,2.03 to 2.71,2.03,2.71,(2.03 to 2.71)
Female,Bladder,III,50-54,2,positive,rmst,47.5,1.95 (1.7 to 2.07),1.95,1.7 to 2.07,1.7,2.07,(1.7 to 2.07)
Female,Bladder,III,55-59,1,negative,rmst,42.5,1.98 (1.86 to 2.42),1.98,1.86 to 2.42,1.86,2.42,(1.86 to 2.42)
Female,Bladder,III,55-59,2,negative,rmst,42.5,2.01 (1.68 to 2.74),2.01,1.68 to 2.74,1.68,2.74,(1.68 to 2.74)
Female,Bladder,III,55-59,2,positive,rmst,42.5,1.9 (1.69 to 2.4),1.9,1.69 to 2.4,1.69,2.4,(1.69 to 2.4)
Female,Bladder,III,60-64,1,negative,rmst,37.5,1.78 (1.62 to 1.93),1.78,1.62 to 1.93,1.62,1.93,(1.62 to 1.93)
Female,Bladder,III,60-64,2,negative,rmst,37.5,1.69 (1.57 to 1.83),1.69,1.57 to 1.83,1.57,1.83,(1.57 to 1.83)
Female,Bladder,III,60-64,2,positive,rmst,37.5,1.86 (1.8 to 2.03),1.86,1.8 to 2.03,1.8,2.03,(1.8 to 2.03)
Female,Bladder,III,65-69,1,negative,rmst,32.5,1.91 (1.63 to 1.97),1.91,1.63 to 1.97,1.63,1.97,(1.63 to 1.97)
Female,Bladder,III,65-69,2,negative,rmst,32.5,1.95 (1.71 to 2.19),1.95,1.71 to 2.19,1.71,2.19,(1.71 to 2.19)
Female,Bladder,III,65-69,2,positive,rmst,32.5,2 (1.75 to 2.49),2,1.75 to 2.49,1.75,2.49,(1.75 to 2.49)
Female,Bladder,III,70-74,1,negative,rmst,27.5,1.66 (1.53 to 1.73),1.66,1.53 to 1.73,1.53,1.73,(1.53 to 1.73)
Female,Bladder,III,70-74,2,negative,rmst,27.5,1.73 (1.59 to 3.01),1.73,1.59 to 3.01,1.59,3.01,(1.59 to 3.01)
Female,Bladder,III,70-74,2,positive,rmst,27.5,1.63 (1.57 to 1.74),1.63,1.57 to 1.74,1.57,1.74,(1.57 to 1.74)
Female,Bladder,III,75-79,1,negative,rmst,22.5,1.62 (1.52 to 1.8),1.62,1.52 to 1.8,1.52,1.8,(1.52 to 1.8)
Female,Bladder,III,75-79,2,negative,rmst,22.5,1.53 (1.25 to 1.65),1.53,1.25 to 1.65,1.25,1.65,(1.25 to 1.65)
Female,Bladder,III,75-79,2,positive,rmst,22.5,1.5 (1.37 to 1.53),1.5,1.37 to 1.53,1.37,1.53,(1.37 to 1.53)
Female,Bladder,IV,50-54,1,negative,rmst,47.5,1.65 (1.31 to 1.87),1.65,1.31 to 1.87,1.31,1.87,(1.31 to 1.87)
Female,Bladder,IV,50-54,2,negative,rmst,47.5,1.63 (1.41 to 1.86),1.63,1.41 to 1.86,1.41,1.86,(1.41 to 1.86)
Female,Bladder,IV,50-54,2,positive,rmst,47.5,1.44 (1.33 to 1.77),1.44,1.33 to 1.77,1.33,1.77,(1.33 to 1.77)
Female,Bladder,IV,55-59,1,negative,rmst,42.5,1.22 (1.12 to 1.41),1.22,1.12 to 1.41,1.12,1.41,(1.12 to 1.41)
Female,Bladder,IV,55-59,2,negative,rmst,42.5,1.09 (1 to 1.31),1.09,1 to 1.31,1,1.31,(1 to 1.31)
Female,Bladder,IV,55-59,2,positive,rmst,42.5,1.15 (1.02 to 2.19),1.15,1.02 to 2.19,1.02,2.19,(1.02 to 2.19)
Female,Bladder,IV,60-64,1,negative,rmst,37.5,1.21 (1.1 to 1.62),1.21,1.1 to 1.62,1.1,1.62,(1.1 to 1.62)
Female,Bladder,IV,60-64,2,negative,rmst,37.5,1.27 (1.13 to 1.54),1.27,1.13 to 1.54,1.13,1.54,(1.13 to 1.54)
Female,Bladder,IV,60-64,2,positive,rmst,37.5,1.28 (1.11 to 2.11),1.28,1.11 to 2.11,1.11,2.11,(1.11 to 2.11)
Female,Bladder,IV,65-69,1,negative,rmst,32.5,1.24 (1.14 to 1.33),1.24,1.14 to 1.33,1.14,1.33,(1.14 to 1.33)
Female,Bladder,IV,65-69,2,negative,rmst,32.5,1.26 (1.14 to 1.53),1.26,1.14 to 1.53,1.14,1.53,(1.14 to 1.53)
Female,Bladder,IV,65-69,2,positive,rmst,32.5,1.18 (1.12 to 1.39),1.18,1.12 to 1.39,1.12,1.39,(1.12 to 1.39)
Female,Bladder,IV,70-74,1,negative,rmst,27.5,1.07 (0.99 to 1.19),1.07,0.99 to 1.19,0.99,1.19,(0.99 to 1.19)
Female,Bladder,IV,70-74,2,negative,rmst,27.5,0.99 (0.88 to 1.03),0.99,0.88 to 1.03,0.88,1.03,(0.88 to 1.03)
Female,Bladder,IV,70-74,2,positive,rmst,27.5,1.13 (1 to 1.63),1.13,1 to 1.63,1,1.63,(1 to 1.63)
Female,Bladder,IV,75-79,1,negative,rmst,22.5,0.93 (0.86 to 0.98),0.93,0.86 to 0.98,0.86,0.98,(0.86 to 0.98)
Female,Bladder,IV,75-79,2,negative,rmst,22.5,1.04 (0.91 to 1.21),1.04,0.91 to 1.21,0.91,1.21,(0.91 to 1.21)
Female,Bladder,IV,75-79,2,positive,rmst,22.5,0.95 (0.93 to 1.27),0.95,0.93 to 1.27,0.93,1.27,(0.93 to 1.27)
Female,Bladder,Unknown/missing,50-54,1,negative,rmst,47.5,3.59 (3.17 to 4.36),3.59,3.17 to 4.36,3.17,4.36,(3.17 to 4.36)
Female,Bladder,Unknown/missing,50-54,2,negative,rmst,47.5,3.1 (2.59 to 4.89),3.1,2.59 to 4.89,2.59,4.89,(2.59 to 4.89)
Female,Bladder,Unknown/missing,50-54,2,positive,rmst,47.5,3.9 (2.55 to 4.85),3.9,2.55 to 4.85,2.55,4.85,(2.55 to 4.85)
Female,Bladder,Unknown/missing,55-59,1,negative,rmst,42.5,2.97 (2.71 to 4.46),2.97,2.71 to 4.46,2.71,4.46,(2.71 to 4.46)
Female,Bladder,Unknown/missing,55-59,2,negative,rmst,42.5,3.52 (2.93 to 5.21),3.52,2.93 to 5.21,2.93,5.21,(2.93 to 5.21)
Female,Bladder,Unknown/missing,55-59,2,positive,rmst,42.5,3.29 (2.81 to 5.7),3.29,2.81 to 5.7,2.81,5.7,(2.81 to 5.7)
Female,Bladder,Unknown/missing,60-64,1,negative,rmst,37.5,2.9 (2.87 to 3.3),2.9,2.87 to 3.3,2.87,3.3,(2.87 to 3.3)
Female,Bladder,Unknown/missing,60-64,2,negative,rmst,37.5,3.19 (3 to 4.23),3.19,3 to 4.23,3,4.23,(3 to 4.23)
Female,Bladder,Unknown/missing,60-64,2,positive,rmst,37.5,3.11 (2.97 to 3.43),3.11,2.97 to 3.43,2.97,3.43,(2.97 to 3.43)
Female,Bladder,Unknown/missing,65-69,1,negative,rmst,32.5,2.62 (2.39 to 2.71),2.62,2.39 to 2.71,2.39,2.71,(2.39 to 2.71)
Female,Bladder,Unknown/missing,65-69,2,negative,rmst,32.5,2.49 (2.14 to 2.81),2.49,2.14 to 2.81,2.14,2.81,(2.14 to 2.81)
Female,Bladder,Unknown/missing,65-69,2,positive,rmst,32.5,2.6 (2.41 to 2.64),2.6,2.41 to 2.64,2.41,2.64,(2.41 to 2.64)
Female,Bladder,Unknown/missing,70-74,1,negative,rmst,27.5,2.37 (2.34 to 2.4),2.37,2.34 to 2.4,2.34,2.4,(2.34 to 2.4)
Female,Bladder,Unknown/missing,70-74,2,negative,rmst,27.5,2.31 (2.28 to 2.61),2.31,2.28 to 2.61,2.28,2.61,(2.28 to 2.61)
Female,Bladder,Unknown/missing,70-74,2,positive,rmst,27.5,2.44 (2.37 to 2.84),2.44,2.37 to 2.84,2.37,2.84,(2.37 to 2.84)
