Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Breast,I,50-54,1,negative,rmst,47.5,3.11 (3.06 to 3.14),3.11,3.06 to 3.14,3.06,3.14,(3.06 to 3.14)
Female,Breast,I,50-54,2,negative,rmst,47.5,3.11 (3.03 to 3.13),3.11,3.03 to 3.13,3.03,3.13,(3.03 to 3.13)
Female,Breast,I,50-54,2,positive,rmst,47.5,3.14 (2.95 to 3.16),3.14,2.95 to 3.16,2.95,3.16,(2.95 to 3.16)
Female,Breast,I,55-59,1,negative,rmst,42.5,2.95 (2.84 to 3),2.95,2.84 to 3,2.84,3,(2.84 to 3)
Female,Breast,I,55-59,2,negative,rmst,42.5,3.01 (2.96 to 3.03),3.01,2.96 to 3.03,2.96,3.03,(2.96 to 3.03)
Female,Breast,I,55-59,2,positive,rmst,42.5,3 (2.97 to 3.03),3,2.97 to 3.03,2.97,3.03,(2.97 to 3.03)
Female,Breast,I,60-64,1,negative,rmst,37.5,3.03 (2.95 to 3.15),3.03,2.95 to 3.15,2.95,3.15,(2.95 to 3.15)
Female,Breast,I,60-64,2,negative,rmst,37.5,3.13 (3.03 to 3.17),3.13,3.03 to 3.17,3.03,3.17,(3.03 to 3.17)
Female,Breast,I,60-64,2,positive,rmst,37.5,3.14 (3.13 to 3.15),3.14,3.13 to 3.15,3.13,3.15,(3.13 to 3.15)
Female,Breast,I,65-69,1,negative,rmst,32.5,3.13 (3.04 to 3.15),3.13,3.04 to 3.15,3.04,3.15,(3.04 to 3.15)
Female,Breast,I,65-69,2,negative,rmst,32.5,3.12 (3.09 to 3.13),3.12,3.09 to 3.13,3.09,3.13,(3.09 to 3.13)
Female,Breast,I,65-69,2,positive,rmst,32.5,3.11 (3.1 to 3.17),3.11,3.1 to 3.17,3.1,3.17,(3.1 to 3.17)
Female,Breast,I,70-74,1,negative,rmst,27.5,2.76 (2.69 to 2.79),2.76,2.69 to 2.79,2.69,2.79,(2.69 to 2.79)
Female,Breast,I,70-74,2,negative,rmst,27.5,2.76 (2.72 to 2.77),2.76,2.72 to 2.77,2.72,2.77,(2.72 to 2.77)
Female,Breast,I,70-74,2,positive,rmst,27.5,2.73 (2.71 to 2.76),2.73,2.71 to 2.76,2.71,2.76,(2.71 to 2.76)
Female,Breast,I,75-79,1,negative,rmst,22.5,2.87 (2.86 to 2.89),2.87,2.86 to 2.89,2.86,2.89,(2.86 to 2.89)
Female,Breast,I,75-79,2,negative,rmst,22.5,2.85 (2.77 to 2.88),2.85,2.77 to 2.88,2.77,2.88,(2.77 to 2.88)
