Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Colon/Rectum,I,50-54,1,negative,rmst,47.5,3.13 (2.85 to 3.27),3.13,2.85 to 3.27,2.85,3.27,(2.85 to 3.27)
Female,Colon/Rectum,I,50-54,2,negative,rmst,47.5,3.11 (2.9 to 3.13),3.11,2.9 to 3.13,2.9,3.13,(2.9 to 3.13)
Female,Colon/Rectum,I,50-54,2,positive,rmst,47.5,3.02 (2.83 to 3.03),3.02,2.83 to 3.03,2.83,3.03,(2.83 to 3.03)
Female,Colon/Rectum,I,55-59,1,negative,rmst,42.5,2.67 (2.64 to 2.72),2.67,2.64 to 2.72,2.64,2.72,(2.64 to 2.72)
Female,Colon/Rectum,I,55-59,2,negative,rmst,42.5,2.68 (2.54 to 2.74),2.68,2.54 to 2.74,2.54,2.74,(2.54 to 2.74)
Female,Colon/Rectum,I,55-59,2,positive,rmst,42.5,2.63 (2.58 to 2.73),2.63,2.58 to 2.73,2.58,2.73,(2.58 to 2.73)
Female,Colon/Rectum,I,60-64,1,negative,rmst,37.5,2.91 (2.82 to 2.96),2.91,2.82 to 2.96,2.82,2.96,(2.82 to 2.96)
Female,Colon/Rectum,I,60-64,2,negative,rmst,37.5,2.88 (2.75 to 2.95),2.88,2.75 to 2.95,2.75,2.95,(2.75 to 2.95)
Female,Colon/Rectum,I,60-64,2,positive,rmst,37.5,2.96 (2.94 to 3),2.96,2.94 to 3,2.94,3,(2.94 to 3)
Female,Colon/Rectum,I,65-69,1,negative,rmst,32.5,2.94 (2.84 to 2.98),2.94,2.84 to 2.98,2.84,2.98,(2.84 to 2.98)
Female,Colon/Rectum,I,65-69,2,negative,rmst,32.5,2.95 (2.83 to 2.97),2.95,2.83 to 2.97,2.83,2.97,(2.83 to 2.97)
Female,Colon/Rectum,I,65-69,2,positive,rmst,32.5,2.91 (2.82 to 3.03),2.91,2.82 to 3.03,2.82,3.03,(2.82 to 3.03)
Female,Colon/Rectum,I,70-74,1,negative,rmst,27.5,2.81 (2.78 to 2.83),2.81,2.78 to 2.83,2.78,2.83,(2.78 to 2.83)
Female,Colon/Rectum,I,70-74,2,negative,rmst,27.5,2.79 (2.62 to 2.85),2.79,2.62 to 2.85,2.62,2.85,(2.62 to 2.85)
Female,Colon/Rectum,I,70-74,2,positive,rmst,27.5,2.78 (2.49 to 2.84),2.78,2.49 to 2.84,2.49,2.84,(2.49 to 2.84)
Female,Colon/Rectum,I,75-79,1,negative,rmst,22.5,2.64 (2.51 to 2.74),2.64,2.51 to 2.74,2.51,2.74,(2.51 to 2.74)
Female,Colon/Rectum,I,75-79,2,negative,rmst,22.5,2.74 (2.69 to 2.76),2.74,2.69 to 2.76,2.69,2.76,(2.69 to 2.76)
Female,Colon/Rectum,I,75-79,2,positive,rmst,22.5,2.66 (2.66 to 2.77),2.66,2.66 to 2.77,2.66,2.77,(2.66 to 2.77)
Female,Colon/Rectum,II,50-54,1,negative,rmst,47.5,2.81 (2.75 to 3.02),2.81,2.75 to 3.02,2.75,3.02,(2.75 to 3.02)
Female,Colon/Rectum,II,50-54,2,negative,rmst,47.5,2.89 (2.47 to 3.03),2.89,2.47 to 3.03,2.47,3.03,(2.47 to 3.03)
Female,Colon/Rectum,II,50-54,2,positive,rmst,47.5,2.94 (2.39 to 3.04),2.94,2.39 to 3.04,2.39,3.04,(2.39 to 3.04)
Female,Colon/Rectum,II,55-59,1,negative,rmst,42.5,2.97 (2.75 to 3),2.97,2.75 to 3,2.75,3,(2.75 to 3)
Female,Colon/Rectum,II,55-59,2,negative,rmst,42.5,2.96 (2.87 to 3.03),2.96,2.87 to 3.03,2.87,3.03,(2.87 to 3.03)
Female,Colon/Rectum,II,55-59,2,positive,rmst,42.5,2.95 (2.86 to 3.05),2.95,2.86 to 3.05,2.86,3.05,(2.86 to 3.05)
Female,Colon/Rectum,II,60-64,1,negative,rmst,37.5,2.82 (2.6 to 2.87),2.82,2.6 to 2.87,2.6,2.87,(2.6 to 2.87)
