Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Esophagus,I,50-54,1,negative,rmst,47.5,2.5 (2.31 to 2.58),2.5,2.31 to 2.58,2.31,2.58,(2.31 to 2.58)
Female,Esophagus,I,50-54,2,negative,rmst,47.5,2.6 (2.45 to 2.83),2.6,2.45 to 2.83,2.45,2.83,(2.45 to 2.83)
Female,Esophagus,I,50-54,2,positive,rmst,47.5,2.43 (2.3 to 2.63),2.43,2.3 to 2.63,2.3,2.63,(2.3 to 2.63)
Female,Esophagus,I,55-59,1,negative,rmst,42.5,2.53 (2.48 to 2.69),2.53,2.48 to 2.69,2.48,2.69,(2.48 to 2.69)
Female,Esophagus,I,55-59,2,negative,rmst,42.5,2.5 (2.38 to 2.68),2.5,2.38 to 2.68,2.38,2.68,(2.38 to 2.68)
Female,Esophagus,I,55-59,2,positive,rmst,42.5,2.31 (1.63 to 2.6),2.31,1.63 to 2.6,1.63,2.6,(1.63 to 2.6)
Female,Esophagus,I,60-64,1,negative,rmst,37.5,2.82 (2.73 to 2.92),2.82,2.73 to 2.92,2.73,2.92,(2.73 to 2.92)
Female,Esophagus,I,60-64,2,negative,rmst,37.5,2.61 (2.45 to 2.81),2.61,2.45 to 2.81,2.45,2.81,(2.45 to 2.81)
Female,Esophagus,I,60-64,2,positive,rmst,37.5,2.98 (2.13 to 3.81),2.98,2.13 to 3.81,2.13,3.81,(2.13 to 3.81)
Female,Esophagus,I,65-69,1,negative,rmst,32.5,2.58 (2.4 to 2.73),2.58,2.4 to 2.73,2.4,2.73,(2.4 to 2.73)
Female,Esophagus,I,65-69,2,negative,rmst,32.5,2.7 (2.44 to 3.03),2.7,2.44 to 3.03,2.44,3.03,(2.44 to 3.03)
Female,Esophagus,I,65-69,2,positive,rmst,32.5,2.57 (2.51 to 2.69),2.57,2.51 to 2.69,2.51,2.69,(2.51 to 2.69)
