Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Gallbladder,I,50-54,1,negative,rmst,47.5,3.14 (2 to 3.82),3.14,2 to 3.82,2,3.82,(2 to 3.82)
Female,Gallbladder,I,50-54,2,negative,rmst,47.5,2.27 (2.04 to 4.78),2.27,2.04 to 4.78,2.04,4.78,(2.04 to 4.78)
Female,Gallbladder,I,50-54,2,positive,rmst,47.5,2.22 (1.57 to 4.02),2.22,1.57 to 4.02,1.57,4.02,(1.57 to 4.02)
Female,Gallbladder,I,55-59,1,negative,rmst,42.5,1.85 (1.39 to 2.46),1.85,1.39 to 2.46,1.39,2.46,(1.39 to 2.46)
Female,Gallbladder,I,55-59,2,negative,rmst,42.5,2.22 (1.74 to 2.26),2.22,1.74 to 2.26,1.74,2.26,(1.74 to 2.26)
Female,Gallbladder,I,55-59,2,positive,rmst,42.5,1.78 (1.36 to 2.99),1.78,1.36 to 2.99,1.36,2.99,(1.36 to 2.99)
Female,Gallbladder,I,60-64,1,negative,rmst,37.5,2.71 (2.44 to 3.32),2.71,2.44 to 3.32,2.44,3.32,(2.44 to 3.32)
Female,Gallbladder,I,60-64,2,negative,rmst,37.5,2.86 (2.21 to 3.66),2.86,2.21 to 3.66,2.21,3.66,(2.21 to 3.66)
Female,Gallbladder,I,60-64,2,positive,rmst,37.5,3.02 (2.43 to 4.37),3.02,2.43 to 4.37,2.43,4.37,(2.43 to 4.37)
Female,Gallbladder,I,65-69,1,negative,rmst,32.5,2.45 (2.18 to 2.7),2.45,2.18 to 2.7,2.18,2.7,(2.18 to 2.7)
Female,Gallbladder,I,65-69,2,negative,rmst,32.5,1.99 (1.73 to 2.2),1.99,1.73 to 2.2,1.73,2.2,(1.73 to 2.2)
Female,Gallbladder,I,65-69,2,positive,rmst,32.5,2.28 (1.91 to 2.32),2.28,1.91 to 2.32,1.91,2.32,(1.91 to 2.32)
Female,Gallbladder,I,70-74,1,negative,rmst,27.5,1.98 (1.75 to 2.34),1.98,1.75 to 2.34,1.75,2.34,(1.75 to 2.34)
Female,Gallbladder,I,70-74,2,negative,rmst,27.5,2.13 (1.97 to 2.58),2.13,1.97 to 2.58,1.97,2.58,(1.97 to 2.58)
Female,Gallbladder,I,70-74,2,positive,rmst,27.5,2.11 (1.49 to 2.48),2.11,1.49 to 2.48,1.49,2.48,(1.49 to 2.48)
Female,Gallbladder,I,75-79,1,negative,rmst,22.5,1.57 (1.53 to 1.8),1.57,1.53 to 1.8,1.53,1.8,(1.53 to 1.8)
Female,Gallbladder,I,75-79,2,negative,rmst,22.5,1.76 (1.19 to 2.38),1.76,1.19 to 2.38,1.19,2.38,(1.19 to 2.38)
Female,Gallbladder,I,75-79,2,positive,rmst,22.5,1.57 (0.62 to 1.78),1.57,0.62 to 1.78,0.62,1.78,(0.62 to 1.78)
Female,Gallbladder,II,50-54,1,negative,rmst,47.5,2.14 (1.72 to 2.57),2.14,1.72 to 2.57,1.72,2.57,(1.72 to 2.57)
Female,Gallbladder,II,50-54,2,negative,rmst,47.5,2.03 (1.25 to 2.09),2.03,1.25 to 2.09,1.25,2.09,(1.25 to 2.09)
Female,Gallbladder,II,50-54,2,positive,rmst,47.5,2.26 (1.74 to 2.63),2.26,1.74 to 2.63,1.74,2.63,(1.74 to 2.63)
Female,Gallbladder,II,55-59,1,negative,rmst,42.5,2.11 (1.31 to 2.6),2.11,1.31 to 2.6,1.31,2.6,(1.31 to 2.6)
