Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Head and Neck,I,50-54,1,negative,rmst,47.5,2.74 (2.59 to 2.83),2.74,2.59 to 2.83,2.59,2.83,(2.59 to 2.83)
Female,Head and Neck,I,50-54,2,negative,rmst,47.5,2.72 (2.53 to 2.79),2.72,2.53 to 2.79,2.53,2.79,(2.53 to 2.79)
Female,Head and Neck,I,50-54,2,positive,rmst,47.5,2.83 (2.65 to 2.87),2.83,2.65 to 2.87,2.65,2.87,(2.65 to 2.87)
Female,Head and Neck,I,55-59,1,negative,rmst,42.5,2.72 (2.53 to 2.79),2.72,2.53 to 2.79,2.53,2.79,(2.53 to 2.79)
Female,Head and Neck,I,55-59,2,negative,rmst,42.5,2.68 (2.31 to 2.79),2.68,2.31 to 2.79,2.31,2.79,(2.31 to 2.79)
Female,Head and Neck,I,55-59,2,positive,rmst,42.5,2.78 (2.59 to 2.83),2.78,2.59 to 2.83,2.59,2.83,(2.59 to 2.83)
Female,Head and Neck,I,60-64,1,negative,rmst,37.5,2.92 (2.81 to 3),2.92,2.81 to 3,2.81,3,(2.81 to 3)
Female,Head and Neck,I,60-64,2,negative,rmst,37.5,2.9 (2.8 to 3.02),2.9,2.8 to 3.02,2.8,3.02,(2.8 to 3.02)
Female,Head and Neck,I,60-64,2,positive,rmst,37.5,2.98 (2.84 to 3.04),2.98,2.84 to 3.04,2.84,3.04,(2.84 to 3.04)
Female,Head and Neck,I,65-69,1,negative,rmst,32.5,2.84 (2.43 to 2.88),2.84,2.43 to 2.88,2.43,2.88,(2.43 to 2.88)
Female,Head and Neck,I,65-69,2,negative,rmst,32.5,2.8 (2.72 to 2.94),2.8,2.72 to 2.94,2.72,2.94,(2.72 to 2.94)
Female,Head and Neck,I,65-69,2,positive,rmst,32.5,2.83 (2.78 to 2.88),2.83,2.78 to 2.88,2.78,2.88,(2.78 to 2.88)
Female,Head and Neck,I,70-74,1,negative,rmst,27.5,2.56 (2.29 to 2.62),2.56,2.29 to 2.62,2.29,2.62,(2.29 to 2.62)
Female,Head and Neck,I,70-74,2,negative,rmst,27.5,2.57 (2.52 to 2.62),2.57,2.52 to 2.62,2.52,2.62,(2.52 to 2.62)
Female,Head and Neck,I,70-74,2,positive,rmst,27.5,2.57 (2.1 to 2.73),2.57,2.1 to 2.73,2.1,2.73,(2.1 to 2.73)
Female,Head and Neck,I,75-79,1,negative,rmst,22.5,2.65 (2.5 to 2.69),2.65,2.5 to 2.69,2.5,2.69,(2.5 to 2.69)
Female,Head and Neck,I,75-79,2,negative,rmst,22.5,2.58 (2.34 to 2.7),2.58,2.34 to 2.7,2.34,2.7,(2.34 to 2.7)
Female,Head and Neck,I,75-79,2,positive,rmst,22.5,2.57 (2.41 to 2.69),2.57,2.41 to 2.69,2.41,2.69,(2.41 to 2.69)
Female,Head and Neck,II,50-54,1,negative,rmst,47.5,2.84 (2.74 to 2.94),2.84,2.74 to 2.94,2.74,2.94,(2.74 to 2.94)
Female,Head and Neck,II,50-54,2,negative,rmst,47.5,2.78 (2.33 to 2.83),2.78,2.33 to 2.83,2.33,2.83,(2.33 to 2.83)
Female,Head and Neck,II,50-54,2,positive,rmst,47.5,2.82 (2.29 to 3.11),2.82,2.29 to 3.11,2.29,3.11,(2.29 to 3.11)
Female,Head and Neck,II,55-59,1,negative,rmst,42.5,2.6 (2.52 to 2.67),2.6,2.52 to 2.67,2.52,2.67,(2.52 to 2.67)
Female,Head and Neck,II,55-59,2,negative,rmst,42.5,2.61 (2.53 to 2.88),2.61,2.53 to 2.88,2.53,2.88,(2.53 to 2.88)
Female,Head and Neck,II,55-59,2,positive,rmst,42.5,2.66 (2.48 to 2.77),2.66,2.48 to 2.77,2.48,2.77,(2.48 to 2.77)
