Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Kidney,I,50-54,1,negative,rmst,47.5,2.75 (2.69 to 2.77),2.75,2.69 to 2.77,2.69,2.77,(2.69 to 2.77)
Female,Kidney,I,50-54,2,negative,rmst,47.5,2.75 (2.69 to 2.85),2.75,2.69 to 2.85,2.69,2.85,(2.69 to 2.85)
Female,Kidney,I,50-54,2,positive,rmst,47.5,2.67 (2.45 to 2.76),2.67,2.45 to 2.76,2.45,2.76,(2.45 to 2.76)
Female,Kidney,I,55-59,1,negative,rmst,42.5,2.82 (2.76 to 2.89),2.82,2.76 to 2.89,2.76,2.89,(2.76 to 2.89)
Female,Kidney,I,55-59,2,negative,rmst,42.5,2.79 (2.74 to 2.9),2.79,2.74 to 2.9,2.74,2.9,(2.74 to 2.9)
Female,Kidney,I,55-59,2,positive,rmst,42.5,2.86 (2.49 to 2.89),2.86,2.49 to 2.89,2.49,2.89,(2.49 to 2.89)
Female,Kidney,I,60-64,1,negative,rmst,37.5,2.87 (2.41 to 2.98),2.87,2.41 to 2.98,2.41,2.98,(2.41 to 2.98)
Female,Kidney,I,60-64,2,negative,rmst,37.5,2.81 (2.69 to 2.98),2.81,2.69 to 2.98,2.69,2.98,(2.69 to 2.98)
Female,Kidney,I,60-64,2,positive,rmst,37.5,2.85 (2.65 to 2.94),2.85,2.65 to 2.94,2.65,2.94,(2.65 to 2.94)
Female,Kidney,I,65-69,1,negative,rmst,32.5,2.77 (2.59 to 2.88),2.77,2.59 to 2.88,2.59,2.88,(2.59 to 2.88)
Female,Kidney,I,65-69,2,negative,rmst,32.5,2.77 (2.72 to 2.8),2.77,2.72 to 2.8,2.72,2.8,(2.72 to 2.8)
Female,Kidney,I,65-69,2,positive,rmst,32.5,2.78 (2.72 to 2.85),2.78,2.72 to 2.85,2.72,2.85,(2.72 to 2.85)
Female,Kidney,I,70-74,1,negative,rmst,27.5,2.56 (2.51 to 2.58),2.56,2.51 to 2.58,2.51,2.58,(2.51 to 2.58)
Female,Kidney,I,70-74,2,negative,rmst,27.5,2.57 (2.41 to 2.67),2.57,2.41 to 2.67,2.41,2.67,(2.41 to 2.67)
Female,Kidney,I,70-74,2,positive,rmst,27.5,2.56 (2.5 to 2.64),2.56,2.5 to 2.64,2.5,2.64,(2.5 to 2.64)
Female,Kidney,I,75-79,1,negative,rmst,22.5,2.6 (2.51 to 2.63),2.6,2.51 to 2.63,2.51,2.63,(2.51 to 2.63)
Female,Kidney,I,75-79,2,negative,rmst,22.5,2.49 (2.13 to 2.56),2.49,2.13 to 2.56,2.13,2.56,(2.13 to 2.56)
Female,Kidney,I,75-79,2,positive,rmst,22.5,2.59 (2.47 to 2.62),2.59,2.47 to 2.62,2.47,2.62,(2.47 to 2.62)
Female,Kidney,II,50-54,1,negative,rmst,47.5,3.21 (3.09 to 3.88),3.21,3.09 to 3.88,3.09,3.88,(3.09 to 3.88)
Female,Kidney,II,50-54,2,negative,rmst,47.5,3.06 (2.88 to 3.27),3.06,2.88 to 3.27,2.88,3.27,(2.88 to 3.27)
Female,Kidney,II,50-54,2,positive,rmst,47.5,3.02 (2.79 to 3.55),3.02,2.79 to 3.55,2.79,3.55,(2.79 to 3.55)
Female,Kidney,II,55-59,1,negative,rmst,42.5,2.96 (2.71 to 3.17),2.96,2.71 to 3.17,2.71,3.17,(2.71 to 3.17)
Female,Kidney,II,55-59,2,negative,rmst,42.5,2.78 (2.38 to 3.03),2.78,2.38 to 3.03,2.38,3.03,(2.38 to 3.03)
Female,Kidney,II,55-59,2,positive,rmst,42.5,2.84 (2.16 to 3.01),2.84,2.16 to 3.01,2.16,3.01,(2.16 to 3.01)
Female,Kidney,II,60-64,1,negative,rmst,37.5,2.82 (2.27 to 2.97),2.82,2.27 to 2.97,2.27,2.97,(2.27 to 2.97)
Female,Kidney,II,60-64,2,negative,rmst,37.5,2.94 (2.84 to 5.61),2.94,2.84 to 5.61,2.84,5.61,(2.84 to 5.61)
