Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Liver/Bile-duct,I,50-54,1,negative,rmst,47.5,1.85 (1.55 to 2.03),1.85,1.55 to 2.03,1.55,2.03,(1.55 to 2.03)
Female,Liver/Bile-duct,I,50-54,2,negative,rmst,47.5,2.01 (0.82 to 2.35),2.01,0.82 to 2.35,0.82,2.35,(0.82 to 2.35)
Female,Liver/Bile-duct,I,50-54,2,positive,rmst,47.5,1.9 (1.75 to 2.06),1.9,1.75 to 2.06,1.75,2.06,(1.75 to 2.06)
Female,Liver/Bile-duct,I,55-59,1,negative,rmst,42.5,1.93 (1.63 to 2.06),1.93,1.63 to 2.06,1.63,2.06,(1.63 to 2.06)
Female,Liver/Bile-duct,I,55-59,2,negative,rmst,42.5,1.79 (1.61 to 1.87),1.79,1.61 to 1.87,1.61,1.87,(1.61 to 1.87)
Female,Liver/Bile-duct,I,55-59,2,positive,rmst,42.5,1.84 (1.66 to 1.93),1.84,1.66 to 1.93,1.66,1.93,(1.66 to 1.93)
Female,Liver/Bile-duct,I,60-64,1,negative,rmst,37.5,1.62 (1.59 to 1.72),1.62,1.59 to 1.72,1.59,1.72,(1.59 to 1.72)
Female,Liver/Bile-duct,I,60-64,2,negative,rmst,37.5,1.7 (1.6 to 2.04),1.7,1.6 to 2.04,1.6,2.04,(1.6 to 2.04)
Female,Liver/Bile-duct,I,60-64,2,positive,rmst,37.5,1.52 (1.25 to 1.78),1.52,1.25 to 1.78,1.25,1.78,(1.25 to 1.78)
Female,Liver/Bile-duct,I,65-69,1,negative,rmst,32.5,1.7 (1.5 to 2.01),1.7,1.5 to 2.01,1.5,2.01,(1.5 to 2.01)
Female,Liver/Bile-duct,I,65-69,2,negative,rmst,32.5,1.63 (1.58 to 1.73),1.63,1.58 to 1.73,1.58,1.73,(1.58 to 1.73)
Female,Liver/Bile-duct,I,65-69,2,positive,rmst,32.5,1.96 (1.64 to 2.04),1.96,1.64 to 2.04,1.64,2.04,(1.64 to 2.04)
Female,Liver/Bile-duct,I,70-74,1,negative,rmst,27.5,1.46 (1.42 to 1.62),1.46,1.42 to 1.62,1.42,1.62,(1.42 to 1.62)
Female,Liver/Bile-duct,I,70-74,2,negative,rmst,27.5,1.35 (1.31 to 1.54),1.35,1.31 to 1.54,1.31,1.54,(1.31 to 1.54)
Female,Liver/Bile-duct,I,70-74,2,positive,rmst,27.5,1.47 (1.41 to 1.95),1.47,1.41 to 1.95,1.41,1.95,(1.41 to 1.95)
Female,Liver/Bile-duct,I,75-79,1,negative,rmst,22.5,1.28 (1.21 to 2.85),1.28,1.21 to 2.85,1.21,2.85,(1.21 to 2.85)
Female,Liver/Bile-duct,I,75-79,2,negative,rmst,22.5,1.35 (1.16 to 2.69),1.35,1.16 to 2.69,1.16,2.69,(1.16 to 2.69)
Female,Liver/Bile-duct,I,75-79,2,positive,rmst,22.5,1.31 (1.24 to 1.56),1.31,1.24 to 1.56,1.24,1.56,(1.24 to 1.56)
Female,Liver/Bile-duct,II,50-54,1,negative,rmst,47.5,1.58 (1.25 to 1.81),1.58,1.25 to 1.81,1.25,1.81,(1.25 to 1.81)
Female,Liver/Bile-duct,II,50-54,2,negative,rmst,47.5,1.61 (1.44 to 1.86),1.61,1.44 to 1.86,1.44,1.86,(1.44 to 1.86)
Female,Liver/Bile-duct,II,50-54,2,positive,rmst,47.5,1.6 (1.43 to 1.79),1.6,1.43 to 1.79,1.43,1.79,(1.43 to 1.79)
Female,Liver/Bile-duct,II,55-59,1,negative,rmst,42.5,1.7 (1.62 to 1.8),1.7,1.62 to 1.8,1.62,1.8,(1.62 to 1.8)
Female,Liver/Bile-duct,II,55-59,2,negative,rmst,42.5,1.69 (1.62 to 2.59),1.69,1.62 to 2.59,1.62,2.59,(1.62 to 2.59)
Female,Liver/Bile-duct,II,55-59,2,positive,rmst,42.5,1.6 (1.41 to 1.73),1.6,1.41 to 1.73,1.41,1.73,(1.41 to 1.73)
Female,Liver/Bile-duct,II,60-64,1,negative,rmst,37.5,1.53 (1.07 to 1.64),1.53,1.07 to 1.64,1.07,1.64,(1.07 to 1.64)
Female,Liver/Bile-duct,II,60-64,2,negative,rmst,37.5,1.57 (1.46 to 1.61),1.57,1.46 to 1.61,1.46,1.61,(1.46 to 1.61)
Female,Liver/Bile-duct,II,60-64,2,positive,rmst,37.5,1.53 (0.69 to 1.69),1.53,0.69 to 1.69,0.69,1.69,(0.69 to 1.69)
Female,Liver/Bile-duct,II,65-69,1,negative,rmst,32.5,1.64 (1.39 to 1.89),1.64,1.39 to 1.89,1.39,1.89,(1.39 to 1.89)
Female,Liver/Bile-duct,II,65-69,2,negative,rmst,32.5,1.48 (1.37 to 1.6),1.48,1.37 to 1.6,1.37,1.6,(1.37 to 1.6)
Female,Liver/Bile-duct,II,65-69,2,positive,rmst,32.5,1.5 (1.45 to 1.58),1.5,1.45 to 1.58,1.45,1.58,(1.45 to 1.58)
Female,Liver/Bile-duct,II,70-74,1,negative,rmst,27.5,1.38 (1.31 to 1.47),1.38,1.31 to 1.47,1.31,1.47,(1.31 to 1.47)
Female,Liver/Bile-duct,II,70-74,2,negative,rmst,27.5,1.34 (1.22 to 1.41),1.34,1.22 to 1.41,1.22,1.41,(1.22 to 1.41)
Female,Liver/Bile-duct,II,70-74,2,positive,rmst,27.5,1.24 (1.02 to 2.4),1.24,1.02 to 2.4,1.02,2.4,(1.02 to 2.4)
Female,Liver/Bile-duct,II,75-79,1,negative,rmst,22.5,1.23 (1.04 to 1.37),1.23,1.04 to 1.37,1.04,1.37,(1.04 to 1.37)
