Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Lung,I,50-54,1,negative,rmst,47.5,2.73 (2.66 to 2.77),2.73,2.66 to 2.77,2.66,2.77,(2.66 to 2.77)
Female,Lung,I,50-54,2,negative,rmst,47.5,2.72 (2.59 to 2.76),2.72,2.59 to 2.76,2.59,2.76,(2.59 to 2.76)
Female,Lung,I,50-54,2,positive,rmst,47.5,2.67 (2.63 to 2.77),2.67,2.63 to 2.77,2.63,2.77,(2.63 to 2.77)
Female,Lung,I,55-59,1,negative,rmst,42.5,2.44 (2.34 to 2.52),2.44,2.34 to 2.52,2.34,2.52,(2.34 to 2.52)
Female,Lung,I,55-59,2,negative,rmst,42.5,2.49 (2.15 to 2.63),2.49,2.15 to 2.63,2.15,2.63,(2.15 to 2.63)
Female,Lung,I,55-59,2,positive,rmst,42.5,2.52 (2.36 to 2.57),2.52,2.36 to 2.57,2.36,2.57,(2.36 to 2.57)
Female,Lung,I,60-64,1,negative,rmst,37.5,2.47 (2.25 to 2.68),2.47,2.25 to 2.68,2.25,2.68,(2.25 to 2.68)
Female,Lung,I,60-64,2,negative,rmst,37.5,2.48 (2.36 to 2.61),2.48,2.36 to 2.61,2.36,2.61,(2.36 to 2.61)
Female,Lung,I,60-64,2,positive,rmst,37.5,2.51 (2.39 to 2.53),2.51,2.39 to 2.53,2.39,2.53,(2.39 to 2.53)
Female,Lung,I,65-69,1,negative,rmst,32.5,2.43 (2.3 to 2.46),2.43,2.3 to 2.46,2.3,2.46,(2.3 to 2.46)
Female,Lung,I,65-69,2,negative,rmst,32.5,2.41 (2.3 to 2.5),2.41,2.3 to 2.5,2.3,2.5,(2.3 to 2.5)
Female,Lung,I,65-69,2,positive,rmst,32.5,2.45 (2.41 to 2.51),2.45,2.41 to 2.51,2.41,2.51,(2.41 to 2.51)
Female,Lung,I,70-74,1,negative,rmst,27.5,2.14 (2.12 to 2.19),2.14,2.12 to 2.19,2.12,2.19,(2.12 to 2.19)
Female,Lung,I,70-74,2,negative,rmst,27.5,2.17 (1.84 to 2.21),2.17,1.84 to 2.21,1.84,2.21,(1.84 to 2.21)
Female,Lung,I,70-74,2,positive,rmst,27.5,2.16 (1.97 to 2.17),2.16,1.97 to 2.17,1.97,2.17,(1.97 to 2.17)
Female,Lung,I,75-79,1,negative,rmst,22.5,1.98 (1.91 to 2.02),1.98,1.91 to 2.02,1.91,2.02,(1.91 to 2.02)
Female,Lung,I,75-79,2,negative,rmst,22.5,1.96 (1.86 to 1.98),1.96,1.86 to 1.98,1.86,1.98,(1.86 to 1.98)
Female,Lung,I,75-79,2,positive,rmst,22.5,1.96 (1.92 to 2),1.96,1.92 to 2,1.92,2,(1.92 to 2)
Female,Lung,II,50-54,1,negative,rmst,47.5,2.43 (2.38 to 2.64),2.43,2.38 to 2.64,2.38,2.64,(2.38 to 2.64)
Female,Lung,II,50-54,2,negative,rmst,47.5,2.62 (2.4 to 2.87),2.62,2.4 to 2.87,2.4,2.87,(2.4 to 2.87)
Female,Lung,II,50-54,2,positive,rmst,47.5,2.43 (2.13 to 2.59),2.43,2.13 to 2.59,2.13,2.59,(2.13 to 2.59)
Female,Lung,II,55-59,1,negative,rmst,42.5,2.31 (2.16 to 2.37),2.31,2.16 to 2.37,2.16,2.37,(2.16 to 2.37)
Female,Lung,II,55-59,2,negative,rmst,42.5,2.33 (1.47 to 2.46),2.33,1.47 to 2.46,1.47,2.46,(1.47 to 2.46)
Female,Lung,II,55-59,2,positive,rmst,42.5,2.14 (2.1 to 2.28),2.14,2.1 to 2.28,2.1,2.28,(2.1 to 2.28)
Female,Lung,II,60-64,1,negative,rmst,37.5,2.26 (2.23 to 2.3),2.26,2.23 to 2.3,2.23,2.3,(2.23 to 2.3)
Female,Lung,II,60-64,2,negative,rmst,37.5,2.23 (2.18 to 2.35),2.23,2.18 to 2.35,2.18,2.35,(2.18 to 2.35)
Female,Lung,II,60-64,2,positive,rmst,37.5,2.23 (2.09 to 2.36),2.23,2.09 to 2.36,2.09,2.36,(2.09 to 2.36)
Female,Lung,II,65-69,1,negative,rmst,32.5,1.9 (1.78 to 1.98),1.9,1.78 to 1.98,1.78,1.98,(1.78 to 1.98)
Female,Lung,II,65-69,2,negative,rmst,32.5,2.04 (1.88 to 2.11),2.04,1.88 to 2.11,1.88,2.11,(1.88 to 2.11)
Female,Lung,II,65-69,2,positive,rmst,32.5,1.99 (1.7 to 2.06),1.99,1.7 to 2.06,1.7,2.06,(1.7 to 2.06)
Female,Lung,II,70-74,1,negative,rmst,27.5,1.75 (1.36 to 1.8),1.75,1.36 to 1.8,1.36,1.8,(1.36 to 1.8)
Female,Lung,II,70-74,2,negative,rmst,27.5,1.69 (1.64 to 1.74),1.69,1.64 to 1.74,1.64,1.74,(1.64 to 1.74)
Female,Lung,II,70-74,2,positive,rmst,27.5,1.7 (1.67 to 1.77),1.7,1.67 to 1.77,1.67,1.77,(1.67 to 1.77)
Female,Lung,II,75-79,1,negative,rmst,22.5,1.56 (1.52 to 1.57),1.56,1.52 to 1.57,1.52,1.57,(1.52 to 1.57)
Female,Lung,II,75-79,2,negative,rmst,22.5,1.57 (1.54 to 1.62),1.57,1.54 to 1.62,1.54,1.62,(1.54 to 1.62)
Female,Lung,II,75-79,2,positive,rmst,22.5,1.54 (1.51 to 1.57),1.54,1.51 to 1.57,1.51,1.57,(1.51 to 1.57)
