Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Lymphoma,I,50-54,1,negative,rmst,47.5,2.85 (2.71 to 2.99),2.85,2.71 to 2.99,2.71,2.99,(2.71 to 2.99)
Female,Lymphoma,I,50-54,2,negative,rmst,47.5,2.73 (2.67 to 3.01),2.73,2.67 to 3.01,2.67,3.01,(2.67 to 3.01)
Female,Lymphoma,I,50-54,2,positive,rmst,47.5,2.81 (2.69 to 2.94),2.81,2.69 to 2.94,2.69,2.94,(2.69 to 2.94)
Female,Lymphoma,I,55-59,1,negative,rmst,42.5,2.62 (2.55 to 2.84),2.62,2.55 to 2.84,2.55,2.84,(2.55 to 2.84)
Female,Lymphoma,I,55-59,2,negative,rmst,42.5,2.76 (2.68 to 2.91),2.76,2.68 to 2.91,2.68,2.91,(2.68 to 2.91)
Female,Lymphoma,I,55-59,2,positive,rmst,42.5,2.74 (2.68 to 2.78),2.74,2.68 to 2.78,2.68,2.78,(2.68 to 2.78)
Female,Lymphoma,I,60-64,1,negative,rmst,37.5,2.93 (2.76 to 3),2.93,2.76 to 3,2.76,3,(2.76 to 3)
Female,Lymphoma,I,60-64,2,negative,rmst,37.5,3.1 (3.07 to 3.12),3.1,3.07 to 3.12,3.07,3.12,(3.07 to 3.12)
Female,Lymphoma,I,60-64,2,positive,rmst,37.5,2.99 (2.95 to 3.12),2.99,2.95 to 3.12,2.95,3.12,(2.95 to 3.12)
Female,Lymphoma,I,65-69,1,negative,rmst,32.5,2.96 (2.58 to 3.02),2.96,2.58 to 3.02,2.58,3.02,(2.58 to 3.02)
Female,Lymphoma,I,65-69,2,negative,rmst,32.5,2.9 (2.75 to 3.51),2.9,2.75 to 3.51,2.75,3.51,(2.75 to 3.51)
Female,Lymphoma,I,65-69,2,positive,rmst,32.5,2.86 (2.79 to 3.04),2.86,2.79 to 3.04,2.79,3.04,(2.79 to 3.04)
Female,Lymphoma,I,70-74,1,negative,rmst,27.5,2.49 (2.38 to 2.51),2.49,2.38 to 2.51,2.38,2.51,(2.38 to 2.51)
Female,Lymphoma,I,70-74,2,negative,rmst,27.5,2.56 (2.24 to 2.63),2.56,2.24 to 2.63,2.24,2.63,(2.24 to 2.63)
Female,Lymphoma,I,70-74,2,positive,rmst,27.5,2.57 (2.56 to 2.61),2.57,2.56 to 2.61,2.56,2.61,(2.56 to 2.61)
Female,Lymphoma,I,75-79,1,negative,rmst,22.5,2.53 (2.49 to 2.56),2.53,2.49 to 2.56,2.49,2.56,(2.49 to 2.56)
Female,Lymphoma,I,75-79,2,negative,rmst,22.5,2.5 (2.23 to 2.68),2.5,2.23 to 2.68,2.23,2.68,(2.23 to 2.68)
Female,Lymphoma,I,75-79,2,positive,rmst,22.5,2.54 (2.44 to 2.54),2.54,2.44 to 2.54,2.44,2.54,(2.44 to 2.54)
Female,Lymphoma,II,50-54,1,negative,rmst,47.5,2.85 (2.82 to 2.92),2.85,2.82 to 2.92,2.82,2.92,(2.82 to 2.92)
Female,Lymphoma,II,50-54,2,negative,rmst,47.5,2.87 (2.8 to 2.97),2.87,2.8 to 2.97,2.8,2.97,(2.8 to 2.97)
Female,Lymphoma,II,50-54,2,positive,rmst,47.5,2.9 (2.78 to 3.05),2.9,2.78 to 3.05,2.78,3.05,(2.78 to 3.05)
Female,Lymphoma,II,55-59,1,negative,rmst,42.5,2.84 (2.5 to 3.01),2.84,2.5 to 3.01,2.5,3.01,(2.5 to 3.01)
Female,Lymphoma,II,55-59,2,negative,rmst,42.5,2.85 (2.63 to 3.09),2.85,2.63 to 3.09,2.63,3.09,(2.63 to 3.09)
Female,Lymphoma,II,55-59,2,positive,rmst,42.5,2.72 (2.53 to 2.84),2.72,2.53 to 2.84,2.53,2.84,(2.53 to 2.84)
Female,Lymphoma,II,60-64,1,negative,rmst,37.5,2.74 (2.49 to 2.81),2.74,2.49 to 2.81,2.49,2.81,(2.49 to 2.81)
Female,Lymphoma,II,60-64,2,negative,rmst,37.5,2.73 (2.53 to 2.81),2.73,2.53 to 2.81,2.53,2.81,(2.53 to 2.81)
Female,Lymphoma,II,60-64,2,positive,rmst,37.5,2.7 (1.85 to 2.85),2.7,1.85 to 2.85,1.85,2.85,(1.85 to 2.85)
Female,Lymphoma,II,65-69,1,negative,rmst,32.5,2.69 (2.64 to 2.81),2.69,2.64 to 2.81,2.64,2.81,(2.64 to 2.81)
Female,Lymphoma,II,65-69,2,negative,rmst,32.5,2.67 (2.62 to 2.76),2.67,2.62 to 2.76,2.62,2.76,(2.62 to 2.76)
Female,Lymphoma,II,65-69,2,positive,rmst,32.5,2.7 (2.55 to 2.86),2.7,2.55 to 2.86,2.55,2.86,(2.55 to 2.86)
Female,Lymphoma,II,70-74,1,negative,rmst,27.5,2.41 (1.62 to 2.72),2.41,1.62 to 2.72,1.62,2.72,(1.62 to 2.72)
Female,Lymphoma,II,70-74,2,negative,rmst,27.5,2.43 (2.13 to 2.54),2.43,2.13 to 2.54,2.13,2.54,(2.13 to 2.54)
