Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Melanoma,I,50-54,1,negative,rmst,47.5,3.04 (2.96 to 3.05),3.04,2.96 to 3.05,2.96,3.05,(2.96 to 3.05)
Female,Melanoma,I,50-54,2,negative,rmst,47.5,2.98 (2.87 to 3.05),2.98,2.87 to 3.05,2.87,3.05,(2.87 to 3.05)
Female,Melanoma,I,50-54,2,positive,rmst,47.5,3 (2.98 to 3.07),3,2.98 to 3.07,2.98,3.07,(2.98 to 3.07)
Female,Melanoma,I,55-59,1,negative,rmst,42.5,2.94 (2.87 to 2.95),2.94,2.87 to 2.95,2.87,2.95,(2.87 to 2.95)
Female,Melanoma,I,55-59,2,negative,rmst,42.5,2.9 (2.85 to 2.96),2.9,2.85 to 2.96,2.85,2.96,(2.85 to 2.96)
Female,Melanoma,I,55-59,2,positive,rmst,42.5,2.84 (2.83 to 2.97),2.84,2.83 to 2.97,2.83,2.97,(2.83 to 2.97)
Female,Melanoma,I,60-64,1,negative,rmst,37.5,3.04 (2.99 to 3.12),3.04,2.99 to 3.12,2.99,3.12,(2.99 to 3.12)
Female,Melanoma,I,60-64,2,negative,rmst,37.5,3.02 (2.95 to 3.07),3.02,2.95 to 3.07,2.95,3.07,(2.95 to 3.07)
Female,Melanoma,I,60-64,2,positive,rmst,37.5,3 (2.82 to 3.01),3,2.82 to 3.01,2.82,3.01,(2.82 to 3.01)
Female,Melanoma,I,65-69,1,negative,rmst,32.5,2.97 (2.94 to 3.02),2.97,2.94 to 3.02,2.94,3.02,(2.94 to 3.02)
Female,Melanoma,I,65-69,2,negative,rmst,32.5,3.01 (2.9 to 3.05),3.01,2.9 to 3.05,2.9,3.05,(2.9 to 3.05)
Female,Melanoma,I,65-69,2,positive,rmst,32.5,3.05 (2.83 to 3.06),3.05,2.83 to 3.06,2.83,3.06,(2.83 to 3.06)
Female,Melanoma,I,70-74,1,negative,rmst,27.5,2.76 (2.68 to 2.8),2.76,2.68 to 2.8,2.68,2.8,(2.68 to 2.8)
Female,Melanoma,I,70-74,2,negative,rmst,27.5,2.74 (2.68 to 2.75),2.74,2.68 to 2.75,2.68,2.75,(2.68 to 2.75)
Female,Melanoma,I,70-74,2,positive,rmst,27.5,2.79 (2.7 to 2.81),2.79,2.7 to 2.81,2.7,2.81,(2.7 to 2.81)
Female,Melanoma,I,75-79,1,negative,rmst,22.5,2.77 (2.69 to 2.87),2.77,2.69 to 2.87,2.69,2.87,(2.69 to 2.87)
Female,Melanoma,I,75-79,2,negative,rmst,22.5,2.76 (2.67 to 2.82),2.76,2.67 to 2.82,2.67,2.82,(2.67 to 2.82)
Female,Melanoma,I,75-79,2,positive,rmst,22.5,2.75 (2.68 to 2.81),2.75,2.68 to 2.81,2.68,2.81,(2.68 to 2.81)
Female,Melanoma,II,50-54,1,negative,rmst,47.5,2.73 (2.36 to 2.83),2.73,2.36 to 2.83,2.36,2.83,(2.36 to 2.83)
Female,Melanoma,II,50-54,2,negative,rmst,47.5,2.69 (2.24 to 2.74),2.69,2.24 to 2.74,2.24,2.74,(2.24 to 2.74)
Female,Melanoma,II,50-54,2,positive,rmst,47.5,2.73 (2.67 to 2.87),2.73,2.67 to 2.87,2.67,2.87,(2.67 to 2.87)
