Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Ovary,I,50-54,1,negative,rmst,47.5,3.06 (2.84 to 3.22),3.06,2.84 to 3.22,2.84,3.22,(2.84 to 3.22)
Female,Ovary,I,50-54,2,negative,rmst,47.5,2.94 (2.93 to 3.08),2.94,2.93 to 3.08,2.93,3.08,(2.93 to 3.08)
Female,Ovary,I,50-54,2,positive,rmst,47.5,2.96 (2.69 to 3.09),2.96,2.69 to 3.09,2.69,3.09,(2.69 to 3.09)
Female,Ovary,I,55-59,1,negative,rmst,42.5,2.83 (2.75 to 3.47),2.83,2.75 to 3.47,2.75,3.47,(2.75 to 3.47)
Female,Ovary,I,55-59,2,negative,rmst,42.5,2.82 (2.78 to 2.93),2.82,2.78 to 2.93,2.78,2.93,(2.78 to 2.93)
Female,Ovary,I,55-59,2,positive,rmst,42.5,2.78 (2.67 to 2.9),2.78,2.67 to 2.9,2.67,2.9,(2.67 to 2.9)
Female,Ovary,I,60-64,1,negative,rmst,37.5,3.13 (2.89 to 3.28),3.13,2.89 to 3.28,2.89,3.28,(2.89 to 3.28)
Female,Ovary,I,60-64,2,negative,rmst,37.5,3.07 (3 to 3.12),3.07,3 to 3.12,3,3.12,(3 to 3.12)
Female,Ovary,I,60-64,2,positive,rmst,37.5,3.18 (3.06 to 3.23),3.18,3.06 to 3.23,3.06,3.23,(3.06 to 3.23)
Female,Ovary,I,65-69,1,negative,rmst,32.5,2.9 (2.59 to 3.07),2.9,2.59 to 3.07,2.59,3.07,(2.59 to 3.07)
Female,Ovary,I,65-69,2,negative,rmst,32.5,2.8 (2.73 to 3.14),2.8,2.73 to 3.14,2.73,3.14,(2.73 to 3.14)
Female,Ovary,I,65-69,2,positive,rmst,32.5,2.93 (2.78 to 2.94),2.93,2.78 to 2.94,2.78,2.94,(2.78 to 2.94)
Female,Ovary,I,70-74,1,negative,rmst,27.5,2.68 (2.54 to 2.96),2.68,2.54 to 2.96,2.54,2.96,(2.54 to 2.96)
Female,Ovary,I,70-74,2,negative,rmst,27.5,2.73 (2.68 to 2.81),2.73,2.68 to 2.81,2.68,2.81,(2.68 to 2.81)
Female,Ovary,I,70-74,2,positive,rmst,27.5,2.78 (2.66 to 2.94),2.78,2.66 to 2.94,2.66,2.94,(2.66 to 2.94)
Female,Ovary,I,75-79,1,negative,rmst,22.5,3 (2.91 to 3.29),3,2.91 to 3.29,2.91,3.29,(2.91 to 3.29)
Female,Ovary,I,75-79,2,negative,rmst,22.5,3.13 (2.85 to 3.59),3.13,2.85 to 3.59,2.85,3.59,(2.85 to 3.59)
Female,Ovary,I,75-79,2,positive,rmst,22.5,2.94 (2.85 to 3.09),2.94,2.85 to 3.09,2.85,3.09,(2.85 to 3.09)
Female,Ovary,II,50-54,1,negative,rmst,47.5,2.45 (2.23 to 2.68),2.45,2.23 to 2.68,2.23,2.68,(2.23 to 2.68)
Female,Ovary,II,50-54,2,negative,rmst,47.5,2.64 (2.39 to 5.25),2.64,2.39 to 5.25,2.39,5.25,(2.39 to 5.25)
Female,Ovary,II,50-54,2,positive,rmst,47.5,2.54 (2.29 to 2.73),2.54,2.29 to 2.73,2.29,2.73,(2.29 to 2.73)
