Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Pancreas,I,50-54,1,negative,rmst,47.5,1.64 (1.59 to 2.1),1.64,1.59 to 2.1,1.59,2.1,(1.59 to 2.1)
Female,Pancreas,I,50-54,2,negative,rmst,47.5,2.11 (1.74 to 3.05),2.11,1.74 to 3.05,1.74,3.05,(1.74 to 3.05)
Female,Pancreas,I,50-54,2,positive,rmst,47.5,2.05 (1.92 to 2.94),2.05,1.92 to 2.94,1.92,2.94,(1.92 to 2.94)
Female,Pancreas,I,55-59,1,negative,rmst,42.5,1.46 (1.34 to 4.67),1.46,1.34 to 4.67,1.34,4.67,(1.34 to 4.67)
Female,Pancreas,I,55-59,2,negative,rmst,42.5,1.74 (1.67 to 2.46),1.74,1.67 to 2.46,1.67,2.46,(1.67 to 2.46)
Female,Pancreas,I,55-59,2,positive,rmst,42.5,1.95 (1.48 to 3),1.95,1.48 to 3,1.48,3,(1.48 to 3)
Female,Pancreas,I,60-64,1,negative,rmst,37.5,1.55 (1.4 to 2.98),1.55,1.4 to 2.98,1.4,2.98,(1.4 to 2.98)
Female,Pancreas,I,60-64,2,negative,rmst,37.5,1.45 (1.4 to 1.59),1.45,1.4 to 1.59,1.4,1.59,(1.4 to 1.59)
Female,Pancreas,I,60-64,2,positive,rmst,37.5,1.34 (1.29 to 1.71),1.34,1.29 to 1.71,1.29,1.71,(1.29 to 1.71)
Female,Pancreas,I,65-69,1,negative,rmst,32.5,1.31 (1.12 to 1.46),1.31,1.12 to 1.46,1.12,1.46,(1.12 to 1.46)
Female,Pancreas,I,65-69,2,negative,rmst,32.5,1.33 (1.27 to 1.64),1.33,1.27 to 1.64,1.27,1.64,(1.27 to 1.64)
Female,Pancreas,I,65-69,2,positive,rmst,32.5,1.4 (1.28 to 1.43),1.4,1.28 to 1.43,1.28,1.43,(1.28 to 1.43)
Female,Pancreas,I,70-74,1,negative,rmst,27.5,1.25 (1.11 to 1.34),1.25,1.11 to 1.34,1.11,1.34,(1.11 to 1.34)
Female,Pancreas,I,70-74,2,negative,rmst,27.5,1.26 (1.15 to 1.29),1.26,1.15 to 1.29,1.15,1.29,(1.15 to 1.29)
Female,Pancreas,I,70-74,2,positive,rmst,27.5,1.24 (1.13 to 1.43),1.24,1.13 to 1.43,1.13,1.43,(1.13 to 1.43)
Female,Pancreas,I,75-79,1,negative,rmst,22.5,1.06 (0.93 to 1.54),1.06,0.93 to 1.54,0.93,1.54,(0.93 to 1.54)
Female,Pancreas,I,75-79,2,negative,rmst,22.5,1 (0.93 to 1.11),1,0.93 to 1.11,0.93,1.11,(0.93 to 1.11)
Female,Pancreas,I,75-79,2,positive,rmst,22.5,0.93 (0.87 to 1.05),0.93,0.87 to 1.05,0.87,1.05,(0.87 to 1.05)
Female,Pancreas,II,50-54,1,negative,rmst,47.5,1.86 (1.29 to 2.25),1.86,1.29 to 2.25,1.29,2.25,(1.29 to 2.25)
Female,Pancreas,II,50-54,2,negative,rmst,47.5,1.77 (1.51 to 1.81),1.77,1.51 to 1.81,1.51,1.81,(1.51 to 1.81)
Female,Pancreas,II,50-54,2,positive,rmst,47.5,1.82 (1.44 to 2.01),1.82,1.44 to 2.01,1.44,2.01,(1.44 to 2.01)
Female,Pancreas,II,55-59,1,negative,rmst,42.5,1.64 (1.5 to 1.71),1.64,1.5 to 1.71,1.5,1.71,(1.5 to 1.71)
Female,Pancreas,II,55-59,2,negative,rmst,42.5,1.54 (1.31 to 1.94),1.54,1.31 to 1.94,1.31,1.94,(1.31 to 1.94)
