Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male,Prostate,I,50-54,1,negative,rmst,47.5,2.63 (2.6 to 2.78),2.63,2.6 to 2.78,2.6,2.78,(2.6 to 2.78)
Male,Prostate,I,50-54,2,negative,rmst,47.5,2.71 (2.65 to 2.81),2.71,2.65 to 2.81,2.65,2.81,(2.65 to 2.81)
Male,Prostate,I,50-54,2,positive,rmst,47.5,2.76 (2.66 to 2.81),2.76,2.66 to 2.81,2.66,2.81,(2.66 to 2.81)
Male,Prostate,I,55-59,1,negative,rmst,42.5,2.77 (2.73 to 2.81),2.77,2.73 to 2.81,2.73,2.81,(2.73 to 2.81)
Male,Prostate,I,55-59,2,negative,rmst,42.5,2.83 (2.77 to 2.83),2.83,2.77 to 2.83,2.77,2.83,(2.77 to 2.83)
Male,Prostate,I,55-59,2,positive,rmst,42.5,2.78 (2.74 to 2.85),2.78,2.74 to 2.85,2.74,2.85,(2.74 to 2.85)
Male,Prostate,I,60-64,1,negative,rmst,37.5,2.97 (2.95 to 3.02),2.97,2.95 to 3.02,2.95,3.02,(2.95 to 3.02)
Male,Prostate,I,60-64,2,negative,rmst,37.5,2.95 (2.9 to 2.97),2.95,2.9 to 2.97,2.9,2.97,(2.9 to 2.97)
Male,Prostate,I,60-64,2,positive,rmst,37.5,2.96 (2.92 to 2.98),2.96,2.92 to 2.98,2.92,2.98,(2.92 to 2.98)
Male,Prostate,I,65-69,1,negative,rmst,32.5,2.97 (2.97 to 2.99),2.97,2.97 to 2.99,2.97,2.99,(2.97 to 2.99)
Male,Prostate,I,65-69,2,negative,rmst,32.5,2.96 (2.93 to 3),2.96,2.93 to 3,2.93,3,(2.93 to 3)
Male,Prostate,I,65-69,2,positive,rmst,32.5,2.96 (2.94 to 3),2.96,2.94 to 3,2.94,3,(2.94 to 3)
Male,Prostate,I,70-74,1,negative,rmst,27.5,2.73 (2.72 to 2.74),2.73,2.72 to 2.74,2.72,2.74,(2.72 to 2.74)
Male,Prostate,I,70-74,2,negative,rmst,27.5,2.75 (2.71 to 2.77),2.75,2.71 to 2.77,2.71,2.77,(2.71 to 2.77)
Male,Prostate,I,70-74,2,positive,rmst,27.5,2.75 (2.74 to 2.77),2.75,2.74 to 2.77,2.74,2.77,(2.74 to 2.77)
Male,Prostate,I,75-79,1,negative,rmst,22.5,2.83 (2.75 to 2.85),2.83,2.75 to 2.85,2.75,2.85,(2.75 to 2.85)
Male,Prostate,I,75-79,2,negative,rmst,22.5,2.76 (2.75 to 2.84),2.76,2.75 to 2.84,2.75,2.84,(2.75 to 2.84)
Male,Prostate,I,75-79,2,positive,rmst,22.5,2.81 (2.74 to 2.84),2.81,2.74 to 2.84,2.74,2.84,(2.74 to 2.84)
Male,Prostate,II,50-54,1,negative,rmst,47.5,2.97 (2.88 to 3.05),2.97,2.88 to 3.05,2.88,3.05,(2.88 to 3.05)
Male,Prostate,II,50-54,2,negative,rmst,47.5,3 (2.96 to 3.03),3,2.96 to 3.03,2.96,3.03,(2.96 to 3.03)
Male,Prostate,II,50-54,2,positive,rmst,47.5,2.9 (2.77 to 3.11),2.9,2.77 to 3.11,2.77,3.11,(2.77 to 3.11)
Male,Prostate,II,55-59,1,negative,rmst,42.5,3.1 (3.01 to 3.11),3.1,3.01 to 3.11,3.01,3.11,(3.01 to 3.11)
Male,Prostate,II,55-59,2,negative,rmst,42.5,3.05 (3.03 to 3.11),3.05,3.03 to 3.11,3.03,3.11,(3.03 to 3.11)
Male,Prostate,II,55-59,2,positive,rmst,42.5,3.09 (3.06 to 3.1),3.09,3.06 to 3.1,3.06,3.1,(3.06 to 3.1)
Male,Prostate,II,60-64,1,negative,rmst,37.5,3.26 (3.23 to 3.31),3.26,3.23 to 3.31,3.23,3.31,(3.23 to 3.31)
Male,Prostate,II,60-64,2,negative,rmst,37.5,3.23 (3.22 to 3.32),3.23,3.22 to 3.32,3.22,3.32,(3.22 to 3.32)
Male,Prostate,II,60-64,2,positive,rmst,37.5,3.2 (3.13 to 3.27),3.2,3.13 to 3.27,3.13,3.27,(3.13 to 3.27)
Male,Prostate,II,65-69,1,negative,rmst,32.5,3.27 (3.24 to 3.3),3.27,3.24 to 3.3,3.24,3.3,(3.24 to 3.3)
Male,Prostate,II,65-69,2,negative,rmst,32.5,3.29 (3.07 to 3.31),3.29,3.07 to 3.31,3.07,3.31,(3.07 to 3.31)
Male,Prostate,II,65-69,2,positive,rmst,32.5,3.31 (3.21 to 3.34),3.31,3.21 to 3.34,3.21,3.34,(3.21 to 3.34)
Male,Prostate,II,70-74,1,negative,rmst,27.5,3.11 (3.09 to 3.14),3.11,3.09 to 3.14,3.09,3.14,(3.09 to 3.14)
Male,Prostate,II,70-74,2,negative,rmst,27.5,3.12 (3.05 to 3.15),3.12,3.05 to 3.15,3.05,3.15,(3.05 to 3.15)
Male,Prostate,II,70-74,2,positive,rmst,27.5,3.12 (2.86 to 3.16),3.12,2.86 to 3.16,2.86,3.16,(2.86 to 3.16)
Male,Prostate,II,75-79,1,negative,rmst,22.5,3.14 (3.1 to 3.21),3.14,3.1 to 3.21,3.1,3.21,(3.1 to 3.21)
Male,Prostate,II,75-79,2,negative,rmst,22.5,3.14 (3.13 to 3.17),3.14,3.13 to 3.17,3.13,3.17,(3.13 to 3.17)
Male,Prostate,II,75-79,2,positive,rmst,22.5,3.13 (2.97 to 3.19),3.13,2.97 to 3.19,2.97,3.19,(2.97 to 3.19)
Male,Prostate,III,50-54,1,negative,rmst,47.5,2.87 (2.8 to 2.9),2.87,2.8 to 2.9,2.8,2.9,(2.8 to 2.9)
Male,Prostate,III,50-54,2,negative,rmst,47.5,2.88 (2.7 to 2.91),2.88,2.7 to 2.91,2.7,2.91,(2.7 to 2.91)
Male,Prostate,III,50-54,2,positive,rmst,47.5,2.79 (2.59 to 2.91),2.79,2.59 to 2.91,2.59,2.91,(2.59 to 2.91)
Male,Prostate,III,55-59,1,negative,rmst,42.5,2.71 (2.64 to 2.74),2.71,2.64 to 2.74,2.64,2.74,(2.64 to 2.74)
Male,Prostate,III,55-59,2,negative,rmst,42.5,2.66 (2.56 to 2.75),2.66,2.56 to 2.75,2.56,2.75,(2.56 to 2.75)
Male,Prostate,III,55-59,2,positive,rmst,42.5,2.71 (2.64 to 2.73),2.71,2.64 to 2.73,2.64,2.73,(2.64 to 2.73)
Male,Prostate,III,60-64,1,negative,rmst,37.5,2.88 (2.86 to 2.91),2.88,2.86 to 2.91,2.86,2.91,(2.86 to 2.91)
