Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Stomach,I,50-54,1,negative,rmst,47.5,2.92 (2.32 to 3.29),2.92,2.32 to 3.29,2.32,3.29,(2.32 to 3.29)
Female,Stomach,I,50-54,2,negative,rmst,47.5,3.19 (2.74 to 5.96),3.19,2.74 to 5.96,2.74,5.96,(2.74 to 5.96)
Female,Stomach,I,50-54,2,positive,rmst,47.5,3.13 (2.8 to 4.3),3.13,2.8 to 4.3,2.8,4.3,(2.8 to 4.3)
Female,Stomach,I,55-59,1,negative,rmst,42.5,2.56 (2.29 to 2.71),2.56,2.29 to 2.71,2.29,2.71,(2.29 to 2.71)
Female,Stomach,I,55-59,2,negative,rmst,42.5,2.27 (2.23 to 2.87),2.27,2.23 to 2.87,2.23,2.87,(2.23 to 2.87)
Female,Stomach,I,55-59,2,positive,rmst,42.5,2.49 (2.36 to 2.91),2.49,2.36 to 2.91,2.36,2.91,(2.36 to 2.91)
Female,Stomach,I,60-64,1,negative,rmst,37.5,2.31 (1.98 to 2.58),2.31,1.98 to 2.58,1.98,2.58,(1.98 to 2.58)
Female,Stomach,I,60-64,2,negative,rmst,37.5,2.36 (2.12 to 2.49),2.36,2.12 to 2.49,2.12,2.49,(2.12 to 2.49)
Female,Stomach,I,60-64,2,positive,rmst,37.5,2.33 (2.02 to 2.58),2.33,2.02 to 2.58,2.02,2.58,(2.02 to 2.58)
Female,Stomach,I,65-69,1,negative,rmst,32.5,2.53 (2.41 to 2.86),2.53,2.41 to 2.86,2.41,2.86,(2.41 to 2.86)
Female,Stomach,I,65-69,2,negative,rmst,32.5,2.58 (2.17 to 2.96),2.58,2.17 to 2.96,2.17,2.96,(2.17 to 2.96)
Female,Stomach,I,65-69,2,positive,rmst,32.5,2.44 (2.39 to 2.7),2.44,2.39 to 2.7,2.39,2.7,(2.39 to 2.7)
Female,Stomach,I,70-74,1,negative,rmst,27.5,2.2 (2.05 to 2.36),2.2,2.05 to 2.36,2.05,2.36,(2.05 to 2.36)
Female,Stomach,I,70-74,2,negative,rmst,27.5,2.16 (1.88 to 2.27),2.16,1.88 to 2.27,1.88,2.27,(1.88 to 2.27)
Female,Stomach,I,70-74,2,positive,rmst,27.5,2.2 (2.16 to 2.43),2.2,2.16 to 2.43,2.16,2.43,(2.16 to 2.43)
Female,Stomach,I,75-79,1,negative,rmst,22.5,2.39 (2.26 to 2.51),2.39,2.26 to 2.51,2.26,2.51,(2.26 to 2.51)
Female,Stomach,I,75-79,2,negative,rmst,22.5,2.35 (2.2 to 2.5),2.35,2.2 to 2.5,2.2,2.5,(2.2 to 2.5)
Female,Stomach,I,75-79,2,positive,rmst,22.5,2.26 (2.24 to 2.41),2.26,2.24 to 2.41,2.24,2.41,(2.24 to 2.41)
Female,Stomach,II,50-54,1,negative,rmst,47.5,2.14 (1.87 to 2.26),2.14,1.87 to 2.26,1.87,2.26,(1.87 to 2.26)
