Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Thyroid,I,50-54,1,negative,rmst,47.5,2.1 (2.04 to 2.14),2.1,2.04 to 2.14,2.04,2.14,(2.04 to 2.14)
Female,Thyroid,I,50-54,2,negative,rmst,47.5,2.15 (1.99 to 2.25),2.15,1.99 to 2.25,1.99,2.25,(1.99 to 2.25)
Female,Thyroid,I,50-54,2,positive,rmst,47.5,2.06 (1.96 to 2.11),2.06,1.96 to 2.11,1.96,2.11,(1.96 to 2.11)
Female,Thyroid,I,55-59,1,negative,rmst,42.5,2.3 (2.22 to 2.35),2.3,2.22 to 2.35,2.22,2.35,(2.22 to 2.35)
Female,Thyroid,I,55-59,2,negative,rmst,42.5,2.37 (2.27 to 2.46),2.37,2.27 to 2.46,2.27,2.46,(2.27 to 2.46)
Female,Thyroid,I,55-59,2,positive,rmst,42.5,2.19 (1.92 to 2.28),2.19,1.92 to 2.28,1.92,2.28,(1.92 to 2.28)
Female,Thyroid,I,60-64,1,negative,rmst,37.5,2.39 (2.26 to 2.58),2.39,2.26 to 2.58,2.26,2.58,(2.26 to 2.58)
Female,Thyroid,I,60-64,2,negative,rmst,37.5,2.34 (2.25 to 2.54),2.34,2.25 to 2.54,2.25,2.54,(2.25 to 2.54)
Female,Thyroid,I,60-64,2,positive,rmst,37.5,2.62 (2.39 to 2.78),2.62,2.39 to 2.78,2.39,2.78,(2.39 to 2.78)
Female,Thyroid,I,65-69,1,negative,rmst,32.5,2.27 (1.92 to 2.53),2.27,1.92 to 2.53,1.92,2.53,(1.92 to 2.53)
Female,Thyroid,I,65-69,2,negative,rmst,32.5,2.47 (2.36 to 2.66),2.47,2.36 to 2.66,2.36,2.66,(2.36 to 2.66)
Female,Thyroid,I,65-69,2,positive,rmst,32.5,2.41 (1.86 to 2.57),2.41,1.86 to 2.57,1.86,2.57,(1.86 to 2.57)
Female,Thyroid,I,70-74,1,negative,rmst,27.5,2.16 (2.05 to 2.18),2.16,2.05 to 2.18,2.05,2.18,(2.05 to 2.18)
Female,Thyroid,I,70-74,2,negative,rmst,27.5,2.24 (1.7 to 2.39),2.24,1.7 to 2.39,1.7,2.39,(1.7 to 2.39)
Female,Thyroid,I,70-74,2,positive,rmst,27.5,2.29 (1.71 to 2.51),2.29,1.71 to 2.51,1.71,2.51,(1.71 to 2.51)
Female,Thyroid,I,75-79,1,negative,rmst,22.5,2.61 (2.31 to 2.78),2.61,2.31 to 2.78,2.31,2.78,(2.31 to 2.78)
Female,Thyroid,I,75-79,2,negative,rmst,22.5,2.07 (1.85 to 3.44),2.07,1.85 to 3.44,1.85,3.44,(1.85 to 3.44)
Female,Thyroid,I,75-79,2,positive,rmst,22.5,2.4 (2.14 to 2.59),2.4,2.14 to 2.59,2.14,2.59,(2.14 to 2.59)
Female,Thyroid,II,50-54,1,negative,rmst,47.5,2.96 (2.47 to 3.51),2.96,2.47 to 3.51,2.47,3.51,(2.47 to 3.51)
Female,Thyroid,II,50-54,2,negative,rmst,47.5,3.31 (2.78 to 4.11),3.31,2.78 to 4.11,2.78,4.11,(2.78 to 4.11)
Female,Thyroid,II,50-54,2,positive,rmst,47.5,3.12 (3.07 to 3.63),3.12,3.07 to 3.63,3.07,3.63,(3.07 to 3.63)
Female,Thyroid,II,55-59,1,negative,rmst,42.5,2.27 (2.07 to 2.58),2.27,2.07 to 2.58,2.07,2.58,(2.07 to 2.58)
Female,Thyroid,II,55-59,2,negative,rmst,42.5,2.49 (1.97 to 2.59),2.49,1.97 to 2.59,1.97,2.59,(1.97 to 2.59)
Female,Thyroid,II,55-59,2,positive,rmst,42.5,2.49 (2.27 to 2.67),2.49,2.27 to 2.67,2.27,2.67,(2.27 to 2.67)
Female,Thyroid,II,60-64,1,negative,rmst,37.5,2.38 (2.11 to 2.62),2.38,2.11 to 2.62,2.11,2.62,(2.11 to 2.62)
Female,Thyroid,II,60-64,2,negative,rmst,37.5,2.27 (2.08 to 2.42),2.27,2.08 to 2.42,2.08,2.42,(2.08 to 2.42)
Female,Thyroid,II,60-64,2,positive,rmst,37.5,2.3 (2.03 to 2.49),2.3,2.03 to 2.49,2.03,2.49,(2.03 to 2.49)
Female,Thyroid,II,65-69,1,negative,rmst,32.5,2.57 (2.32 to 2.73),2.57,2.32 to 2.73,2.32,2.73,(2.32 to 2.73)
Female,Thyroid,II,65-69,2,negative,rmst,32.5,2.63 (2.3 to 2.87),2.63,2.3 to 2.87,2.3,2.87,(2.3 to 2.87)
Female,Thyroid,II,65-69,2,positive,rmst,32.5,2.63 (2.16 to 2.76),2.63,2.16 to 2.76,2.16,2.76,(2.16 to 2.76)
Female,Thyroid,II,70-74,1,negative,rmst,27.5,2.36 (2.18 to 2.42),2.36,2.18 to 2.42,2.18,2.42,(2.18 to 2.42)
Female,Thyroid,II,70-74,2,negative,rmst,27.5,2.59 (2.03 to 2.64),2.59,2.03 to 2.64,2.03,2.64,(2.03 to 2.64)
Female,Thyroid,II,70-74,2,positive,rmst,27.5,2.34 (1.46 to 2.43),2.34,1.46 to 2.43,1.46,2.43,(1.46 to 2.43)
Female,Thyroid,II,75-79,1,negative,rmst,22.5,1.56 (1.47 to 2.1),1.56,1.47 to 2.1,1.47,2.1,(1.47 to 2.1)
Female,Thyroid,II,75-79,2,negative,rmst,22.5,1.73 (1.45 to 1.89),1.73,1.45 to 1.89,1.45,1.89,(1.45 to 1.89)
Female,Thyroid,II,75-79,2,positive,rmst,22.5,1.81 (1.65 to 2.21),1.81,1.65 to 2.21,1.65,2.21,(1.65 to 2.21)
Female,Thyroid,III,50-54,1,negative,rmst,47.5,3.32 (3.08 to 3.91),3.32,3.08 to 3.91,3.08,3.91,(3.08 to 3.91)
Female,Thyroid,III,50-54,2,negative,rmst,47.5,3.16 (2.73 to 3.48),3.16,2.73 to 3.48,2.73,3.48,(2.73 to 3.48)
Female,Thyroid,III,50-54,2,positive,rmst,47.5,3.1 (3.03 to 3.12),3.1,3.03 to 3.12,3.03,3.12,(3.03 to 3.12)
Female,Thyroid,III,55-59,1,negative,rmst,42.5,3.39 (3.13 to 3.44),3.39,3.13 to 3.44,3.13,3.44,(3.13 to 3.44)
Female,Thyroid,III,55-59,2,negative,rmst,42.5,3.24 (2.95 to 3.42),3.24,2.95 to 3.42,2.95,3.42,(2.95 to 3.42)
Female,Thyroid,III,55-59,2,positive,rmst,42.5,3.34 (3.2 to 3.61),3.34,3.2 to 3.61,3.2,3.61,(3.2 to 3.61)
