Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Urothelial Tract,I,50-54,1,negative,rmst,47.5,3.57 (3.03 to 7.15),3.57,3.03 to 7.15,3.03,7.15,(3.03 to 7.15)
Female,Urothelial Tract,I,50-54,2,negative,rmst,47.5,4.22 (2.25 to 7.13),4.22,2.25 to 7.13,2.25,7.13,(2.25 to 7.13)
Female,Urothelial Tract,I,50-54,2,positive,rmst,47.5,2.96 (2.73 to 3.53),2.96,2.73 to 3.53,2.73,3.53,(2.73 to 3.53)
Female,Urothelial Tract,I,55-59,1,negative,rmst,42.5,2.6 (2.02 to 3.08),2.6,2.02 to 3.08,2.02,3.08,(2.02 to 3.08)
Female,Urothelial Tract,I,55-59,2,negative,rmst,42.5,2.53 (2.12 to 3.49),2.53,2.12 to 3.49,2.12,3.49,(2.12 to 3.49)
Female,Urothelial Tract,I,55-59,2,positive,rmst,42.5,2.3 (2.19 to 2.62),2.3,2.19 to 2.62,2.19,2.62,(2.19 to 2.62)
Female,Urothelial Tract,I,60-64,1,negative,rmst,37.5,2.94 (2.5 to 3.21),2.94,2.5 to 3.21,2.5,3.21,(2.5 to 3.21)
Female,Urothelial Tract,I,60-64,2,negative,rmst,37.5,3.06 (2.26 to 4.08),3.06,2.26 to 4.08,2.26,4.08,(2.26 to 4.08)
Female,Urothelial Tract,I,60-64,2,positive,rmst,37.5,2.89 (2.49 to 4.26),2.89,2.49 to 4.26,2.49,4.26,(2.49 to 4.26)
Female,Urothelial Tract,I,65-69,1,negative,rmst,32.5,2.3 (2.12 to 2.59),2.3,2.12 to 2.59,2.12,2.59,(2.12 to 2.59)
Female,Urothelial Tract,I,65-69,2,negative,rmst,32.5,2.48 (1.43 to 2.7),2.48,1.43 to 2.7,1.43,2.7,(1.43 to 2.7)
Female,Urothelial Tract,I,65-69,2,positive,rmst,32.5,2.67 (2.22 to 2.84),2.67,2.22 to 2.84,2.22,2.84,(2.22 to 2.84)
Female,Urothelial Tract,I,70-74,1,negative,rmst,27.5,2.63 (2.09 to 3.06),2.63,2.09 to 3.06,2.09,3.06,(2.09 to 3.06)
Female,Urothelial Tract,I,70-74,2,negative,rmst,27.5,2.69 (2.54 to 2.78),2.69,2.54 to 2.78,2.54,2.78,(2.54 to 2.78)
Female,Urothelial Tract,I,70-74,2,positive,rmst,27.5,2.69 (2.59 to 3.69),2.69,2.59 to 3.69,2.59,3.69,(2.59 to 3.69)
Female,Urothelial Tract,I,75-79,1,negative,rmst,22.5,2.44 (1.9 to 2.63),2.44,1.9 to 2.63,1.9,2.63,(1.9 to 2.63)
Female,Urothelial Tract,I,75-79,2,negative,rmst,22.5,2.53 (1.56 to 2.55),2.53,1.56 to 2.55,1.56,2.55,(1.56 to 2.55)
Female,Urothelial Tract,I,75-79,2,positive,rmst,22.5,2.05 (1.48 to 2.79),2.05,1.48 to 2.79,1.48,2.79,(1.48 to 2.79)
