Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Uterus,I,50-54,1,negative,rmst,47.5,2.89 (2.82 to 2.93),2.89,2.82 to 2.93,2.82,2.93,(2.82 to 2.93)
Female,Uterus,I,50-54,2,negative,rmst,47.5,3.04 (2.94 to 3.07),3.04,2.94 to 3.07,2.94,3.07,(2.94 to 3.07)
Female,Uterus,I,50-54,2,positive,rmst,47.5,3 (2.96 to 3.08),3,2.96 to 3.08,2.96,3.08,(2.96 to 3.08)
Female,Uterus,I,55-59,1,negative,rmst,42.5,2.95 (2.94 to 2.97),2.95,2.94 to 2.97,2.94,2.97,(2.94 to 2.97)
Female,Uterus,I,55-59,2,negative,rmst,42.5,2.9 (2.67 to 2.99),2.9,2.67 to 2.99,2.67,2.99,(2.67 to 2.99)
Female,Uterus,I,55-59,2,positive,rmst,42.5,2.93 (2.92 to 3.01),2.93,2.92 to 3.01,2.92,3.01,(2.92 to 3.01)
Female,Uterus,I,60-64,1,negative,rmst,37.5,3.01 (2.94 to 3.08),3.01,2.94 to 3.08,2.94,3.08,(2.94 to 3.08)
Female,Uterus,I,60-64,2,negative,rmst,37.5,3.01 (3 to 3.08),3.01,3 to 3.08,3,3.08,(3 to 3.08)
Female,Uterus,I,60-64,2,positive,rmst,37.5,3 (2.89 to 3.06),3,2.89 to 3.06,2.89,3.06,(2.89 to 3.06)
Female,Uterus,I,65-69,1,negative,rmst,32.5,2.95 (2.75 to 3.05),2.95,2.75 to 3.05,2.75,3.05,(2.75 to 3.05)
Female,Uterus,I,65-69,2,negative,rmst,32.5,2.95 (2.8 to 3.01),2.95,2.8 to 3.01,2.8,3.01,(2.8 to 3.01)
Female,Uterus,I,65-69,2,positive,rmst,32.5,3.01 (2.97 to 3.07),3.01,2.97 to 3.07,2.97,3.07,(2.97 to 3.07)
Female,Uterus,I,70-74,1,negative,rmst,27.5,2.77 (2.7 to 2.82),2.77,2.7 to 2.82,2.7,2.82,(2.7 to 2.82)
Female,Uterus,I,70-74,2,negative,rmst,27.5,2.79 (2.76 to 2.82),2.79,2.76 to 2.82,2.76,2.82,(2.76 to 2.82)
Female,Uterus,I,70-74,2,positive,rmst,27.5,2.77 (2.75 to 2.86),2.77,2.75 to 2.86,2.75,2.86,(2.75 to 2.86)
Female,Uterus,I,75-79,1,negative,rmst,22.5,2.78 (2.74 to 2.83),2.78,2.74 to 2.83,2.74,2.83,(2.74 to 2.83)
Female,Uterus,I,75-79,2,negative,rmst,22.5,2.74 (2.68 to 2.75),2.74,2.68 to 2.75,2.68,2.75,(2.68 to 2.75)
Female,Uterus,I,75-79,2,positive,rmst,22.5,2.74 (2.56 to 2.84),2.74,2.56 to 2.84,2.56,2.84,(2.56 to 2.84)
Female,Uterus,II,50-54,1,negative,rmst,47.5,2.99 (1.92 to 4.5),2.99,1.92 to 4.5,1.92,4.5,(1.92 to 4.5)
Female,Uterus,II,50-54,2,negative,rmst,47.5,2.96 (2.79 to 3.06),2.96,2.79 to 3.06,2.79,3.06,(2.79 to 3.06)
Female,Uterus,II,50-54,2,positive,rmst,47.5,2.96 (2.82 to 5.21),2.96,2.82 to 5.21,2.82,5.21,(2.82 to 5.21)
Female,Uterus,II,55-59,1,negative,rmst,42.5,2.98 (2.73 to 5.35),2.98,2.73 to 5.35,2.73,5.35,(2.73 to 5.35)
Female,Uterus,II,55-59,2,negative,rmst,42.5,2.64 (2.6 to 3.05),2.64,2.6 to 3.05,2.6,3.05,(2.6 to 3.05)
Female,Uterus,II,55-59,2,positive,rmst,42.5,2.91 (2.76 to 3.27),2.91,2.76 to 3.27,2.76,3.27,(2.76 to 3.27)
Female,Uterus,II,60-64,1,negative,rmst,37.5,2.87 (2.69 to 3.13),2.87,2.69 to 3.13,2.69,3.13,(2.69 to 3.13)
Female,Uterus,II,60-64,2,negative,rmst,37.5,2.99 (2.75 to 3.05),2.99,2.75 to 3.05,2.75,3.05,(2.75 to 3.05)
Female,Uterus,II,60-64,2,positive,rmst,37.5,2.79 (2.71 to 3.41),2.79,2.71 to 3.41,2.71,3.41,(2.71 to 3.41)
Female,Uterus,II,65-69,1,negative,rmst,32.5,2.8 (2.74 to 2.84),2.8,2.74 to 2.84,2.74,2.84,(2.74 to 2.84)
Female,Uterus,II,65-69,2,negative,rmst,32.5,2.61 (2.44 to 2.82),2.61,2.44 to 2.82,2.44,2.82,(2.44 to 2.82)
Female,Uterus,II,65-69,2,positive,rmst,32.5,2.86 (2.55 to 3),2.86,2.55 to 3,2.55,3,(2.55 to 3)
Female,Uterus,II,70-74,1,negative,rmst,27.5,2.75 (2.68 to 3.1),2.75,2.68 to 3.1,2.68,3.1,(2.68 to 3.1)
Female,Uterus,II,70-74,2,negative,rmst,27.5,2.91 (2.7 to 3.1),2.91,2.7 to 3.1,2.7,3.1,(2.7 to 3.1)
Female,Uterus,II,70-74,2,positive,rmst,27.5,2.76 (2.58 to 3.13),2.76,2.58 to 3.13,2.58,3.13,(2.58 to 3.13)
Female,Uterus,II,75-79,1,negative,rmst,22.5,2.5 (2.2 to 2.59),2.5,2.2 to 2.59,2.2,2.59,(2.2 to 2.59)
Female,Uterus,II,75-79,2,negative,rmst,22.5,2.47 (2.39 to 2.56),2.47,2.39 to 2.56,2.39,2.56,(2.39 to 2.56)
Female,Uterus,II,75-79,2,positive,rmst,22.5,2.64 (2.49 to 2.75),2.64,2.49 to 2.75,2.49,2.75,(2.49 to 2.75)
Female,Uterus,III,50-54,1,negative,rmst,47.5,2.67 (2.54 to 2.76),2.67,2.54 to 2.76,2.54,2.76,(2.54 to 2.76)
Female,Uterus,III,50-54,2,negative,rmst,47.5,2.59 (2.33 to 4.6),2.59,2.33 to 4.6,2.33,4.6,(2.33 to 4.6)
Female,Uterus,III,50-54,2,positive,rmst,47.5,2.59 (2.35 to 2.78),2.59,2.35 to 2.78,2.35,2.78,(2.35 to 2.78)
Female,Uterus,III,55-59,1,negative,rmst,42.5,2.46 (2.21 to 2.67),2.46,2.21 to 2.67,2.21,2.67,(2.21 to 2.67)
Female,Uterus,III,55-59,2,negative,rmst,42.5,2.45 (2.35 to 2.77),2.45,2.35 to 2.77,2.35,2.77,(2.35 to 2.77)
