"","MCED+SoC","SoC"
"LYs_total",16.286631493391,16.1347749161382
"LYs_total_no_diag",15.9552810568503,15.9552810568503
"LYs_total_diag",16.8737687425471,16.452829516829
"LYs_pre_diag",9.80332979117914,10.2403785458678
"LYs_post_diag",7.07043895136799,6.21245097096114
"QALYs_total",12.7816167101959,12.6694647354201
"QALYs_total_no_diag",12.7825274761123,12.7825274761123
"QALYs_total_diag",12.901715990933,12.5843613644822
"QALYs_pre_diag",7.9679373349137,8.3209402558368
"QALYs_post_diag",4.93377865601934,4.26342110864541
"diagnosed_total",36075.6536751359,36075.6536751359
"diagnosed_1",14817.0554068402,12078.4984224083
"diagnosed_2",12636.147479537,10746.736912231
"diagnosed_3",4484.69786604912,5469.46622343118
"diagnosed_4",4137.75292270951,7780.95211706536
"overdiagnosed_total",347.545602175452,0
"overdiagnosed_1",170.006065621914,0
"overdiagnosed_2",136.997799795108,0
"overdiagnosed_3",40.5417367584295,0
"overdiagnosed_4",0,0
"total_FPs",231230.630678726,226776.198881529
"total_misdiagnosed",937.789742985364,0
"deaths_total",15017.5278085593,16903.256277844
"deaths_1",4530.80681203333,3536.50891613128
"deaths_2",4235.75753590408,3288.70782115046
"deaths_3",2745.193013429,3374.72060468951
"deaths_4",3505.77044719291,6703.31893587271
"costs_total",104581.568244802,98119.1916171836
"costs_total_screen",16827.5557292467,6406.88697195098
"costs_screen_pre_diag",16827.5557292467,6406.88697195098
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",77086.3563546744,81303.415801844
"costs_cancer_tx_1",23141.9713777881,16702.9389919869
"costs_cancer_tx_2",23552.989109195,16498.8069776744
"costs_cancer_tx_3",14622.0408317759,17006.29982358
"costs_cancer_tx_4",15769.3550359154,31095.3700086027
"costs_total_workup",10667.6561608808,10408.8888433887
"costs_misdiagnosis",34.5707685322252,0
"costs_FPs",10633.0853923485,10408.8888433887
"costs_societal",0,0
"costs_diag_cancer_tx_total",213679.721645083,225369.210310055
"costs_diag_cancer_tx_1",64148.4464458589,46299.7542397935
"costs_diag_cancer_tx_2",65287.7680922751,45733.9099833019
"costs_diag_cancer_tx_3",40531.6032897105,47140.6560688353
"costs_diag_cancer_tx_4",43711.9038172384,86194.8900181242
