Age	NCRAS_Draw	Stage	Months	CSS
50	Plasma Cell Neoplasm	NotStaged	60	0.7382048034667968
51	Plasma Cell Neoplasm	NotStaged	60	0.7382048034667968
52	Plasma Cell Neoplasm	NotStaged	60	0.7382048034667968
53	Plasma Cell Neoplasm	NotStaged	60	0.732086669921875
54	Plasma Cell Neoplasm	NotStaged	60	0.7198504028320313
55	Plasma Cell Neoplasm	NotStaged	60	0.7076141357421875
56	Plasma Cell Neoplasm	NotStaged	60	0.6953778686523437
57	Plasma Cell Neoplasm	NotStaged	60	0.6831416015625
58	Plasma Cell Neoplasm	NotStaged	60	0.6775150833129884
59	Plasma Cell Neoplasm	NotStaged	60	0.6784983139038087
60	Plasma Cell Neoplasm	NotStaged	60	0.6794815444946289
61	Plasma Cell Neoplasm	NotStaged	60	0.6804647750854492
62	Plasma Cell Neoplasm	NotStaged	60	0.6814480056762695
63	Plasma Cell Neoplasm	NotStaged	60	0.6758552856445312
64	Plasma Cell Neoplasm	NotStaged	60	0.6636866149902344
65	Plasma Cell Neoplasm	NotStaged	60	0.6515179443359376
66	Plasma Cell Neoplasm	NotStaged	60	0.6393492736816406
67	Plasma Cell Neoplasm	NotStaged	60	0.6271806030273438
68	Plasma Cell Neoplasm	NotStaged	60	0.6075313186645508
69	Plasma Cell Neoplasm	NotStaged	60	0.5804014205932617
70	Plasma Cell Neoplasm	NotStaged	60	0.5532715225219726
71	Plasma Cell Neoplasm	NotStaged	60	0.5261416244506836
72	Plasma Cell Neoplasm	NotStaged	60	0.49901172637939456
73	Plasma Cell Neoplasm	NotStaged	60	0.48363408279418946
74	Plasma Cell Neoplasm	NotStaged	60	0.4800086936950684
75	Plasma Cell Neoplasm	NotStaged	60	0.47638330459594724
76	Plasma Cell Neoplasm	NotStaged	60	0.47275791549682616
77	Plasma Cell Neoplasm	NotStaged	60	0.4691325263977051
78	Plasma Cell Neoplasm	NotStaged	60	0.4673198318481445
79	Plasma Cell Neoplasm	NotStaged	60	0.4673198318481445
50	Myeloid Neoplasm	NotStaged	60	0.6235098266601562
51	Myeloid Neoplasm	NotStaged	60	0.6235098266601562
52	Myeloid Neoplasm	NotStaged	60	0.6235098266601562
53	Myeloid Neoplasm	NotStaged	60	0.6154947776794433
54	Myeloid Neoplasm	NotStaged	60	0.5994646797180175
55	Myeloid Neoplasm	NotStaged	60	0.5834345817565918
56	Myeloid Neoplasm	NotStaged	60	0.5674044837951661
57	Myeloid Neoplasm	NotStaged	60	0.5513743858337403
58	Myeloid Neoplasm	NotStaged	60	0.5335210914611817
59	Myeloid Neoplasm	NotStaged	60	0.5138446006774903
60	Myeloid Neoplasm	NotStaged	60	0.4941681098937989
61	Myeloid Neoplasm	NotStaged	60	0.47449161911010745
62	Myeloid Neoplasm	NotStaged	60	0.454815128326416
63	Myeloid Neoplasm	NotStaged	60	0.4297860736846924
64	Myeloid Neoplasm	NotStaged	60	0.39940445518493656
65	Myeloid Neoplasm	NotStaged	60	0.36902283668518066
66	Myeloid Neoplasm	NotStaged	60	0.3386412181854248
67	Myeloid Neoplasm	NotStaged	60	0.30825959968566896
68	Myeloid Neoplasm	NotStaged	60	0.2825646553039551
69	Myeloid Neoplasm	NotStaged	60	0.2615563850402832
70	Myeloid Neoplasm	NotStaged	60	0.24054811477661134
71	Myeloid Neoplasm	NotStaged	60	0.21953984451293945
72	Myeloid Neoplasm	NotStaged	60	0.1985315742492676
73	Myeloid Neoplasm	NotStaged	60	0.18234886932373046
74	Myeloid Neoplasm	NotStaged	60	0.17099172973632812
75	Myeloid Neoplasm	NotStaged	60	0.15963459014892578
76	Myeloid Neoplasm	NotStaged	60	0.14827745056152344
77	Myeloid Neoplasm	NotStaged	60	0.1369203109741211
78	Myeloid Neoplasm	NotStaged	60	0.13124174118041992
79	Myeloid Neoplasm	NotStaged	60	0.13124174118041992
50	Lymphoid Leukemia	NotStaged	60	0.8996169281005859
51	Lymphoid Leukemia	NotStaged	60	0.8996169281005859
52	Lymphoid Leukemia	NotStaged	60	0.8996169281005859
53	Lymphoid Leukemia	NotStaged	60	0.8991682968139648
54	Lymphoid Leukemia	NotStaged	60	0.8982710342407226
55	Lymphoid Leukemia	NotStaged	60	0.8973737716674804
56	Lymphoid Leukemia	NotStaged	60	0.8964765090942383
57	Lymphoid Leukemia	NotStaged	60	0.8955792465209961
58	Lymphoid Leukemia	NotStaged	60	0.8917762451171874
59	Lymphoid Leukemia	NotStaged	60	0.8850675048828125
60	Lymphoid Leukemia	NotStaged	60	0.8783587646484374
61	Lymphoid Leukemia	NotStaged	60	0.8716500244140625
62	Lymphoid Leukemia	NotStaged	60	0.8649412841796875
63	Lymphoid Leukemia	NotStaged	60	0.8644959793090821
64	Lymphoid Leukemia	NotStaged	60	0.8703141098022461
65	Lymphoid Leukemia	NotStaged	60	0.8761322402954101
66	Lymphoid Leukemia	NotStaged	60	0.8819503707885742
67	Lymphoid Leukemia	NotStaged	60	0.8877685012817382
68	Lymphoid Leukemia	NotStaged	60	0.8836512451171875
69	Lymphoid Leukemia	NotStaged	60	0.8695986022949219
70	Lymphoid Leukemia	NotStaged	60	0.8555459594726562
71	Lymphoid Leukemia	NotStaged	60	0.8414933166503906
72	Lymphoid Leukemia	NotStaged	60	0.827440673828125
73	Lymphoid Leukemia	NotStaged	60	0.8143450469970703
74	Lymphoid Leukemia	NotStaged	60	0.8022064361572266
75	Lymphoid Leukemia	NotStaged	60	0.7900678253173828
76	Lymphoid Leukemia	NotStaged	60	0.777929214477539
77	Lymphoid Leukemia	NotStaged	60	0.7657906036376954
78	Lymphoid Leukemia	NotStaged	60	0.7597212982177735
79	Lymphoid Leukemia	NotStaged	60	0.7597212982177735
50	Uterus	I	60	0.9748517608642578
51	Uterus	I	60	0.9748517608642578
52	Uterus	I	60	0.9748517608642578
53	Uterus	I	60	0.9734632873535156
54	Uterus	I	60	0.9706863403320313
55	Uterus	I	60	0.9679093933105469
56	Uterus	I	60	0.9651324462890626
57	Uterus	I	60	0.9623554992675782
58	Uterus	I	60	0.9609482040405274
59	Uterus	I	60	0.9609105606079102
