NCRAS_Draw	Stage	Rate	Age	Pop	Count
Lymphoid Leukemia	UNSTAGEABLE	3.4545735265550235	50	24218407.562200956	875.8803827751196
Lymphoid Leukemia	UNSTAGEABLE	4.172427115933014	51	23667661.737320576	1005.1282296650718
Lymphoid Leukemia	UNSTAGEABLE	4.890280705311005	52	23116915.912440192	1134.376076555024
Lymphoid Leukemia	UNSTAGEABLE	5.608431639642105	53	22566091.42368421	1263.6066842105263
Lymphoid Leukemia	UNSTAGEABLE	6.334016197800957	54	22013300.338038277	1392.4063110047846
Lymphoid Leukemia	UNSTAGEABLE	7.081009592583732	55	21454845.45334928	1519.96471291866
Lymphoid Leukemia	UNSTAGEABLE	7.863684381739713	56	20886950.90358852	1645.4544066985645
Lymphoid Leukemia	UNSTAGEABLE	8.696313123018182	57	20305840.822727274	1768.047909090909
Lymphoid Leukemia	UNSTAGEABLE	9.592867967149761	58	19708751.26099043	1887.134172248804
Lymphoid Leukemia	UNSTAGEABLE	10.560411703435886	59	19116192.34243541	2007.080162679426
Lymphoid Leukemia	UNSTAGEABLE	11.599097759748805	60	18571948.264952153	2137.2308612440193
Lymphoid Leukemia	UNSTAGEABLE	12.708779156942105	61	18120815.14268421	2287.147684210526
Lymphoid Leukemia	UNSTAGEABLE	13.889308915869378	62	17807589.08977512	2466.39204784689
Lymphoid Leukemia	UNSTAGEABLE	15.14010361745885	63	17674170.14835407	2683.8656267942583
Lymphoid Leukemia	UNSTAGEABLE	16.450541724355503	64	17695848.704220098	2933.296038277512
Lymphoid Leukemia	UNSTAGEABLE	17.79996358092105	65	17781305.486842107	3193.2368421052633
Lymphoid Leukemia	UNSTAGEABLE	19.167273091591863	66	17836325.15367464	3441.58185645933
Lymphoid Leukemia	UNSTAGEABLE	20.531374160804305	67	17766692.36217225	3656.224899521531
Lymphoid Leukemia	UNSTAGEABLE	21.87163741761483	68	17481518.898593303	3815.7383205741626
Lymphoid Leukemia	UNSTAGEABLE	23.178168157342103	69	16966440.51168421	3914.3006842105265
Lymphoid Leukemia	UNSTAGEABLE	24.451806341566982	70	16283616.912679426	3961.6967703349283
Lymphoid Leukemia	UNSTAGEABLE	25.693858656490427	71	15498534.941617224	3968.389889952153
Lymphoid Leukemia	UNSTAGEABLE	26.905631788313393	72	14676681.438535884	3944.8433540669857
Lymphoid Leukemia	UNSTAGEABLE	28.088523197081816	73	13881922.856272727	3901.3630909090907
Lymphoid Leukemia	UNSTAGEABLE	29.246018141276075	74	13140856.742043063	3844.635224880383
Lymphoid Leukemia	UNSTAGEABLE	30.383689677811006	75	12442811.737440191	3777.726076555024
Lymphoid Leukemia	UNSTAGEABLE	31.507201637446414	76	11775496.09685646	3703.5445837320576
Lymphoid Leukemia	UNSTAGEABLE	32.62221785094211	77	11126618.07468421	3624.9996842105265
Lymphoid Leukemia	UNSTAGEABLE	33.73428415258373	78	10484142.003349282	3544.9397129186605
Lymphoid Leukemia	UNSTAGEABLE	34.8462324577512	79	9841922.010047847	3464.819138755981
Myeloid Neoplasm	UNSTAGEABLE	4.113659416507177	50	24218407.562200956	1009.3325358851674
Myeloid Neoplasm	UNSTAGEABLE	4.471562889904306	51	23667661.737320576	1063.1995215311006
Myeloid Neoplasm	UNSTAGEABLE	4.829466363301435	52	23116915.912440192	1117.0665071770336
Myeloid Neoplasm	UNSTAGEABLE	5.187788599431579	53	22566091.42368421	1170.964157894737
Myeloid Neoplasm	UNSTAGEABLE	5.556579903887081	54	22013300.338038277	1225.6284354066986
Myeloid Neoplasm	UNSTAGEABLE	5.955522125119617	55	21454845.45334928	1282.5005980861245
Myeloid Neoplasm	UNSTAGEABLE	6.404715874313875	56	20886950.90358852	1343.0525693779905
Myeloid Neoplasm	UNSTAGEABLE	6.924261762654545	57	20305840.822727274	1408.7562727272727
Myeloid Neoplasm	UNSTAGEABLE	7.533289906628229	58	19708751.26099043	1481.0986411483254
Myeloid Neoplasm	UNSTAGEABLE	8.22860904466555	59	19116192.34243541	1561.9118277511961
Myeloid Neoplasm	UNSTAGEABLE	8.984706537141149	60	18571948.264952153	1653.3732057416269
Myeloid Neoplasm	UNSTAGEABLE	9.775099249731579	61	18120815.14268421	1757.675157894737
Myeloid Neoplasm	UNSTAGEABLE	10.573304048113398	62	17807589.08977512	1877.010066985646
Myeloid Neoplasm	UNSTAGEABLE	11.354499571555502	63	17674170.14835407	2013.4212775119618
Myeloid Neoplasm	UNSTAGEABLE	12.132085251950718	64	17695848.704220098	2165.524253588517
Myeloid Neoplasm	UNSTAGEABLE	12.957681313815788	65	17781305.486842107	2328.5065789473683
Myeloid Neoplasm	UNSTAGEABLE	13.884569755259808	66	17836325.15367464	2497.406799043062
Myeloid Neoplasm	UNSTAGEABLE	14.966032574391866	67	17766692.36217225	2667.2634593301436
Myeloid Neoplasm	UNSTAGEABLE	16.25308075394976	68	17481518.898593303	2833.113248803828
Myeloid Neoplasm	UNSTAGEABLE	17.744491923131577	69	16966440.51168421	2989.950157894737
Myeloid Neoplasm	UNSTAGEABLE	19.386810357595692	70	16283616.912679426	3132.7254784688994
Myeloid Neoplasm	UNSTAGEABLE	21.124309317629187	71	15498534.941617224	3256.3886459330142
Myeloid Neoplasm	UNSTAGEABLE	22.901262063519138	72	14676681.438535884	3355.8890956937803
Myeloid Neoplasm	UNSTAGEABLE	24.663286730645456	73	13881922.856272727	3426.413727272727
Myeloid Neoplasm	UNSTAGEABLE	26.386933581522968	74	13140856.742043063	3468.611114832536
Myeloid Neoplasm	UNSTAGEABLE	28.079685005801437	75	12442811.737440191	3488.5915071770337
Myeloid Neoplasm	UNSTAGEABLE	29.750368268223447	76	11775496.09685646	3492.70261722488
