NCRAS_Draw	Stage	tAge	IR
Prostate	I	50	15.419741629755727
Prostate	I	51	20.696191486804814
Prostate	I	52	25.97249804698404
Prostate	I	53	31.248734024338834
Prostate	I	54	36.52493005346033
Prostate	I	55	41.80110128141907
Prostate	I	56	47.03699631262927
Prostate	I	57	52.27504332584622
Prostate	I	58	57.514552181591114
Prostate	I	59	62.75509934368862
Prostate	I	60	67.99641047996714
Prostate	I	61	77.26746500266819
Prostate	I	62	86.53930876195382
Prostate	I	63	95.81170197193933
Prostate	I	64	105.08449304979541
Prostate	I	65	114.35758147532555
Prostate	I	66	117.2013630379924
Prostate	I	67	120.03905524233902
Prostate	I	68	122.87128403011599
Prostate	I	69	125.69859239552892
Prostate	I	70	128.5214536845321
Prostate	I	71	130.61309409183346
Prostate	I	72	132.69554735492983
Prostate	I	73	134.76919078088847
Prostate	I	74	136.834381294952
Prostate	I	75	138.8914567984623
Prostate	I	76	138.8914567984623
Prostate	I	77	138.8914567984623
Prostate	I	78	138.8914567984623
Prostate	I	79	138.8914567984623
Prostate	II	50	9.919553011497348
Prostate	II	51	12.740588656589498
Prostate	II	52	15.563511958344598
Prostate	II	53	18.38736505109206
Prostate	II	54	21.211744383867234
Prostate	II	55	24.036450423570017
Prostate	II	56	27.176705943350537
Prostate	II	57	30.31798270784864
Prostate	II	58	33.45995320442951
Prostate	II	59	36.6024164397389
Prostate	II	60	39.74524222668409
Prostate	II	61	45.050146370574254
Prostate	II	62	50.355676308442234
Prostate	II	63	55.66164191154146
Prostate	II	64	60.96792298825432
Prostate	II	65	66.27443983506124
Prostate	II	66	67.42761142476701
Prostate	II	67	68.57552866283432
Prostate	II	68	69.71873165839942
Prostate	II	69	70.85768894728244
Prostate	II	70	71.99280896760752
Prostate	II	71	72.60592935767207
Prostate	II	72	73.20623949510832
Prostate	II	73	73.79426548451882
Prostate	II	74	74.37050501075814
Prostate	II	75	74.93542923237729
Prostate	II	76	74.93542923237729
Prostate	II	77	74.93542923237729
Prostate	II	78	74.93542923237729
Prostate	II	79	74.93542923237729
Prostate	III	50	6.677084673939203
Prostate	III	51	9.411631297163241
Prostate	III	52	12.144562815418437
Prostate	III	53	14.876698791729355
Prostate	III	54	17.608384509844367
Prostate	III	55	20.339790693024607
Prostate	III	56	24.453558531875952
Prostate	III	57	28.565759389477808
Prostate	III	58	32.67689579587895
Prostate	III	59	36.78727615200615
Prostate	III	60	40.89710021481258
Prostate	III	61	47.45477179009352
Prostate	III	62	54.01150462821126
Prostate	III	63	60.56758393632113
Prostate	III	64	67.12319001072213
Prostate	III	65	73.67844241257734
Prostate	III	66	77.25277334402479
Prostate	III	67	80.82925447353098
Prostate	III	68	84.40766477637278
Prostate	III	69	87.98781251722674
Prostate	III	70	91.56953055408903
Prostate	III	71	92.5478093856456
Prostate	III	72	93.5125173507001
Prostate	III	73	94.46421179152618
Prostate	III	74	95.40341994321584
Prostate	III	75	96.33064093954746
Prostate	III	76	96.33064093954746
Prostate	III	77	96.33064093954746
Prostate	III	78	96.33064093954746
Prostate	III	79	96.33064093954746
Prostate	IV	50	4.395346787995497
Prostate	IV	51	5.924982584401612
Prostate	IV	52	7.454489125983489
Prostate	IV	53	8.983932001341707
Prostate	IV	54	10.513338843101431
Prostate	IV	55	12.042723314031045
Prostate	IV	56	14.884850404588368
Prostate	IV	57	17.725371249670836
Prostate	IV	58	20.564800971343296
Prostate	IV	59	23.40345569820858
Prostate	IV	60	26.241540192577805
Prostate	IV	61	30.361729032315804
Prostate	IV	62	34.481441578654575
Prostate	IV	63	38.60082253907008
Prostate	IV	64	42.71996339171031
Prostate	IV	65	46.838924799128115
Prostate	IV	66	51.356212291837124
Prostate	IV	67	55.88269329644607
Prostate	IV	68	60.41742278679127
Prostate	IV	69	64.95958096817043
Prostate	IV	70	69.50845319850896
Prostate	IV	71	73.59394249540581
Prostate	IV	72	77.71500005563804
Prostate	IV	73	81.87016512526218
