NCRAS_Draw	Stage	Rate	Age	Pop	Count
Lymphoid Leukemia	UNSTAGEABLE	5.2492075	50	22841543	1199
Lymphoid Leukemia	UNSTAGEABLE	6.02653008	51	22275064.4	1324.8
Lymphoid Leukemia	UNSTAGEABLE	6.80385266	52	21708585.8	1450.6
Lymphoid Leukemia	UNSTAGEABLE	7.58117524	53	21142107.2	1576.4
Lymphoid Leukemia	UNSTAGEABLE	8.35849782	54	20575628.6	1702.2
Lymphoid Leukemia	UNSTAGEABLE	9.1358204	55	20009150	1828
Lymphoid Leukemia	UNSTAGEABLE	10.20987552	56	19550658	1976.4
Lymphoid Leukemia	UNSTAGEABLE	11.28393064	57	19092166	2124.8
Lymphoid Leukemia	UNSTAGEABLE	12.35798576	58	18633674	2273.2
Lymphoid Leukemia	UNSTAGEABLE	13.432040879999999	59	18175182	2421.6
Lymphoid Leukemia	UNSTAGEABLE	14.506096	60	17716690	2570
Lymphoid Leukemia	UNSTAGEABLE	15.846002599999998	61	17704489.8	2804.8
Lymphoid Leukemia	UNSTAGEABLE	17.185909199999998	62	17692289.6	3039.6
Lymphoid Leukemia	UNSTAGEABLE	18.525815799999997	63	17680089.4	3274.4
Lymphoid Leukemia	UNSTAGEABLE	19.8657224	64	17667889.2	3509.2
Lymphoid Leukemia	UNSTAGEABLE	21.205629	65	17655689	3744
Lymphoid Leukemia	UNSTAGEABLE	22.464617599999997	66	16979037.2	3780.2
Lymphoid Leukemia	UNSTAGEABLE	23.7236062	67	16302385.4	3816.4
Lymphoid Leukemia	UNSTAGEABLE	24.982594799999998	68	15625733.6	3852.6
Lymphoid Leukemia	UNSTAGEABLE	26.2415834	69	14949081.8	3888.8
Lymphoid Leukemia	UNSTAGEABLE	27.500572	70	14272430	3925
Lymphoid Leukemia	UNSTAGEABLE	28.6361196	71	13578994.4	3857
Lymphoid Leukemia	UNSTAGEABLE	29.7716672	72	12885558.8	3789
Lymphoid Leukemia	UNSTAGEABLE	30.907214800000002	73	12192123.2	3721
Lymphoid Leukemia	UNSTAGEABLE	32.0427624	74	11498687.6	3653
Lymphoid Leukemia	UNSTAGEABLE	33.17831	75	10805252	3585
Lymphoid Leukemia	UNSTAGEABLE	33.17831	76	10805252	3585
