Age	NCRAS_Draw	Stage	Months	CSS
50	Anus	I	0	1
50	Anus	I	0.995999962091446	0.999
50	Anus	I	2.003999948501587	0.999
50	Anus	I	3	0.999
50	Anus	I	3.996000051498413	0.999
50	Anus	I	5.003999948501587	0.999
50	Anus	I	6	0.999
50	Anus	I	9	0.999
50	Anus	I	12	0.999
50	Anus	I	15	0.999
50	Anus	I	18	0.999
50	Anus	I	21	0.999
50	Anus	I	24	0.972170639038086
50	Anus	I	27	0.9730673980712892
50	Anus	I	30	0.973981475830078
50	Anus	I	33	0.9749015808105468
50	Anus	I	36	0.9757844543457032
50	Anus	I	39	0.9767204284667969
50	Anus	I	42	0.977666473388672
50	Anus	I	45	0.9443707275390624
50	Anus	I	48	0.9453079223632812
50	Anus	I	51	0.9463397216796876
50	Anus	I	54	0.9473516082763672
50	Anus	I	57	0.9483349609375
50	Anus	I	60	0.9493499755859376
50	Anus	II	0	1
50	Anus	II	0.995999962091446	0.999
50	Anus	II	2.003999948501587	0.999
50	Anus	II	3	0.999
50	Anus	II	3.996000051498413	0.999
50	Anus	II	5.003999948501587	0.999
50	Anus	II	6	0.9946039581298828
50	Anus	II	9	0.988175048828125
50	Anus	II	12	0.9740084075927734
50	Anus	II	15	0.9669961547851562
50	Anus	II	18	0.9593787384033204
50	Anus	II	21	0.9602555847167968
50	Anus	II	24	0.9410447692871092
50	Anus	II	27	0.9420055389404296
50	Anus	II	30	0.9071524047851562
50	Anus	II	33	0.9080915832519532
50	Anus	II	36	0.909046096801758
50	Anus	II	39	0.910081787109375
50	Anus	II	42	0.9111177825927734
50	Anus	II	45	0.9121502685546876
50	Anus	II	48	0.9131778717041016
50	Anus	II	51	0.9143097686767578
50	Anus	II	54	0.8831355285644531
50	Anus	II	57	0.8842292022705078
50	Anus	II	60	0.8377880096435547
50	Anus	III	0	1
50	Anus	III	0.995999962091446	0.999
50	Anus	III	2.003999948501587	0.999
50	Anus	III	3	0.999
50	Anus	III	3.996000051498413	0.9970390319824218
50	Anus	III	5.003999948501587	0.997303466796875
