NCRAS_Draw	Stage	Months	CSS	Age
Plasma Cell Neoplasm	NotStaged	0.9959999620914459	0.9594638061523437	75-79
Plasma Cell Neoplasm	NotStaged	2.003999948501587	0.9322847747802734	75-79
Plasma Cell Neoplasm	NotStaged	3	0.9101583099365235	75-79
Plasma Cell Neoplasm	NotStaged	3.996000051498413	0.8926959991455078	75-79
Plasma Cell Neoplasm	NotStaged	5.003999948501587	0.8835922241210937	75-79
Plasma Cell Neoplasm	NotStaged	6	0.8709855651855469	75-79
Plasma Cell Neoplasm	NotStaged	9	0.8474304962158203	75-79
Plasma Cell Neoplasm	NotStaged	12	0.8157151031494141	75-79
Plasma Cell Neoplasm	NotStaged	15	0.7917838287353516	75-79
Plasma Cell Neoplasm	NotStaged	18	0.7652073669433593	75-79
Plasma Cell Neoplasm	NotStaged	21	0.7420101928710937	75-79
Plasma Cell Neoplasm	NotStaged	24	0.7117103576660156	75-79
Plasma Cell Neoplasm	NotStaged	27	0.6894012451171875	75-79
Plasma Cell Neoplasm	NotStaged	30	0.6733203887939453	75-79
Plasma Cell Neoplasm	NotStaged	33	0.6560344696044922	75-79
Plasma Cell Neoplasm	NotStaged	36	0.6373129653930664	75-79
Plasma Cell Neoplasm	NotStaged	39	0.6150634384155274	75-79
Plasma Cell Neoplasm	NotStaged	42	0.5941555404663086	75-79
Plasma Cell Neoplasm	NotStaged	45	0.5663189315795898	75-79
Plasma Cell Neoplasm	NotStaged	48	0.5482674789428711	75-79
Plasma Cell Neoplasm	NotStaged	51	0.5257853317260742	75-79
Plasma Cell Neoplasm	NotStaged	54	0.5061204528808594	75-79
Plasma Cell Neoplasm	NotStaged	57	0.4899125671386719	75-79
Plasma Cell Neoplasm	NotStaged	60	0.4673198318481445	75-79
Myeloid Neoplasm	NotStaged	0.9959999620914459	0.8107980346679687	75-79
Myeloid Neoplasm	NotStaged	2.003999948501587	0.7088569641113281	75-79
Myeloid Neoplasm	NotStaged	3	0.6453116607666015	75-79
Myeloid Neoplasm	NotStaged	3.996000051498413	0.5907651138305664	75-79
Myeloid Neoplasm	NotStaged	5.003999948501587	0.5595624923706055	75-79
Myeloid Neoplasm	NotStaged	6	0.5277943038940429	75-79
Myeloid Neoplasm	NotStaged	9	0.46095321655273436	75-79
Myeloid Neoplasm	NotStaged	12	0.40776397705078127	75-79
Myeloid Neoplasm	NotStaged	15	0.3664146041870117	75-79
Myeloid Neoplasm	NotStaged	18	0.32393970489501955	75-79
Myeloid Neoplasm	NotStaged	21	0.2934679412841797	75-79
Myeloid Neoplasm	NotStaged	24	0.27053180694580076	75-79
Myeloid Neoplasm	NotStaged	27	0.2531753730773926	75-79
Myeloid Neoplasm	NotStaged	30	0.2351605224609375	75-79
Myeloid Neoplasm	NotStaged	33	0.22193439483642577	75-79
Myeloid Neoplasm	NotStaged	36	0.21371156692504883	75-79
Myeloid Neoplasm	NotStaged	39	0.2055472946166992	75-79
Myeloid Neoplasm	NotStaged	42	0.19117650985717774	75-79
Myeloid Neoplasm	NotStaged	45	0.18559883117675782	75-79
Myeloid Neoplasm	NotStaged	48	0.17270515441894532	75-79
Myeloid Neoplasm	NotStaged	51	0.1634673309326172	75-79
Myeloid Neoplasm	NotStaged	54	0.1568709945678711	75-79
Myeloid Neoplasm	NotStaged	57	0.13933703422546387	75-79
Myeloid Neoplasm	NotStaged	60	0.13124174118041992	75-79
Lymphoid Leukemia	NotStaged	0.9959999620914459	0.9771849822998047	75-79
Lymphoid Leukemia	NotStaged	2.003999948501587	0.9636185455322266	75-79
Lymphoid Leukemia	NotStaged	3	0.9577316284179688	75-79
Lymphoid Leukemia	NotStaged	3.996000051498413	0.9542755889892578	75-79
Lymphoid Leukemia	NotStaged	5.003999948501587	0.9495922088623047	75-79
Lymphoid Leukemia	NotStaged	6	0.9462979888916015	75-79
Lymphoid Leukemia	NotStaged	9	0.933851089477539	75-79
Lymphoid Leukemia	NotStaged	12	0.922493667602539	75-79
Lymphoid Leukemia	NotStaged	15	0.9122377014160157	75-79
Lymphoid Leukemia	NotStaged	18	0.9087167358398438	75-79
Lymphoid Leukemia	NotStaged	21	0.9019114685058593	75-79
Lymphoid Leukemia	NotStaged	24	0.8871314239501953	75-79
Lymphoid Leukemia	NotStaged	27	0.881224365234375	75-79
Lymphoid Leukemia	NotStaged	30	0.8728223419189454	75-79
Lymphoid Leukemia	NotStaged	33	0.8602816009521485	75-79
Lymphoid Leukemia	NotStaged	36	0.8518696594238281	75-79
Lymphoid Leukemia	NotStaged	39	0.8459525299072266	75-79
Lymphoid Leukemia	NotStaged	42	0.8297676086425781	75-79
Lymphoid Leukemia	NotStaged	45	0.8138742065429687	75-79
Lymphoid Leukemia	NotStaged	48	0.8001963043212891	75-79
Lymphoid Leukemia	NotStaged	51	0.7786817932128907	75-79
Lymphoid Leukemia	NotStaged	54	0.7614390563964843	75-79
Lymphoid Leukemia	NotStaged	57	0.7607330322265625	75-79
Lymphoid Leukemia	NotStaged	60	0.7597212982177735	75-79
Uterus	I	0.9959999620914459	0.999	75-79
Uterus	I	2.003999948501587	0.999	75-79
Uterus	I	3	0.999	75-79
Uterus	I	3.996000051498413	0.999	75-79
Uterus	I	5.003999948501587	0.9995366668701172	75-79
Uterus	I	6	0.999	75-79
Uterus	I	9	0.996091079711914	75-79
Uterus	I	12	0.9919826507568359	75-79
Uterus	I	15	0.9888612365722657	75-79
Uterus	I	18	0.9870244598388672	75-79
Uterus	I	21	0.9774964904785156	75-79
